species,block_id,block_label,mean_psi
Actitis hypoleucos,2,2005-2009,0.7702034372837033
Actitis hypoleucos,3,2010-2014,0.8235971642630522
Actitis hypoleucos,4,2015-2019,0.8371551071849888
Actitis hypoleucos,5,2020-2024,0.9091992447679833
Aegithalos concinnus,1,2000-2004,0.2575221774039938
Aegithalos concinnus,2,2005-2009,0.2921802892106383
Aegithalos concinnus,3,2010-2014,0.32848928339180344
Aegithalos concinnus,4,2015-2019,0.3287050182660452
Aegithalos concinnus,5,2020-2024,0.3624309764412744
Aegithalos glaucogularis,1,2000-2004,0.2719925845559732
Aegithalos glaucogularis,2,2005-2009,0.28606703453926996
Aegithalos glaucogularis,3,2010-2014,0.34002046284614246
Aegithalos glaucogularis,4,2015-2019,0.3920275287797062
Aegithalos glaucogularis,5,2020-2024,0.4916243540384701
Aix galericulata,1,2000-2004,0.46910933796267873
Aix galericulata,2,2005-2009,0.5358717111767696
Aix galericulata,3,2010-2014,0.620148679932434
Aix galericulata,4,2015-2019,0.6822737439423107
Aix galericulata,5,2020-2024,0.703204471765709
Alauda arvensis,1,2000-2004,0.44716220763450515
Alauda arvensis,2,2005-2009,0.49014198712029006
Alauda arvensis,3,2010-2014,0.54590178142029
Alauda arvensis,4,2015-2019,0.6067209506438415
Alauda arvensis,5,2020-2024,0.7189605115685269
Alauda gulgula,1,2000-2004,0.605423169135935
Alauda gulgula,2,2005-2009,0.5086091280901756
Alauda gulgula,3,2010-2014,0.4020763117270155
Alauda gulgula,4,2015-2019,0.32416103068197744
Alauda gulgula,5,2020-2024,0.38569306087847555
Alcedo atthis,1,2000-2004,0.5567102936505921
Alcedo atthis,2,2005-2009,0.6108911350657621
Alcedo atthis,3,2010-2014,0.6784740563040754
Alcedo atthis,4,2015-2019,0.6853715513752182
Alcedo atthis,5,2020-2024,0.7017930472455626
Amaurornis phoenicurus,1,2000-2004,0.261105942837159
Amaurornis phoenicurus,2,2005-2009,0.28475449671166786
Amaurornis phoenicurus,3,2010-2014,0.31413400487010024
Amaurornis phoenicurus,4,2015-2019,0.3498423835865958
Amaurornis phoenicurus,5,2020-2024,0.3850342193889419
Anas acuta,1,2000-2004,0.46564308091780604
Anas acuta,2,2005-2009,0.5693552451573676
Anas acuta,3,2010-2014,0.4720853673736409
Anas acuta,4,2015-2019,0.5241298748282884
Anas acuta,5,2020-2024,0.7005291538244688
Anas carolinensis,1,2000-2004,0.6749875720720103
Anas carolinensis,2,2005-2009,0.6581761806275125
Anas carolinensis,3,2010-2014,0.6521576126190108
Anas carolinensis,4,2015-2019,0.7279013658206019
Anas carolinensis,5,2020-2024,0.8098122586182731
Anas platyrhynchos,1,2000-2004,0.6877956523796575
Anas platyrhynchos,2,2005-2009,0.725650465982843
Anas platyrhynchos,3,2010-2014,0.7412417941922455
Anas platyrhynchos,4,2015-2019,0.8245492420855753
Anas platyrhynchos,5,2020-2024,0.876179436677982
Anas zonorhyncha,1,2000-2004,0.43400632970703723
Anas zonorhyncha,2,2005-2009,0.49168061978728217
Anas zonorhyncha,3,2010-2014,0.5537728421933414
Anas zonorhyncha,4,2015-2019,0.617287723753758
Anas zonorhyncha,5,2020-2024,0.719136595753206
Anser anser,1,2000-2004,0.3870821986774042
Anser anser,2,2005-2009,0.4041647251537861
Anser anser,3,2010-2014,0.46943671942556187
Anser anser,4,2015-2019,0.5213727498947107
Anser anser,5,2020-2024,0.6103713136902751
Anthus hodgsoni,1,2000-2004,0.7123037795212679
Anthus hodgsoni,2,2005-2009,0.6684055062990519
Anthus hodgsoni,3,2010-2014,0.7436085923747863
Anthus hodgsoni,4,2015-2019,0.6384232219786012
Anthus hodgsoni,5,2020-2024,0.7258479057869963
Anthus richardi,1,2000-2004,0.643104741326483
Anthus richardi,2,2005-2009,0.6926807240083704
Anthus richardi,3,2010-2014,0.6541378861289878
Anthus richardi,4,2015-2019,0.6537392614399548
Anthus richardi,5,2020-2024,0.7041747319242486
Anthus rubescens,1,2000-2004,0.4338911758117635
Anthus rubescens,2,2005-2009,0.5288931085301999
Anthus rubescens,3,2010-2014,0.5442456157910499
Anthus rubescens,4,2015-2019,0.4941522813273255
Anthus rubescens,5,2020-2024,0.5797516890546324
Anthus spinoletta,1,2000-2004,0.7139459208658346
Anthus spinoletta,2,2005-2009,0.7135720628938462
Anthus spinoletta,3,2010-2014,0.7959913865039107
Anthus spinoletta,4,2015-2019,0.7772678208115665
Anthus spinoletta,5,2020-2024,0.8626648320852626
Apus apus,1,2000-2004,0.5880996849250414
Apus apus,2,2005-2009,0.5918908096254152
Apus apus,3,2010-2014,0.5872503698092917
Apus apus,4,2015-2019,0.5821232211139672
Apus apus,5,2020-2024,0.5915267834844019
Apus nipalensis,1,2000-2004,0.23092334849338325
Apus nipalensis,2,2005-2009,0.24610114715902007
Apus nipalensis,3,2010-2014,0.26571323489993215
Apus nipalensis,4,2015-2019,0.28220196081591004
Apus nipalensis,5,2020-2024,0.33906348960960575
Apus pacificus,1,2000-2004,0.8483268030685024
Apus pacificus,2,2005-2009,0.831587883724329
Apus pacificus,3,2010-2014,0.7448688187792888
Apus pacificus,4,2015-2019,0.7018041991360203
Apus pacificus,5,2020-2024,0.731477341470254
Aquila chrysaetos,1,2000-2004,0.6304107601454774
Aquila chrysaetos,2,2005-2009,0.5683493063518932
Aquila chrysaetos,3,2010-2014,0.5532304505511885
Aquila chrysaetos,4,2015-2019,0.49363630595721253
Aquila chrysaetos,5,2020-2024,0.49977062303302683
Ardea alba,1,2000-2004,0.5729987014968488
Ardea alba,2,2005-2009,0.6394692550295389
Ardea alba,3,2010-2014,0.6551957989951429
Ardea alba,4,2015-2019,0.736350474322817
Ardea alba,5,2020-2024,0.7826223960004048
Ardea cinerea,1,2000-2004,0.5660219800949169
Ardea cinerea,2,2005-2009,0.6191700763783551
Ardea cinerea,3,2010-2014,0.6905995812353818
Ardea cinerea,4,2015-2019,0.7622557486137789
Ardea cinerea,5,2020-2024,0.8504328770176826
Ardea intermedia,1,2000-2004,0.004709487529561523
Ardea intermedia,2,2005-2009,0.03132741725760603
Ardea intermedia,3,2010-2014,0.12541949115584852
Ardea intermedia,4,2015-2019,0.18546780573300148
Ardea intermedia,5,2020-2024,0.5997573401011593
Ardea purpurea,1,2000-2004,0.31263279381284
Ardea purpurea,2,2005-2009,0.37512727779056426
Ardea purpurea,3,2010-2014,0.4221209728797484
Ardea purpurea,4,2015-2019,0.458959019901688
Ardea purpurea,5,2020-2024,0.5242395285319709
Ardeola bacchus,1,2000-2004,0.5151498185754998
Ardeola bacchus,2,2005-2009,0.48866279209629726
Ardeola bacchus,3,2010-2014,0.5454130745696602
Ardeola bacchus,4,2015-2019,0.5593116725062717
Ardeola bacchus,5,2020-2024,0.5673140828834827
Aythya ferina,1,2000-2004,0.5545456033832676
Aythya ferina,2,2005-2009,0.5459903663225392
Aythya ferina,3,2010-2014,0.5333574920904888
Aythya ferina,4,2015-2019,0.5973306107193321
Aythya ferina,5,2020-2024,0.6943699325282064
Aythya fuligula,1,2000-2004,0.6194749647840297
Aythya fuligula,2,2005-2009,0.6591114550764444
Aythya fuligula,3,2010-2014,0.6075490139022149
Aythya fuligula,4,2015-2019,0.636895582320773
Aythya fuligula,5,2020-2024,0.7288252638045881
Aythya nyroca,1,2000-2004,0.3883646703853667
Aythya nyroca,2,2005-2009,0.49136456562898595
Aythya nyroca,3,2010-2014,0.4331295469556944
Aythya nyroca,4,2015-2019,0.5112656786357213
Aythya nyroca,5,2020-2024,0.6827690278395125
Bambusicola thoracicus,1,2000-2004,0.11333059763610531
Bambusicola thoracicus,2,2005-2009,0.14264557711784523
Bambusicola thoracicus,3,2010-2014,0.2078908896550457
Bambusicola thoracicus,4,2015-2019,0.19849948903171585
Bambusicola thoracicus,5,2020-2024,0.2373597691533122
Bubulcus coromandus,1,2000-2004,0.537756056593268
Bubulcus coromandus,2,2005-2009,0.5788613904036467
Bubulcus coromandus,3,2010-2014,0.5933644266893867
Bubulcus coromandus,4,2015-2019,0.5493841782313134
Bubulcus coromandus,5,2020-2024,0.5402832201956848
Buteo hemilasius,1,2000-2004,0.6768854014692319
Buteo hemilasius,2,2005-2009,0.6591415833676522
Buteo hemilasius,3,2010-2014,0.5783884985364981
Buteo hemilasius,4,2015-2019,0.5786972659566554
Buteo hemilasius,5,2020-2024,0.690189441584743
Buteo japonicus,1,2000-2004,0.8180254979861648
Buteo japonicus,2,2005-2009,0.7839369242349613
Buteo japonicus,3,2010-2014,0.734242935823592
Buteo japonicus,4,2015-2019,0.8028274496587533
Buteo japonicus,5,2020-2024,0.9352299725026072
Butorides striata,1,2000-2004,0.41974957593730977
Butorides striata,2,2005-2009,0.45346889549144165
Butorides striata,3,2010-2014,0.4843747449249647
Butorides striata,4,2015-2019,0.4834067834840798
Butorides striata,5,2020-2024,0.5342259200850462
Calidris temminckii,1,2000-2004,0.49008000760525383
Calidris temminckii,2,2005-2009,0.5335239191834218
Calidris temminckii,3,2010-2014,0.5495825624249389
Calidris temminckii,4,2015-2019,0.6631942101829414
Calidris temminckii,5,2020-2024,0.653050152305386
Carpodacus erythrinus,1,2000-2004,0.7327484337314019
Carpodacus erythrinus,2,2005-2009,0.7197448430134743
Carpodacus erythrinus,3,2010-2014,0.6908584302209538
Carpodacus erythrinus,4,2015-2019,0.6111527707583685
Carpodacus erythrinus,5,2020-2024,0.7053222042453023
Cecropis daurica,1,2000-2004,0.6769725294192418
Cecropis daurica,2,2005-2009,0.6236011335080963
Cecropis daurica,3,2010-2014,0.6817213406922349
Cecropis daurica,4,2015-2019,0.694581126727121
Cecropis daurica,5,2020-2024,0.7066555066243216
Ceryle rudis,1,2000-2004,0.11277649712863565
Ceryle rudis,2,2005-2009,0.14103559104661487
Ceryle rudis,3,2010-2014,0.19299210360934982
Ceryle rudis,4,2015-2019,0.19675365929252714
Ceryle rudis,5,2020-2024,0.2740130924157748
Charadrius alexandrinus,1,2000-2004,0.35004021657213513
Charadrius alexandrinus,2,2005-2009,0.3462742875330003
Charadrius alexandrinus,3,2010-2014,0.43684146196783513
Charadrius alexandrinus,4,2015-2019,0.43625118004655977
Charadrius alexandrinus,5,2020-2024,0.47535586343166214
Charadrius dubius,1,2000-2004,0.6071358643283619
Charadrius dubius,2,2005-2009,0.6624192029544768
Charadrius dubius,3,2010-2014,0.725904849974911
Charadrius dubius,4,2015-2019,0.7373915405029802
Charadrius dubius,5,2020-2024,0.7940970951553725
Chlidonias hybrida,1,2000-2004,0.3579377503832428
Chlidonias hybrida,2,2005-2009,0.44144943244897217
Chlidonias hybrida,3,2010-2014,0.5323013248590798
Chlidonias hybrida,4,2015-2019,0.6108991449819409
Chlidonias hybrida,5,2020-2024,0.7018852831594038
Chlidonias leucopterus,1,2000-2004,0.44034412675553314
Chlidonias leucopterus,2,2005-2009,0.43851978539638836
Chlidonias leucopterus,3,2010-2014,0.48740470284500437
Chlidonias leucopterus,4,2015-2019,0.5097375471459309
Chlidonias leucopterus,5,2020-2024,0.5636980091366396
Chloris sinica,1,2000-2004,0.46064624116141223
Chloris sinica,2,2005-2009,0.5128306172268012
Chloris sinica,3,2010-2014,0.6283945664780709
Chloris sinica,4,2015-2019,0.6538522875007131
Chloris sinica,5,2020-2024,0.7254814644713616
Chroicocephalus ridibundus,1,2000-2004,0.4312137972425881
Chroicocephalus ridibundus,2,2005-2009,0.5094638037650301
Chroicocephalus ridibundus,3,2010-2014,0.5696621129246765
Chroicocephalus ridibundus,4,2015-2019,0.6225994230165975
Chroicocephalus ridibundus,5,2020-2024,0.7024250457680756
Cinclus pallasii,1,2000-2004,0.24910329743855342
Cinclus pallasii,2,2005-2009,0.2531981586248235
Cinclus pallasii,3,2010-2014,0.2804363554269894
Cinclus pallasii,4,2015-2019,0.26609907361562546
Cinclus pallasii,5,2020-2024,0.2734113877635593
Circus cyaneus,1,2000-2004,0.6347417091873292
Circus cyaneus,2,2005-2009,0.6820441007386111
Circus cyaneus,3,2010-2014,0.6659334670033825
Circus cyaneus,4,2015-2019,0.7313801012802768
Circus cyaneus,5,2020-2024,0.823118344997798
Circus spilonotus,1,2000-2004,0.40394180521351575
Circus spilonotus,2,2005-2009,0.4263267158454944
Circus spilonotus,3,2010-2014,0.4028254905507983
Circus spilonotus,4,2015-2019,0.4567065723203719
Circus spilonotus,5,2020-2024,0.5690033479022288
Cisticola juncidis,1,2000-2004,0.45822179724763695
Cisticola juncidis,2,2005-2009,0.45458075836809436
Cisticola juncidis,3,2010-2014,0.45919516077782657
Cisticola juncidis,4,2015-2019,0.45747505545507966
Cisticola juncidis,5,2020-2024,0.4352879875719682
Columba livia,1,2000-2004,0.9726445222509189
Columba livia,2,2005-2009,0.9519006755269193
Columba livia,3,2010-2014,0.888928746520599
Columba livia,4,2015-2019,0.8715162464729862
Columba livia,5,2020-2024,0.5790446338894125
Columba rupestris,1,2000-2004,0.6155440444921797
Columba rupestris,2,2005-2009,0.5900062012849693
Columba rupestris,3,2010-2014,0.5135307071848056
Columba rupestris,4,2015-2019,0.5161445677849259
Columba rupestris,5,2020-2024,0.5854366658817989
Copsychus saularis,1,2000-2004,0.241527165771083
Copsychus saularis,2,2005-2009,0.25291359406578423
Copsychus saularis,3,2010-2014,0.2923643496978109
Copsychus saularis,4,2015-2019,0.30688138161205325
Copsychus saularis,5,2020-2024,0.32345131832401947
Corvus corax,1,2000-2004,0.36067859950402353
Corvus corax,2,2005-2009,0.29654238142192396
Corvus corax,3,2010-2014,0.31179791753709957
Corvus corax,4,2015-2019,0.28358845868091637
Corvus corax,5,2020-2024,0.34263379255967313
Corvus corone,1,2000-2004,0.5457173828758775
Corvus corone,2,2005-2009,0.5565512326944098
Corvus corone,3,2010-2014,0.558117126036694
Corvus corone,4,2015-2019,0.6196059929931249
Corvus corone,5,2020-2024,0.7317763652941374
Corvus macrorhynchos,1,2000-2004,0.536702856819586
Corvus macrorhynchos,2,2005-2009,0.5811041172768804
Corvus macrorhynchos,3,2010-2014,0.5056225830462555
Corvus macrorhynchos,4,2015-2019,0.5450345058059832
Corvus macrorhynchos,5,2020-2024,0.6809547550306891
Cuculus canorus,1,2000-2004,0.8202207400943885
Cuculus canorus,2,2005-2009,0.8324421374940207
Cuculus canorus,3,2010-2014,0.86127432797177
Cuculus canorus,4,2015-2019,0.8647984825158076
Cuculus canorus,5,2020-2024,0.9225142568909034
Cuculus micropterus,1,2000-2004,0.5051186497935732
Cuculus micropterus,2,2005-2009,0.4805543211525425
Cuculus micropterus,3,2010-2014,0.5528128162454039
Cuculus micropterus,4,2015-2019,0.563220336782084
Cuculus micropterus,5,2020-2024,0.7156800527670325
Culicicapa ceylonensis,1,2000-2004,0.20991690261689386
Culicicapa ceylonensis,2,2005-2009,0.24303602828259707
Culicicapa ceylonensis,3,2010-2014,0.2615175408667262
Culicicapa ceylonensis,4,2015-2019,0.22949654041324138
Culicicapa ceylonensis,5,2020-2024,0.2796902027319263
Cyanopica cyanus,1,2000-2004,0.4179823867462595
Cyanopica cyanus,2,2005-2009,0.4477619804677364
Cyanopica cyanus,3,2010-2014,0.4871714467224517
Cyanopica cyanus,4,2015-2019,0.5255596634123944
Cyanopica cyanus,5,2020-2024,0.5628475441012792
Delichon dasypus,1,2000-2004,0.6636950174743643
Delichon dasypus,2,2005-2009,0.523397361678698
Delichon dasypus,3,2010-2014,0.43642389367042256
Delichon dasypus,4,2015-2019,0.4513112272837463
Delichon dasypus,5,2020-2024,0.436430473245139
Dendrocitta formosae,1,2000-2004,0.13728351819503193
Dendrocitta formosae,2,2005-2009,0.1653320777861548
Dendrocitta formosae,3,2010-2014,0.19487676490496794
Dendrocitta formosae,4,2015-2019,0.21488641153974505
Dendrocitta formosae,5,2020-2024,0.24641461750051272
Dendrocopos major,1,2000-2004,0.6099639793720948
Dendrocopos major,2,2005-2009,0.6690299835946608
Dendrocopos major,3,2010-2014,0.6847054825516576
Dendrocopos major,4,2015-2019,0.6770071707012277
Dendrocopos major,5,2020-2024,0.7131541972790117
Dicrurus hottentottus,1,2000-2004,0.4723692092506455
Dicrurus hottentottus,2,2005-2009,0.5437821343398127
Dicrurus hottentottus,3,2010-2014,0.47184599921467874
Dicrurus hottentottus,4,2015-2019,0.42641551895644775
Dicrurus hottentottus,5,2020-2024,0.45054325267394607
Dicrurus leucophaeus,1,2000-2004,0.29181039928968006
Dicrurus leucophaeus,2,2005-2009,0.3211403546292629
Dicrurus leucophaeus,3,2010-2014,0.34430266704826423
Dicrurus leucophaeus,4,2015-2019,0.2982814292681551
Dicrurus leucophaeus,5,2020-2024,0.3851730386326933
Dicrurus macrocercus,1,2000-2004,0.5135291932091199
Dicrurus macrocercus,2,2005-2009,0.5566248958590906
Dicrurus macrocercus,3,2010-2014,0.5462821654461046
Dicrurus macrocercus,4,2015-2019,0.5256216748614154
Dicrurus macrocercus,5,2020-2024,0.526383657904518
Egretta garzetta,1,2000-2004,0.3950883499957233
Egretta garzetta,2,2005-2009,0.4653046113683187
Egretta garzetta,3,2010-2014,0.5076092781099732
Egretta garzetta,4,2015-2019,0.5384905486006922
Egretta garzetta,5,2020-2024,0.6021151194145409
Elanus caeruleus,1,2000-2004,0.12006327455985623
Elanus caeruleus,2,2005-2009,0.1399250324983312
Elanus caeruleus,3,2010-2014,0.18038041711142344
Elanus caeruleus,4,2015-2019,0.22452326566477426
Elanus caeruleus,5,2020-2024,0.3206520524634908
Emberiza cioides,1,2000-2004,0.46883337853326834
Emberiza cioides,2,2005-2009,0.5398172273563587
Emberiza cioides,3,2010-2014,0.605138875516762
Emberiza cioides,4,2015-2019,0.5664742454047835
Emberiza cioides,5,2020-2024,0.6382561720615594
Emberiza elegans,1,2000-2004,0.43751438848756813
Emberiza elegans,2,2005-2009,0.5999134471139163
Emberiza elegans,3,2010-2014,0.6172771091906735
Emberiza elegans,4,2015-2019,0.5265500852766746
Emberiza elegans,5,2020-2024,0.5909044777575838
Emberiza godlewskii,1,2000-2004,0.43962912552918176
Emberiza godlewskii,2,2005-2009,0.42242811559551957
Emberiza godlewskii,3,2010-2014,0.33087234933874354
Emberiza godlewskii,4,2015-2019,0.2878107307518629
Emberiza godlewskii,5,2020-2024,0.30238009043438685
Emberiza pusilla,1,2000-2004,0.4732273416803544
Emberiza pusilla,2,2005-2009,0.5624125947384802
Emberiza pusilla,3,2010-2014,0.5863204751060643
Emberiza pusilla,4,2015-2019,0.6129833555908876
Emberiza pusilla,5,2020-2024,0.7324762587890653
Emberiza spodocephala,1,2000-2004,0.491001959393866
Emberiza spodocephala,2,2005-2009,0.5334735741885743
Emberiza spodocephala,3,2010-2014,0.6511839086878006
Emberiza spodocephala,4,2015-2019,0.6418329234165903
Emberiza spodocephala,5,2020-2024,0.7403486691522874
Emberiza tristrami,1,2000-2004,0.3707153762438186
Emberiza tristrami,2,2005-2009,0.528408997940354
Emberiza tristrami,3,2010-2014,0.568908612576184
Emberiza tristrami,4,2015-2019,0.4559519201886985
Emberiza tristrami,5,2020-2024,0.4943029327854021
Enicurus leschenaulti,1,2000-2004,0.1964408532291599
Enicurus leschenaulti,2,2005-2009,0.24092092572826948
Enicurus leschenaulti,3,2010-2014,0.27376847933703796
Enicurus leschenaulti,4,2015-2019,0.2760832539759149
Enicurus leschenaulti,5,2020-2024,0.29321673994317005
Eophona migratoria,1,2000-2004,0.394272256498541
Eophona migratoria,2,2005-2009,0.40083216758078516
Eophona migratoria,3,2010-2014,0.439993365342705
Eophona migratoria,4,2015-2019,0.44217394307920493
Eophona migratoria,5,2020-2024,0.48728173609930453
Eremophila alpestris,1,2000-2004,0.3786893797812916
Eremophila alpestris,2,2005-2009,0.3209795678133107
Eremophila alpestris,3,2010-2014,0.2844628341859207
Eremophila alpestris,4,2015-2019,0.2752884638466892
Eremophila alpestris,5,2020-2024,0.32453707130146037
Eudynamys scolopaceus,1,2000-2004,0.2492608757157964
Eudynamys scolopaceus,2,2005-2009,0.29479717186085247
Eudynamys scolopaceus,3,2010-2014,0.40148350722752907
Eudynamys scolopaceus,4,2015-2019,0.45513196841266274
Eudynamys scolopaceus,5,2020-2024,0.49155611648330605
Falco amurensis,1,2000-2004,0.30483146909333364
Falco amurensis,2,2005-2009,0.36755910923651014
Falco amurensis,3,2010-2014,0.4205965000854288
Falco amurensis,4,2015-2019,0.49353083680954773
Falco amurensis,5,2020-2024,0.599090445513343
Falco peregrinus,1,2000-2004,0.680649987447885
Falco peregrinus,2,2005-2009,0.7083356979152429
Falco peregrinus,3,2010-2014,0.6978009504373375
Falco peregrinus,4,2015-2019,0.7408212650923738
Falco peregrinus,5,2020-2024,0.801775768486514
Falco subbuteo,1,2000-2004,0.6958752501838332
Falco subbuteo,2,2005-2009,0.7464717739107375
Falco subbuteo,3,2010-2014,0.7340092669331254
Falco subbuteo,4,2015-2019,0.7762446701893828
Falco subbuteo,5,2020-2024,0.8305847362741162
Falco tinnunculus,1,2000-2004,0.8070728081165514
Falco tinnunculus,2,2005-2009,0.8244953658469695
Falco tinnunculus,3,2010-2014,0.8709987840953287
Falco tinnunculus,4,2015-2019,0.9115680070573912
Falco tinnunculus,5,2020-2024,0.9423036379416089
Ficedula albicilla,1,2000-2004,0.8465984494618478
Ficedula albicilla,2,2005-2009,0.8362975356846132
Ficedula albicilla,3,2010-2014,0.7908542552719298
Ficedula albicilla,4,2015-2019,0.6449140859173546
Ficedula albicilla,5,2020-2024,0.8056304780639796
Fringilla montifringilla,1,2000-2004,0.5108239917324943
Fringilla montifringilla,2,2005-2009,0.6406730396816875
Fringilla montifringilla,3,2010-2014,0.715064881726706
Fringilla montifringilla,4,2015-2019,0.7742133722674528
Fringilla montifringilla,5,2020-2024,0.8511692935817392
Fulica atra,1,2000-2004,0.3615265943419636
Fulica atra,2,2005-2009,0.4341543451311683
Fulica atra,3,2010-2014,0.5175100120928576
Fulica atra,4,2015-2019,0.6961572855592515
Fulica atra,5,2020-2024,0.8277673228770741
Gallinago gallinago,1,2000-2004,0.5934026112331817
Gallinago gallinago,2,2005-2009,0.6797023616570073
Gallinago gallinago,3,2010-2014,0.702939698753321
Gallinago gallinago,4,2015-2019,0.662678369319892
Gallinago gallinago,5,2020-2024,0.7680033974143196
Gallinula chloropus,1,2000-2004,0.38272761612644335
Gallinula chloropus,2,2005-2009,0.4371552520056356
Gallinula chloropus,3,2010-2014,0.5576295175541854
Gallinula chloropus,4,2015-2019,0.6332731761895949
Gallinula chloropus,5,2020-2024,0.7303080485741215
Garrulus glandarius,1,2000-2004,0.40883972858480033
Garrulus glandarius,2,2005-2009,0.4128153097099383
Garrulus glandarius,3,2010-2014,0.4403907659499668
Garrulus glandarius,4,2015-2019,0.4655688375386957
Garrulus glandarius,5,2020-2024,0.49744379533854954
Gracupica nigricollis,1,2000-2004,0.12338650259172602
Gracupica nigricollis,2,2005-2009,0.1377519425036915
Gracupica nigricollis,3,2010-2014,0.16692400366003624
Gracupica nigricollis,4,2015-2019,0.19179380628613968
Gracupica nigricollis,5,2020-2024,0.21743103266757433
Gyps himalayensis,1,2000-2004,0.30407554115853724
Gyps himalayensis,2,2005-2009,0.2417303602708679
Gyps himalayensis,3,2010-2014,0.21301919015957874
Gyps himalayensis,4,2015-2019,0.20129892332215807
Gyps himalayensis,5,2020-2024,0.24512044069723082
Halcyon smyrnensis,1,2000-2004,0.15160935894161864
Halcyon smyrnensis,2,2005-2009,0.16385914349681008
Halcyon smyrnensis,3,2010-2014,0.1763631798030335
Halcyon smyrnensis,4,2015-2019,0.19387357423730353
Halcyon smyrnensis,5,2020-2024,0.21525032577567244
Hemixos castanonotus,1,2000-2004,0.10949814351456315
Hemixos castanonotus,2,2005-2009,0.1316479503814354
Hemixos castanonotus,3,2010-2014,0.1770023308330091
Hemixos castanonotus,4,2015-2019,0.19046228339342897
Hemixos castanonotus,5,2020-2024,0.22545168705711421
Himantopus himantopus,1,2000-2004,0.3840802559496852
Himantopus himantopus,2,2005-2009,0.44679411976717304
Himantopus himantopus,3,2010-2014,0.5398938576618483
Himantopus himantopus,4,2015-2019,0.6247630134989187
Himantopus himantopus,5,2020-2024,0.7198192824784408
Hirundo rustica,1,2000-2004,0.8094579144828175
Hirundo rustica,2,2005-2009,0.84821029412118
Hirundo rustica,3,2010-2014,0.8948236391436101
Hirundo rustica,4,2015-2019,0.9250353691077822
Hirundo rustica,5,2020-2024,0.9386644538183094
Horornis fortipes,1,2000-2004,0.24259570467482874
Horornis fortipes,2,2005-2009,0.29858721133931243
Horornis fortipes,3,2010-2014,0.35516520700102305
Horornis fortipes,4,2015-2019,0.3522365762454979
Horornis fortipes,5,2020-2024,0.3809381861465264
Hypsipetes leucocephalus,1,2000-2004,0.26794406775851554
Hypsipetes leucocephalus,2,2005-2009,0.2763230541986302
Hypsipetes leucocephalus,3,2010-2014,0.2886786815170451
Hypsipetes leucocephalus,4,2015-2019,0.2972751391604266
Hypsipetes leucocephalus,5,2020-2024,0.31485100582775133
Ixobrychus sinensis,1,2000-2004,0.36357320660061165
Ixobrychus sinensis,2,2005-2009,0.398158845902621
Ixobrychus sinensis,3,2010-2014,0.4829780753637528
Ixobrychus sinensis,4,2015-2019,0.5399015393503049
Ixobrychus sinensis,5,2020-2024,0.5831517850895134
Ixos mcclellandii,1,2000-2004,0.17625235559030408
Ixos mcclellandii,2,2005-2009,0.2089953432818101
Ixos mcclellandii,3,2010-2014,0.2538562280525369
Ixos mcclellandii,4,2015-2019,0.29406610919726306
Ixos mcclellandii,5,2020-2024,0.3217745018266995
