species,block_id,block_label,mean_psi
Anas zonorhyncha,1,2000-2004,0.44974475396103153
Anas zonorhyncha,2,2005-2009,0.4956685765651126
Anas zonorhyncha,3,2010-2014,0.5446780043405217
Anas zonorhyncha,4,2015-2019,0.6063497833856781
Anas zonorhyncha,5,2020-2024,0.715041452816563
Acridotheres cristatellus,1,2000-2004,0.3069976958866556
Acridotheres cristatellus,2,2005-2009,0.34715243058454337
Acridotheres cristatellus,3,2010-2014,0.42488057535873536
Acridotheres cristatellus,4,2015-2019,0.4242545070104868
Acridotheres cristatellus,5,2020-2024,0.39263762068219316
Corvus macrorhynchos,1,2000-2004,0.5056980666521735
Corvus macrorhynchos,2,2005-2009,0.545967910205989
Corvus macrorhynchos,3,2010-2014,0.47611582098953337
Corvus macrorhynchos,4,2015-2019,0.5361049465283934
Corvus macrorhynchos,5,2020-2024,0.6715049844422886
Fulica atra,1,2000-2004,0.41064553552907124
Fulica atra,2,2005-2009,0.4541751697281852
Fulica atra,3,2010-2014,0.5153122016070738
Fulica atra,4,2015-2019,0.6902423614519274
Fulica atra,5,2020-2024,0.8298727814906962
Milvus migrans,1,2000-2004,0.7723784217148423
Milvus migrans,2,2005-2009,0.7335397761147984
Milvus migrans,3,2010-2014,0.7168673355789321
Milvus migrans,4,2015-2019,0.694081036382918
Milvus migrans,5,2020-2024,0.7936822943331843
Actitis hypoleucos,1,2000-2004,0.8232125130101178
Actitis hypoleucos,2,2005-2009,0.7615004185690195
Actitis hypoleucos,3,2010-2014,0.8435844795992645
Actitis hypoleucos,4,2015-2019,0.8337002304303124
Actitis hypoleucos,5,2020-2024,0.9083865189754298
Podiceps cristatus,1,2000-2004,0.5021750296244267
Podiceps cristatus,2,2005-2009,0.5830860337086199
Podiceps cristatus,3,2010-2014,0.5873986410179524
Podiceps cristatus,4,2015-2019,0.6646630708029776
Podiceps cristatus,5,2020-2024,0.769214609133351
Lanius cristatus,1,2000-2004,0.8509286540955557
Lanius cristatus,2,2005-2009,0.7118502846469135
Lanius cristatus,3,2010-2014,0.7654050891214625
Lanius cristatus,4,2015-2019,0.8060306328768907
Lanius cristatus,5,2020-2024,0.8344477775818385
Phoenicurus fuliginosus,1,2000-2004,0.3314826713591834
Phoenicurus fuliginosus,2,2005-2009,0.34260080601236353
Phoenicurus fuliginosus,3,2010-2014,0.3771765449771234
Phoenicurus fuliginosus,4,2015-2019,0.406703934707391
Phoenicurus fuliginosus,5,2020-2024,0.44560284663927757
Zosterops simplex,1,2000-2004,0.3339861021011649
Zosterops simplex,2,2005-2009,0.3291058803950848
Zosterops simplex,3,2010-2014,0.42892011376297595
Zosterops simplex,4,2015-2019,0.41223018890747054
Zosterops simplex,5,2020-2024,0.47184998989724375
Copsychus saularis,1,2000-2004,0.24467926342723173
Copsychus saularis,2,2005-2009,0.26407584896621505
Copsychus saularis,3,2010-2014,0.29528380801080195
Copsychus saularis,4,2015-2019,0.3027025284147878
Copsychus saularis,5,2020-2024,0.32446748114191737
Sinosuthora webbiana,1,2000-2004,0.27973890430192905
Sinosuthora webbiana,2,2005-2009,0.31158592735950663
Sinosuthora webbiana,3,2010-2014,0.4226794318657993
Sinosuthora webbiana,4,2015-2019,0.448318984305502
Sinosuthora webbiana,5,2020-2024,0.4860629285467764
Dicrurus macrocercus,1,2000-2004,0.5112809175452695
Dicrurus macrocercus,2,2005-2009,0.5268274400050872
Dicrurus macrocercus,3,2010-2014,0.5478933617546681
Dicrurus macrocercus,4,2015-2019,0.5278009800670108
Dicrurus macrocercus,5,2020-2024,0.5316495989831926
Nycticorax nycticorax,1,2000-2004,0.444994547156481
Nycticorax nycticorax,2,2005-2009,0.4577193336870027
Nycticorax nycticorax,3,2010-2014,0.5443052256712941
Nycticorax nycticorax,4,2015-2019,0.6071895659322379
Nycticorax nycticorax,5,2020-2024,0.622445427270261
Spodiopsar cineraceus,1,2000-2004,0.37679438652259173
Spodiopsar cineraceus,2,2005-2009,0.48313561722936615
Spodiopsar cineraceus,3,2010-2014,0.6305891516217162
Spodiopsar cineraceus,4,2015-2019,0.7080780424149261
