species,block_id,block_label,detection_prob_mean,detection_prob_median,detection_prob_l95,detection_prob_u95
Chloris sinica,2,2005-2009,0.1984242570535128,0.20002200057583305,0.18266967413906132,0.21415542543393656
Chloris sinica,3,2010-2014,0.19813159819172435,0.1997020980307061,0.17969413916564284,0.2109627978576382
Chloris sinica,4,2015-2019,0.29902587424820026,0.3003642883430041,0.28006136376013585,0.31454682003600065
Chloris sinica,5,2020-2024,0.4438040797213963,0.44235221382326717,0.42394708324168995,0.46380841513719356
Ardeola bacchus,1,2000-2004,0.17848298254809314,0.17871168887041541,0.16435844770144634,0.1917915668309429
Ardeola bacchus,2,2005-2009,0.178485678653134,0.1787199643438857,0.16435873891498548,0.1917902918364541
Ardeola bacchus,3,2010-2014,0.17626994026457868,0.17603335532570324,0.16381817038737478,0.18967532315697225
Ardeola bacchus,4,2015-2019,0.28518511084685677,0.2855389541149098,0.26854566224407167,0.2987433764093333
Ardeola bacchus,5,2020-2024,0.4449841551160053,0.44403289970292203,0.4299111426104693,0.46061936455996544
Anthus hodgsoni,1,2000-2004,0.11116653673129662,0.11101505664897757,0.1013359915617178,0.12064456125890752
Anthus hodgsoni,2,2005-2009,0.11116938215764532,0.11101663198128503,0.10133851251690985,0.12064910746782939
Anthus hodgsoni,3,2010-2014,0.1107522527827445,0.11090226133904021,0.09928571427200818,0.11841788560613711
Anthus hodgsoni,4,2015-2019,0.19708413840644232,0.1967576686609076,0.18450059894801885,0.20938844060470047
Anthus hodgsoni,5,2020-2024,0.34772402774434263,0.34780670391370705,0.33120150693933104,0.3652468644369176
Ardea alba,1,2000-2004,0.15765294185932602,0.15791306376788522,0.14563591709764537,0.16904830354723455
Ardea alba,2,2005-2009,0.15765103150427917,0.15791292713310345,0.1456318888896913,0.16904778423472608
Ardea alba,3,2010-2014,0.1684323865199208,0.16754535248770036,0.15680335953673297,0.18116277535984895
Ardea alba,4,2015-2019,0.24235506966326684,0.2420337454025766,0.23055759550198804,0.25539572172131275
Ardea alba,5,2020-2024,0.374213711415485,0.37431864154725064,0.3605626640010108,0.3909513583994161
Gallinula chloropus,1,2000-2004,0.14902458922037273,0.1496098572103736,0.13240263075369596,0.16106100624711786
Gallinula chloropus,2,2005-2009,0.14902905049735085,0.14961698267407572,0.13240423759033065,0.16106474902501106
Gallinula chloropus,3,2010-2014,0.14291355281713422,0.14196335965515686,0.1296930394881881,0.15688636054707947
Gallinula chloropus,4,2015-2019,0.24385012097370506,0.2448494747420516,0.2256554461066599,0.2598611650351642
Gallinula chloropus,5,2020-2024,0.3931180798893291,0.39373072975410256,0.37472905285310393,0.40852913881978603
Tadorna ferruginea,1,2000-2004,0.22060112468144458,0.22077147760093818,0.2060274114745895,0.2392120053916797
Tadorna ferruginea,2,2005-2009,0.22060464366039087,0.22077904022523742,0.20603091505158352,0.23920840391047649
Tadorna ferruginea,3,2010-2014,0.2695229859873647,0.2697183370508617,0.25433216094468314,0.28736480465131586
Tadorna ferruginea,4,2015-2019,0.2994410690933205,0.2999591262374337,0.2833523276647768,0.31650051567954884
Tadorna ferruginea,5,2020-2024,0.4142080057686192,0.4144359010765172,0.3975348059909127,0.43008475898672394
Cuculus canorus,1,2000-2004,0.11889837591885204,0.11922793035959295,0.10963589468180983,0.12722435155679482
Cuculus canorus,2,2005-2009,0.11890029043531496,0.11922934443840985,0.10963793924409738,0.12722750315597636
Cuculus canorus,3,2010-2014,0.12228085296804246,0.12206605948374723,0.11442055245622919,0.13050620405051522
Cuculus canorus,4,2015-2019,0.1871416459662663,0.1875095827444774,0.17641409219235474,0.19619751917314104
Cuculus canorus,5,2020-2024,0.29934082821586067,0.3001391982170769,0.2854397618278287,0.3120632095296455
Phalacrocorax carbo,1,2000-2004,0.1413785789113649,0.1409037360821609,0.12941392134024102,0.15766013511698368
Phalacrocorax carbo,2,2005-2009,0.14138521494766296,0.14090699337415663,0.12941904661769432,0.15766701759300494
Phalacrocorax carbo,3,2010-2014,0.16351224756274188,0.162967319431141,0.14997603394967474,0.17943955558267305
Phalacrocorax carbo,4,2015-2019,0.22041606723775245,0.21934602067859388,0.20614212302634446,0.23840316497881395
Phalacrocorax carbo,5,2020-2024,0.3492555682979276,0.3484696010336748,0.3337439623491578,0.367170387844211
Turdus mandarinus,1,2000-2004,0.18709837330572263,0.18813628980755787,0.16621114963572728,0.20470626599164835
Turdus mandarinus,2,2005-2009,0.18710941621793342,0.18814756527853646,0.16622876489496843,0.2047136255531104
Turdus mandarinus,3,2010-2014,0.20510205289073147,0.20507935795149182,0.18781411877264115,0.2230047695384937
Turdus mandarinus,4,2015-2019,0.2854180754981079,0.2860842069848298,0.2643509291365664,0.3050037955074377
Turdus mandarinus,5,2020-2024,0.4327239165111986,0.43404979467829846,0.4109862348186542,0.45248569350063095
