species,n_grid_year_detections,n_blocks_detected,n_grids_detected
Spilornis cheela,783,5,231
Glaucidium cuculoides,782,5,243
Sternula albifrons,780,5,247
Larus brunnicephalus,779,5,289
Acrocephalus bistrigiceps,778,5,274
Jynx torquilla,773,5,294
Anser fabalis,769,5,293
Emberiza fucata,768,5,275
Megaceryle lugubris,764,5,222
Glaucidium brodiei,762,5,228
Butastur indicus,760,5,270
Remiz consobrinus,759,5,226
Cuculus poliocephalus,757,5,261
Larus vegae,751,4,316
Hierococcyx sparverioides,749,5,308
Pericrocotus cantonensis,745,5,246
Pseudopodoces humilis,744,5,180
Calidris ruficollis,735,5,195
Phylloscopus trochiloides,732,5,219
Luscinia svecica,728,5,275
Enicurus schistaceus,723,5,179
Phylloscopus coronatus,722,5,239
Poecile montanus,722,5,242
Turdus rubrocanus,722,5,167
Gypaetus barbatus,721,5,217
Muscicapa dauurica,720,5,314
Linaria flavirostris,717,5,206
Dendronanthus indicus,715,5,249
Cygnus cygnus,713,5,263
Passer domesticus,712,5,309
Cygnus columbianus,711,5,233
Prunella strophiata,708,5,155
Botaurus stellaris,704,5,258
Mergellus albellus,703,5,245
Circus melanoleucos,696,5,274
Otus sunia,695,5,246
Pericrocotus speciosus,695,5,173
Anthus cervinus,692,5,225
Accipiter gularis,689,5,241
Centropus bengalensis,685,5,230
Enicurus scouleri,685,5,181
Pluvialis squatarola,681,5,161
Dicaeum ignipectus,679,5,188
Coturnix japonica,678,5,222
Zoothera aurea,678,5,219
Alcippe hueti,677,5,141
Phoenicurus erythrogastrus,674,5,235
Turdus ruficollis,671,5,293
Alcippe davidi,670,5,200
Grus grus,661,5,249
Phylloscopus pulcher,656,5,147
Prunella fulvescens,653,5,207
Phylloscopus armandii,652,5,179
Corvus pectoralis,648,5,209
Larus crassirostris,647,5,125
Numenius phaeopus,639,5,156
Oenanthe isabellina,636,5,232
Pnoepyga pusilla,631,5,185
Calidris subminuta,629,5,220
Gelochelidon nilotica,629,5,196
Pyrgilauda ruficollis,629,5,157
Lanius tigrinus,626,5,233
Galerida cristata,624,5,264
Muscicapa griseisticta,618,5,189
Phoenicurus leucocephalus,610,4,257
Glareola maldivarum,607,5,199
Pica bottanensis,606,5,177
Turdus obscurus,603,5,199
Charadrius leschenaultii,600,5,172
Ciconia boyciana,599,5,203
Calidris ferruginea,597,5,207
Alaudala cheleensis,596,5,232
Poecile palustris,595,5,226
Aethopyga gouldiae,590,5,152
Blythipicus pyrrhotis,589,5,156
Anser albifrons,585,5,211
Phoenicurus schisticeps,585,5,132
Grus nigricollis,584,5,163
Turdus cardis,584,5,205
Turdus pallidus,578,5,159
Periparus rubidiventris,577,5,115
Pericrocotus divaricatus,575,5,223
Pyrrhula erythaca,575,5,122
Phylloscopus schwarzi,574,5,239
Ixobrychus cinnamomeus,568,5,212
Oenanthe deserti,565,5,248
Phylloscopus affinis,565,5,163
Prunella rubeculoides,565,5,151
Phylloscopus plumbeitarsus,563,5,215
Phylloscopus yunnanensis,561,5,157
Onychostruthus taczanowskii,558,5,157
Hydroprogne caspia,555,5,160
Xenus cinereus,555,5,144
Phylloscopus magnirostris,554,5,149
Lanius bucephalus,550,5,219
Cuculus saturatus,547,5,225
Anser serrirostris,545,5,203
Monticola rufiventris,545,5,162
Corvus dauuricus,544,4,292
Erpornis zantholeuca,538,5,135
Otocichla mupinensis,536,5,160
Paradoxornis gularis,535,5,146
Cyanoptila cyanomelana,533,5,171
Coccothraustes coccothraustes,527,5,229
Ficedula mugimaki,524,5,163
Turdus kessleri,522,5,112
Oenanthe pleschanka,518,5,209
Aquila nipalensis,516,5,236
Emberiza rutila,516,5,185
Larvivora sibilans,513,5,157
Calidris acuminata,512,5,149
Lophura nycthemera,509,5,131
Aviceda leuphotes,503,5,179
Horornis canturians,502,4,241
Hydrophasianus chirurgus,501,5,181
Larus canus,501,5,180
Carpodacus dubius,495,5,113
Cinclus cinclus,495,5,150
Carpodacus pulcherrimus,493,5,124
Mycerobas carnipes,493,5,129
Otus lettia,492,5,183
Aerodramus brevirostris,491,5,162
Hirundapus caudacutus,491,5,186
Sibirionetta formosa,488,5,204
Arenaria interpres,481,5,130
Phylloscopus subaffinis,481,5,170
Lalage melaschistos,476,4,208
Lophophanes dichrous,476,5,97
Tichodroma muraria,475,5,176
Horornis diphone,471,5,142
Phylloscopus tenellipes,471,5,169
Phylloscopus forresti,469,5,106
Staphida torqueola,467,5,176
Aythya baeri,466,5,189
Rhopophilus pekinensis,466,5,166
Ficedula erithacus,463,5,129
Emberiza leucocephalos,462,5,184
Leucosticte nemoricola,461,5,153
Lanius isabellinus,460,5,207
Phylloscopus ricketti,452,5,171
Oenanthe oenanthe,451,5,176
Sitta villosa,447,5,135
Calliope calliope,445,4,217
Numenius madagascariensis,444,5,108
Rallus indicus,441,5,180
Rhipidura albicollis,441,5,86
Aegypius monachus,440,5,197
Terpsiphone incei,440,5,197
Emberiza schoeniclus,439,5,176
Limosa lapponica,436,5,106
Delichon urbicum,434,5,197
Leptopoecile sophiae,434,5,118
Scolopax rusticola,434,5,186
Zapornia akool,434,5,160
Dendrocopos hyperythrus,433,5,156
Tarsiger rufilatus,432,5,103
Pica pica,429,5,187
Turdus atrogularis,429,5,217
Buteo refectus,428,5,134
Pyrrhocorax graculus,426,5,159
Urosphena squameiceps,424,5,144
Acridotheres tristis,423,5,157
Apus salimalii,422,5,107
Yuhina nigrimenta,420,5,116
Zosterops palpebrosus,418,5,104
Carpodacus sibiricus,416,5,185
Clamator coromandus,415,5,170
Loxia curvirostra,413,5,180
Sitta nagaensis,413,5,88
Rostratula benghalensis,411,5,170
Petronia petronia,410,5,129
Falco cherrug,409,4,236
Platalea minor,409,5,101
Bombycilla garrulus,408,5,207
Bombycilla japonica,406,5,167
Hieraaetus pennatus,405,5,174
Cacomantis merulinus,404,5,134
Carpodacus rubicilloides,403,5,118
Phylloscopus reguloides,401,5,109
Chloropsis hardwickii,400,5,104
Bubo bubo,399,5,201
Carpodacus waltoni,399,5,115
Ficedula strophiata,398,5,111
Calidris alba,392,5,101
Heterophasia desgodinsi,391,5,101
Eophona personata,390,5,158
Horornis acanthizoides,383,5,119
Calidris tenuirostris,381,5,83
Calidris falcinellus,380,5,107
Carpodacus vinaceus,377,5,97
Emberiza aureola,377,4,200
Falco columbarius,377,5,175
Parus major,377,5,139
Aegithalos caudatus,375,5,179
Myiomela leucura,374,5,116
Dendrocopos leucotos,373,5,151
Larus fuscus,373,5,106
Leucosticte brandti,373,5,131
Pteruthius aeralatus,372,5,90
Agropsar sturninus,371,5,167
Egretta eulophotes,371,5,87
Mergus serrator,371,5,122
Haematopus ostralegus,368,5,94
Haliaeetus albicilla,368,5,164
Tringa brevipes,368,5,97
Psilopogon faber,364,5,115
Mergus squamatus,358,5,142
Panurus biarmicus,356,5,134
Prunella collaris,356,5,138
Pterorhinus davidi,356,4,146
Aythya marila,355,5,138
Montifringilla adamsi,355,5,111
Certhia familiaris,354,5,150
Asio flammeus,352,5,159
Buteo rufinus,352,5,168
Pericrocotus brevirostris,352,5,95
Prinia superciliaris,350,5,105
Prunella montanella,347,5,150
Perdix hodgsoniae,344,5,108
Sturnia sinensis,343,5,94
Phylloscopus goodsoni,339,5,117
Calidris canutus,338,5,84
Nisaetus nipalensis,338,5,110
Chloropsis lazulina,337,5,139
Terpsiphone paradisi,337,5,124
Ithaginis cruentus,336,5,77
Ibidorhyncha struthersii,331,5,128
Columba leuconota,330,5,111
Cyanistes cyanus,330,5,121
Charadrius mongolus,329,4,131
Grus virgo,326,5,140
Chloris ambigua,325,5,80
Alectoris chukar,323,5,167
Asio otus,323,5,157
Pterorhinus pectoralis,323,5,129
Calidris pugnax,322,5,131
Larus relictus,321,5,96
Turdus merula,321,5,121
Lanius phoenicuroides,320,5,111
Sylviparus modestus,317,5,73
Emberiza yessoensis,316,5,119
Ictinaetus malaiensis,314,4,134
Aegithalos iouschistos,313,5,67
Chrysolophus pictus,313,5,101
Limnodromus semipalmatus,313,5,118
Phylloscopus maculipennis,313,5,77
Muscicapa ferruginea,307,5,104
Certhia hodgsoni,306,5,72
Poecile weigoldicus,305,5,73
Trochalopteron affine,305,5,69
Niltava sundara,303,5,86
Locustella lanceolata,302,5,117
Merops viridis,302,5,108
Falco naumanni,301,5,129
Fulvetta cinereiceps,301,5,70
Anthus godlewskii,300,5,150
Hypothymis azurea,297,5,76
Lioparus chrysotis,295,5,71
Turdus dissimilis,295,5,80
Monticola gularis,294,5,97
Harpactes erythrocephalus,292,5,73
Minla ignotincta,289,5,74
Ficedula tricolor,288,5,95
Ixobrychus eurhythmus,288,5,139
Phylloscopus castaniceps,288,4,128
Erythrogenys gravivox,287,3,136
Pteruthius xanthochlorus,287,5,96
Emberiza siemsseni,285,5,83
Phylloscopus ogilviegranti,285,5,98
Dryobates cathpharius,284,5,76
Carpodacus rubicilla,281,5,122
Niltava davidi,280,5,92
Sinosuthora alphonsiana,280,5,67
Calidris minuta,279,5,127
Gallinago stenura,278,5,143
Phalaropus lobatus,273,5,120
Garrulax monileger,272,5,79
Geokichla sibirica,272,5,106
Fringilla coelebs,271,5,111
Turdus boulboul,270,5,97
Grus vipio,269,5,94
Prunella immaculata,269,5,67
Melanocorypha maxima,267,5,86
Yuhina gularis,266,5,61
Cyornis hainanus,264,5,83
Enicurus maculatus,264,5,69
Fulvetta ruficapilla,264,5,74
Perdix dauurica,264,5,105
Calandrella acutirostris,262,5,92
Muscicapa muttui,262,5,114
Dicaeum minullum,261,5,101
Turdus viscivorus,261,5,78
Numenius minutus,259,5,94
Poecile superciliosus,259,5,65
Brachypteryx leucophris,257,5,83
Surniculus lugubris,257,5,125
Emberiza lathami,256,5,102
Cuculus optatus,254,5,120
Ficedula narcissina,254,5,86
Fulvetta vinipectus,254,5,55
Grus monacha,252,5,87
Ninox japonica,252,5,94
Carduelis carduelis,251,5,82
Pucrasia macrolopha,250,5,90
Syrrhaptes paradoxus,249,5,118
Geokichla citrina,248,5,89
Parayuhina diademata,246,4,89
Prinia hodgsonii,246,5,69
Strix nivicolum,246,5,104
Columba hodgsonii,243,5,61
Prinia striata,242,5,126
Psilopogon asiaticus,241,5,53
Saundersilarus saundersi,241,3,88
Tetraogallus tibetanus,240,5,85
Coracias garrulus,239,5,71
Montifringilla henrici,237,5,74
Niltava macgrigoriae,235,5,75
Actinodura cyanouroptera,234,3,97
Hypsipetes amaurotis,234,5,85
Gallinago megala,233,5,128
Passer ammodendri,232,5,109
Poecile hypermelaenus,232,5,85
Aegithalos fuliginosus,231,5,58
Cyornis whitei,231,5,68
Pterorhinus lanceolatus,231,3,94
Tarsiger chrysaeus,231,5,61
Chalcophaps indica,229,5,71
Horornis flavolivaceus,228,5,72
Paradoxornis guttaticollis,228,5,92
Carpodacus roseus,226,5,113
Cettia castaneocoronata,221,5,62
Dicrurus aeneus,219,5,51
Phylloscopus occisinensis,218,3,95
Anser erythropus,217,5,90
Arundinax aedon,217,3,146
Paradoxornis heudei,217,4,86
Pyrgilauda blanfordi,217,5,78
Tragopan temminckii,217,5,56
Cygnus olor,216,4,103
Dryocopus martius,216,5,85
Nettapus coromandelianus,216,4,105
Buteo lagopus,215,5,111
Monticola saxatilis,214,5,91
Phylloscopus kansuensis,214,5,65
Leptopoecile elegans,213,5,55
Chloris chloris,212,5,69
Otus spilocephalus,211,5,78
Rhodospiza obsoleta,211,5,102
Calandrella brachydactyla,209,5,101
Clanga clanga,208,4,118
Dicaeum cruentatum,206,5,50
Emberiza yunnanensis,206,3,114
Locustella luteoventris,206,5,76
Charadrius veredus,203,4,88
Grus japonensis,203,5,66
Aquila fasciata,202,5,104
Phylloscopus valentini,202,4,88
Aethopyga saturata,201,5,44
Anthus gustavi,201,5,72
Bucanetes mongolicus,201,5,95
Yuhina occipitalis,201,5,50
Crossoptilon crossoptilon,199,5,46
Larvivora cyane,199,4,107
Elachura formosa,198,4,58
Locustella mandelli,198,5,82
Micropternus brachyurus,198,5,57
Certhia himalayana,197,5,59
Erythrogenys swinhoei,197,4,87
Larus cachinnans,197,4,78
Accipiter badius,196,5,72
Aquila heliaca,196,5,104
Pelecanus crispus,196,5,73
Podiceps auritus,195,5,90
Artamus fuscus,194,5,61
Fulvetta striaticollis,191,5,46
Machlolophus spilonotus,191,4,66
Motacilla flava,191,5,73
Alcippe fratercula,190,5,40
Ixobrychus flavicollis,190,4,91
Spizixos canifrons,190,5,35
Arachnothera magna,189,5,38
Cephalopyrus flammiceps,188,5,57
Alophoixus pallidus,187,5,33
Merops apiaster,187,5,57
Podoces hendersoni,187,5,88
Pycnonotus cafer,187,5,38
Otis tarda,186,5,75
Anthus campestris,185,5,61
Tarsiger indicus,185,5,59
Ficedula hyperythra,184,5,63
Tringa guttifer,184,4,57
Buteo buteo,183,5,79
Linaria cannabina,183,5,62
Schoeniparus brunneus,182,3,99
Chrysolophus amherstiae,181,5,47
Aethopyga siparaja,180,5,46
Thalasseus bergii,180,5,49
Francolinus pintadeanus,179,5,71
Pastor roseus,179,5,73
Locustella davidi,178,5,69
Locustella thoracica,178,5,50
Merops philippinus,178,5,51
Procarduelis nipalensis,178,5,51
Cypsiurus balasiensis,177,5,39
Gallicrex cinerea,177,5,100
Charadrius atrifrons,176,3,101
Sitta przewalskii,176,5,43
Lanius giganteus,175,5,68
Luscinia megarhynchos,175,5,52
Columba oenas,174,5,69
Phylloscopus collybita,174,4,85
Acanthis flammea,173,4,103
Ianthocincla maxima,173,3,64
Terpsiphone atrocaudata,173,3,56
Yuhina flavicollis,173,5,42
Calcarius lapponicus,172,5,83
Pyrrhula nipalensis,172,5,65
Carpodacus davidianus,171,5,63
Helopsaltes certhiola,171,3,107
Ficedula elisae,170,5,56
Hemipus picatus,170,5,38
Crossoptilon auritum,165,5,41
Prinia rufescens,165,5,57
Dendrocopos darjellensis,164,5,40
Zoothera dixoni,164,5,47
Treron sphenurus,162,5,46
Mycerobas affinis,161,5,41
Spinus thibetanus,161,5,45
Carpodacus trifasciatus,160,5,39
Anthus trivialis,159,4,65
Aviceda jerdoni,159,4,71
Macropygia unchall,159,5,52
Luscinia phaenicuroides,158,4,70
Cyornis glaucicomans,156,5,58
Copsychus malabaricus,155,5,39
Lanius collurioides,155,5,51
Muscicapa striata,155,5,53
Pyrrhula pyrrhula,155,4,86
Tephrodornis virgatus,155,5,46
Pericrocotus roseus,154,5,50
Phylloscopus tephrocephalus,152,3,82
Sitta frontalis,152,5,33
Strix leptogrammica,152,4,58
Arborophila gingica,151,5,44
Zapornia fusca,151,5,104
Abroscopus superciliaris,150,5,37
Dryobates minor,149,4,73
Turdus maximus,149,5,60
Carpodacus puniceus,148,5,65
Melanocorypha mongolica,148,3,87
Phylloscopus intensior,148,5,45
Sterna sumatrana,148,5,47
Acrocephalus arundinaceus,147,5,49
Oriolus traillii,147,5,35
Picoides tridactylus,147,5,54
Melanochlora sultanea,145,5,31
Suthora verreauxi,145,5,39
Curruca curruca,144,3,84
Saxicola caprata,144,5,37
Calidris pygmaea,143,5,35
Dendrocopos leucopterus,143,5,58
Leucogeranus leucogeranus,143,4,70
Neosuthora davidiana,143,5,45
Serinus pusillus,141,5,62
Acrocephalus agricola,139,5,58
Alectoris magna,139,5,36
Calliope tschebaiewi,139,5,48
Cecropis striolata,139,5,48
Ficedula westermanni,139,5,41
Sinosuthora conspicillata,139,5,41
Onychoprion anaethetus,138,5,38
Anthus rufulus,137,5,63
Cettia brunnifrons,137,5,46
Phoenicurus erythronotus,136,5,66
Trochalopteron henrici,136,5,40
Charadrius dealbatus,134,3,66
Egretta sacra,134,5,41
Gallus gallus,134,5,44
Phalacrocorax capillatus,134,4,52
Pnoepyga albiventer,134,5,28
Pterorhinus chinensis,131,4,45
Circaetus gallicus,130,5,66
Tesia cyaniventer,129,5,36
Aethopyga nipalensis,128,5,36
Melanitta stejnegeri,127,5,61
Turdus chrysolaus,127,5,52
Phoenicurus alaschanicus,126,5,42
Sasia ochracea,126,4,36
Abroscopus schisticeps,125,5,31
Coracina macei,125,5,48
Curruca communis,125,3,55
Pterorhinus berthemyi,125,4,53
Phylloscopus soror,124,3,62
Conostoma aemodium,123,5,24
Urocynchramus pylzowi,123,5,42
Niltava grandis,122,5,31
Carpodacus subhimachalus,121,5,44
Phyllergates cucullatus,121,3,46
Syrmaticus ellioti,121,5,44
Phylloscopus emeiensis,120,5,36
Emberiza bruniceps,119,5,48
Lanius excubitor,119,5,62
Certhia tianquanensis,118,5,26
Ixobrychus minutus,117,4,41
Psarisomus dalhousiae,117,5,20
Riparia chinensis,117,5,30
Stachyris nigriceps,117,5,21
Turnix tanki,117,5,64
Lanius borealis,116,4,68
Dicaeum melanozanthum,115,5,45
Lanius collurio,115,5,44
Nyctyornis athertoni,115,5,24
Staphida castaniceps,115,5,34
Fulvetta manipurensis,114,5,33
Psilopogon franklinii,113,5,28
Treron sieboldii,113,4,54
Trochalopteron milnei,113,5,25
Ianthocincla lunulata,112,5,32
Turdus feae,112,5,28
Acrocephalus dumetorum,111,4,45
Ianthocincla ocellata,111,2,38
Phylloscopus intermedius,111,3,55
Rallus aquaticus,111,4,64
Ianthocincla cineracea,110,3,60
Carpodacus verreauxii,109,5,36
Larus schistisagus,109,5,55
Phoenicurus phoenicurus,109,4,48
Streptopelia turtur,109,5,45
Sturnia malabarica,109,5,37
Hemixos flavala,108,4,18
Carpodacus edwardsii,107,5,31
Emberiza cia,107,5,55
Grandala coelicolor,107,5,42
Pitta nympha,107,3,56
Pterorhinus albogularis,107,3,42
Tyto longimembris,107,5,48
Ficedula parva,106,5,50
Poecile davidi,106,5,26
Sitta himalayensis,106,5,34
Circus aeruginosus,105,5,63
Sterna dougallii,105,5,35
Sitta yunnanensis,104,5,34
Carpodacus lepidus,103,3,59
Cyanoptila cumatilis,103,4,43
Emberiza buchanani,103,5,44
Phylloscopus borealoides,103,3,41
Cisticola exilis,102,4,49
Locustella chengi,102,5,32
Pteruthius melanotis,102,5,26
Turdus albocinctus,102,5,30
Urocissa flavirostris,102,5,30
Zoothera dauma,102,5,46
Chrysococcyx maculatus,101,4,44
Iduna caligata,101,5,42
Lanius minor,101,5,38
Aethopyga ignicauda,100,5,30
Clangula hyemalis,100,5,59
Trochalopteron formosum,100,5,18
Actinodura egertoni,99,5,15
Chrysophlegma flavinucha,99,5,21
Cinnyris jugularis,99,4,29
Remiz coronatus,99,5,44
Tetrastes sewerzowi,99,5,24
Zoothera mollissima,99,5,32
Pycnonotus flavescens,98,5,18
Tragopan caboti,98,5,27
Cyornis brunneatus,97,3,52
Limnodromus scolopaceus,97,4,43
Prunella atrogularis,97,4,47
Zapornia pusilla,97,3,58
Picus chlorolophus,96,5,18
Porphyrio porphyrio,94,5,21
Thalasseus bernsteini,94,4,25
Plegadis falcinellus,93,4,70
Corvus monedula,92,2,47
Cyornis unicolor,92,5,36
Gallinago solitaria,92,5,51
Passer hispaniolensis,92,5,49
Caprimulgus affinis,91,4,37
Emberiza sulphurata,91,4,28
Oriolus oriolus,91,4,37
Cettia major,90,5,29
Dicrurus paradiseus,90,5,18
Emberiza hortulana,90,4,34
Phylloscopus examinandus,90,3,37
Pyrgilauda davidiana,90,5,23
Spilopelia senegalensis,90,5,41
Turdus pilaris,90,4,32
Curruca minula,89,2,59
Psilopogon haemacephalus,89,5,15
Acrocephalus concinens,88,4,58
Chlidonias niger,88,5,36
Dicrurus annectens,88,5,28
Dicrurus remifer,88,4,17
Haliaeetus leucoryphus,88,5,47
Caprimulgus europaeus,87,5,40
Timalia pileata,87,4,27
Carpodacus roborowskii,85,5,27
Cholornis unicolor,85,5,22
Pellorneum ruficeps,85,5,14
Suthora fulvifrons,85,5,22
Delichon nipalense,84,5,26
Heterophasia pulchella,84,5,19
