term,estimate,std.error,z_statistic,p_value,component,species
col(npp_rep),-0.4883654457924658,NA,NA,NA,colonization,Podiceps cristatus
ext(Int),-1.0474933517751033,NA,NA,NA,extinction,Podiceps cristatus
ext(block_index),-0.6292133141897531,NA,NA,NA,extinction,Podiceps cristatus
ext(built_rep),0.2090629536153308,NA,NA,NA,extinction,Podiceps cristatus
ext(bio4),-0.3635427447636751,NA,NA,NA,extinction,Podiceps cristatus
p(Int),-2.157805975946179,NA,NA,NA,other,Podiceps cristatus
p(log_events),0.6875689927995404,NA,NA,NA,other,Podiceps cristatus
p(log_observers),0.16799737961801806,NA,NA,NA,other,Podiceps cristatus
p(duration_min),2.69523557305316e-7,NA,NA,NA,other,Podiceps cristatus
psi(Int),2.181255561801224,NA,NA,NA,initial_occupancy,Lanius cristatus
psi(bio4),0.820381640192934,NA,NA,NA,initial_occupancy,Lanius cristatus
psi(elev_sd),-0.006424446410018476,NA,NA,NA,initial_occupancy,Lanius cristatus
psi(texture_shannon),-0.13014572746107309,NA,NA,NA,initial_occupancy,Lanius cristatus
psi(npp_mean),0.7968220199572459,NA,NA,NA,initial_occupancy,Lanius cristatus
psi(landcover_built),-0.5856337049914409,NA,NA,NA,initial_occupancy,Lanius cristatus
col(Int),-3.318487423310692,NA,NA,NA,colonization,Lanius cristatus
col(block_index),-11.173007667524056,NA,NA,NA,colonization,Lanius cristatus
col(built_rep),1.7508579208932913,NA,NA,NA,colonization,Lanius cristatus
col(npp_rep),3.5095399798905644,NA,NA,NA,colonization,Lanius cristatus
ext(Int),-9.054727966962448,NA,NA,NA,extinction,Lanius cristatus
ext(block_index),-6.721927148526869,NA,NA,NA,extinction,Lanius cristatus
ext(built_rep),-2.1618067801093153,NA,NA,NA,extinction,Lanius cristatus
ext(bio4),-0.6839285681843347,NA,NA,NA,extinction,Lanius cristatus
p(Int),-3.386917720542187,NA,NA,NA,other,Lanius cristatus
p(log_events),1.2413549788306875,NA,NA,NA,other,Lanius cristatus
p(log_observers),-0.2851497486466699,NA,NA,NA,other,Lanius cristatus
p(duration_min),1.484401145510394e-7,NA,NA,NA,other,Lanius cristatus
psi(Int),-20.103335204659505,NA,NA,NA,initial_occupancy,Phoenicurus fuliginosus
psi(bio4),-2.819368697724689,NA,NA,NA,initial_occupancy,Phoenicurus fuliginosus
psi(elev_sd),-4.058536464000057,NA,NA,NA,initial_occupancy,Phoenicurus fuliginosus
psi(texture_shannon),20.1439780160206,NA,NA,NA,initial_occupancy,Phoenicurus fuliginosus
psi(npp_mean),1.7208267684195981,NA,NA,NA,initial_occupancy,Phoenicurus fuliginosus
psi(landcover_built),-72.76538284826688,NA,NA,NA,initial_occupancy,Phoenicurus fuliginosus
col(Int),7.805603964854596,NA,NA,NA,colonization,Phoenicurus fuliginosus
col(block_index),-12.884405945598898,NA,NA,NA,colonization,Phoenicurus fuliginosus
col(built_rep),0.3997235184460467,NA,NA,NA,colonization,Phoenicurus fuliginosus
col(npp_rep),0.8001281069545658,NA,NA,NA,colonization,Phoenicurus fuliginosus
ext(Int),-4.516677453524026,NA,NA,NA,extinction,Phoenicurus fuliginosus
ext(block_index),-14.510026176515227,NA,NA,NA,extinction,Phoenicurus fuliginosus
ext(built_rep),-64.89652527731985,NA,NA,NA,extinction,Phoenicurus fuliginosus
ext(bio4),-0.9176975818701143,NA,NA,NA,extinction,Phoenicurus fuliginosus
p(Int),-2.0385310428642867,NA,NA,NA,other,Phoenicurus fuliginosus
p(log_events),0.5673873297184823,NA,NA,NA,other,Phoenicurus fuliginosus
p(log_observers),0.1978760375970419,NA,NA,NA,other,Phoenicurus fuliginosus
p(duration_min),-3.1693844675084355e-8,NA,NA,NA,other,Phoenicurus fuliginosus
psi(Int),1.2556866031379184,NA,NA,NA,initial_occupancy,Zosterops simplex
psi(bio4),0.5869550330353229,NA,NA,NA,initial_occupancy,Zosterops simplex
psi(elev_sd),0.4328051102698912,NA,NA,NA,initial_occupancy,Zosterops simplex
psi(texture_shannon),-2.8908721116577447,NA,NA,NA,initial_occupancy,Zosterops simplex
psi(npp_mean),-1.9149642523846697,NA,NA,NA,initial_occupancy,Zosterops simplex
psi(landcover_built),0.2878962517162764,NA,NA,NA,initial_occupancy,Zosterops simplex
col(Int),-1.8981648694590552,NA,NA,NA,colonization,Zosterops simplex
col(block_index),-9.573974467544163,NA,NA,NA,colonization,Zosterops simplex
col(built_rep),0.1155348033840534,NA,NA,NA,colonization,Zosterops simplex
col(npp_rep),2.042935900892604,NA,NA,NA,colonization,Zosterops simplex
ext(Int),1.4042507900841223,NA,NA,NA,extinction,Zosterops simplex
ext(block_index),-6.164270197669187,NA,NA,NA,extinction,Zosterops simplex
ext(built_rep),2.133194626605541,NA,NA,NA,extinction,Zosterops simplex
ext(bio4),-12.517484582945233,NA,NA,NA,extinction,Zosterops simplex
p(Int),-3.081875555695703,NA,NA,NA,other,Zosterops simplex
p(log_events),0.8147114548807876,NA,NA,NA,other,Zosterops simplex
p(log_observers),0.43899327406684846,NA,NA,NA,other,Zosterops simplex
p(duration_min),2.7544891531991013e-7,NA,NA,NA,other,Zosterops simplex
psi(Int),2.0120510795529705,NA,NA,NA,initial_occupancy,Copsychus saularis
psi(bio4),32.91711569598295,NA,NA,NA,initial_occupancy,Copsychus saularis
psi(elev_sd),-2.7553481332956395,NA,NA,NA,initial_occupancy,Copsychus saularis
psi(texture_shannon),-4.835805274122569,NA,NA,NA,initial_occupancy,Copsychus saularis
psi(npp_mean),3.0867367160725867,NA,NA,NA,initial_occupancy,Copsychus saularis
psi(landcover_built),-15.272052728012008,NA,NA,NA,initial_occupancy,Copsychus saularis
col(Int),-35.781624106824175,NA,NA,NA,colonization,Copsychus saularis
col(block_index),6.515017528368884,NA,NA,NA,colonization,Copsychus saularis
col(built_rep),-4.253999427498075,NA,NA,NA,colonization,Copsychus saularis
col(npp_rep),3.359613698521398,NA,NA,NA,colonization,Copsychus saularis
ext(Int),-2.5142723631238613,NA,NA,NA,extinction,Copsychus saularis
ext(block_index),-0.22442679899854848,NA,NA,NA,extinction,Copsychus saularis
ext(built_rep),-9.030249162652456,NA,NA,NA,extinction,Copsychus saularis
ext(bio4),28.181304002563902,NA,NA,NA,extinction,Copsychus saularis
p(Int),-2.260454448845243,NA,NA,NA,other,Copsychus saularis
p(log_events),0.8438406165213295,NA,NA,NA,other,Copsychus saularis
p(log_observers),0.31094167824347174,NA,NA,NA,other,Copsychus saularis
p(duration_min),-4.011714932933383e-8,NA,NA,NA,other,Copsychus saularis
psi(Int),-0.20461878782888746,NA,NA,NA,initial_occupancy,Sinosuthora webbiana
psi(bio4),0.6862491706309946,NA,NA,NA,initial_occupancy,Sinosuthora webbiana
psi(elev_sd),0.06341733775212291,NA,NA,NA,initial_occupancy,Sinosuthora webbiana
psi(texture_shannon),-0.57957599535214,NA,NA,NA,initial_occupancy,Sinosuthora webbiana
psi(npp_mean),-1.0969788584938407,NA,NA,NA,initial_occupancy,Sinosuthora webbiana
psi(landcover_built),0.2035308717381266,NA,NA,NA,initial_occupancy,Sinosuthora webbiana
col(Int),9.395164437558948,NA,NA,NA,colonization,Sinosuthora webbiana
col(block_index),-11.30732352778957,NA,NA,NA,colonization,Sinosuthora webbiana
col(built_rep),-4.500628547299056,NA,NA,NA,colonization,Sinosuthora webbiana
col(npp_rep),-0.09014425326227468,NA,NA,NA,colonization,Sinosuthora webbiana
ext(Int),17.760509826170217,NA,NA,NA,extinction,Sinosuthora webbiana
ext(block_index),-22.671188838762323,NA,NA,NA,extinction,Sinosuthora webbiana
ext(built_rep),4.237812591074185,NA,NA,NA,extinction,Sinosuthora webbiana
ext(bio4),-18.82637732505291,NA,NA,NA,extinction,Sinosuthora webbiana
p(Int),-2.3928049878136717,NA,NA,NA,other,Sinosuthora webbiana
p(log_events),0.9475476347826958,NA,NA,NA,other,Sinosuthora webbiana
p(log_observers),-0.03158296581956452,NA,NA,NA,other,Sinosuthora webbiana
p(duration_min),-1.008749283962036e-7,NA,NA,NA,other,Sinosuthora webbiana
psi(Int),-0.3905491975826144,NA,NA,NA,initial_occupancy,Dicrurus macrocercus
psi(bio4),-0.5733363390209785,NA,NA,NA,initial_occupancy,Dicrurus macrocercus
psi(elev_sd),-0.011670898256887705,NA,NA,NA,initial_occupancy,Dicrurus macrocercus
psi(texture_shannon),-5.055866306537069,NA,NA,NA,initial_occupancy,Dicrurus macrocercus
psi(npp_mean),-0.7409336421759507,NA,NA,NA,initial_occupancy,Dicrurus macrocercus
psi(landcover_built),-9.72185628900977,NA,NA,NA,initial_occupancy,Dicrurus macrocercus
col(Int),10.351828098821873,NA,NA,NA,colonization,Dicrurus macrocercus
col(block_index),-12.477614528216712,NA,NA,NA,colonization,Dicrurus macrocercus
col(built_rep),0.37341947171997014,NA,NA,NA,colonization,Dicrurus macrocercus
col(npp_rep),0.06609947945067195,NA,NA,NA,colonization,Dicrurus macrocercus
ext(Int),-123.13609403425977,NA,NA,NA,extinction,Dicrurus macrocercus
ext(block_index),23.528160881865574,NA,NA,NA,extinction,Dicrurus macrocercus
ext(built_rep),102.38160747629523,NA,NA,NA,extinction,Dicrurus macrocercus
ext(bio4),-383.2910352219018,NA,NA,NA,extinction,Dicrurus macrocercus
p(Int),-3.2121358865261262,NA,NA,NA,other,Dicrurus macrocercus
p(log_events),0.9992456830045408,NA,NA,NA,other,Dicrurus macrocercus
p(log_observers),0.14271941978764413,NA,NA,NA,other,Dicrurus macrocercus
p(duration_min),7.038463677737989e-8,NA,NA,NA,other,Dicrurus macrocercus
psi(Int),0.8888581953448467,NA,NA,NA,initial_occupancy,Nycticorax nycticorax
psi(bio4),1.7728522360019996,NA,NA,NA,initial_occupancy,Nycticorax nycticorax
psi(elev_sd),-0.46276393491015977,NA,NA,NA,initial_occupancy,Nycticorax nycticorax
psi(texture_shannon),0.13728503182281468,NA,NA,NA,initial_occupancy,Nycticorax nycticorax
psi(npp_mean),-0.7144207008557488,NA,NA,NA,initial_occupancy,Nycticorax nycticorax
psi(landcover_built),-0.583900974763473,NA,NA,NA,initial_occupancy,Nycticorax nycticorax
col(Int),-5.9230358976483215,NA,NA,NA,colonization,Nycticorax nycticorax
col(block_index),-14.047440128046915,NA,NA,NA,colonization,Nycticorax nycticorax
col(built_rep),-0.6978948519644151,NA,NA,NA,colonization,Nycticorax nycticorax
col(npp_rep),-0.10924253702047297,NA,NA,NA,colonization,Nycticorax nycticorax
ext(Int),-12.156433825646321,NA,NA,NA,extinction,Nycticorax nycticorax
ext(block_index),-14.306847443072789,NA,NA,NA,extinction,Nycticorax nycticorax
ext(built_rep),-4.634803987842422,NA,NA,NA,extinction,Nycticorax nycticorax
ext(bio4),-2.3359871865053776,NA,NA,NA,extinction,Nycticorax nycticorax
p(Int),-3.5531438166650835,NA,NA,NA,other,Nycticorax nycticorax
p(log_events),1.064531316680083,NA,NA,NA,other,Nycticorax nycticorax
p(log_observers),0.1504799355445047,NA,NA,NA,other,Nycticorax nycticorax
p(duration_min),3.922569756818177e-8,NA,NA,NA,other,Nycticorax nycticorax
psi(Int),1.2557307136432343,NA,NA,NA,initial_occupancy,Spodiopsar cineraceus
psi(bio4),0.4022423526790548,NA,NA,NA,initial_occupancy,Spodiopsar cineraceus
psi(elev_sd),-0.19367670570257747,NA,NA,NA,initial_occupancy,Spodiopsar cineraceus
psi(texture_shannon),-0.0417536526011969,NA,NA,NA,initial_occupancy,Spodiopsar cineraceus
psi(npp_mean),-0.05954911912575136,NA,NA,NA,initial_occupancy,Spodiopsar cineraceus
psi(landcover_built),-0.136232167080598,NA,NA,NA,initial_occupancy,Spodiopsar cineraceus
col(Int),-1.598169184260482,NA,NA,NA,colonization,Spodiopsar cineraceus
col(block_index),-8.863785512540241,NA,NA,NA,colonization,Spodiopsar cineraceus
col(built_rep),0.9529838745812483,NA,NA,NA,colonization,Spodiopsar cineraceus
col(npp_rep),1.9246313225097789,NA,NA,NA,colonization,Spodiopsar cineraceus
ext(Int),-4.438978793946171,NA,NA,NA,extinction,Spodiopsar cineraceus
ext(block_index),-0.03432773295570399,NA,NA,NA,extinction,Spodiopsar cineraceus
ext(built_rep),0.6218225834667822,NA,NA,NA,extinction,Spodiopsar cineraceus
ext(bio4),-1.9682292031495232,NA,NA,NA,extinction,Spodiopsar cineraceus
p(Int),-3.1648516871783166,NA,NA,NA,other,Spodiopsar cineraceus
p(log_events),0.8530636745883161,NA,NA,NA,other,Spodiopsar cineraceus
p(log_observers),0.1956801191893019,NA,NA,NA,other,Spodiopsar cineraceus
p(duration_min),-1.7356810340629644e-7,NA,NA,NA,other,Spodiopsar cineraceus
psi(Int),2.651315882121279,NA,NA,NA,initial_occupancy,Phylloscopus inornatus
psi(bio4),1.4645839221907573,NA,NA,NA,initial_occupancy,Phylloscopus inornatus
psi(elev_sd),0.043205952592890784,NA,NA,NA,initial_occupancy,Phylloscopus inornatus
psi(texture_shannon),-0.20514773552199816,NA,NA,NA,initial_occupancy,Phylloscopus inornatus
psi(npp_mean),1.602463014022951,NA,NA,NA,initial_occupancy,Phylloscopus inornatus
psi(landcover_built),-1.5652315447985916,NA,NA,NA,initial_occupancy,Phylloscopus inornatus
col(Int),-0.7895871365048814,NA,NA,NA,colonization,Phylloscopus inornatus
col(block_index),-11.22471405568179,NA,NA,NA,colonization,Phylloscopus inornatus
col(built_rep),1.4177300544995453,NA,NA,NA,colonization,Phylloscopus inornatus
col(npp_rep),4.054768588772266,NA,NA,NA,colonization,Phylloscopus inornatus
ext(Int),-1.1253706473017562,NA,NA,NA,extinction,Phylloscopus inornatus
ext(block_index),-1.2138434995124632,NA,NA,NA,extinction,Phylloscopus inornatus
ext(built_rep),-0.01735407479729813,NA,NA,NA,extinction,Phylloscopus inornatus
ext(bio4),0.32814516361680846,NA,NA,NA,extinction,Phylloscopus inornatus
p(Int),-3.8655154028489602,NA,NA,NA,other,Phylloscopus inornatus
p(log_events),1.1915247149115815,NA,NA,NA,other,Phylloscopus inornatus
p(log_observers),0.06675087263188433,NA,NA,NA,other,Phylloscopus inornatus
p(duration_min),3.2474621662259164e-7,NA,NA,NA,other,Phylloscopus inornatus
psi(Int),0.14700646148186536,NA,NA,NA,initial_occupancy,Cyanopica cyanus
psi(bio4),0.26015248012263764,NA,NA,NA,initial_occupancy,Cyanopica cyanus
psi(elev_sd),0.06212061956150792,NA,NA,NA,initial_occupancy,Cyanopica cyanus
psi(texture_shannon),0.04220721178523851,NA,NA,NA,initial_occupancy,Cyanopica cyanus
psi(npp_mean),-0.15349454347132532,NA,NA,NA,initial_occupancy,Cyanopica cyanus
psi(landcover_built),0.04001605067003708,NA,NA,NA,initial_occupancy,Cyanopica cyanus
col(Int),-3.698332058188206,NA,NA,NA,colonization,Cyanopica cyanus
col(block_index),-10.069055977631654,NA,NA,NA,colonization,Cyanopica cyanus
col(built_rep),-0.42896571532067646,NA,NA,NA,colonization,Cyanopica cyanus
col(npp_rep),-0.3862529096088813,NA,NA,NA,colonization,Cyanopica cyanus
ext(Int),-5.513024724365408,NA,NA,NA,extinction,Cyanopica cyanus
ext(block_index),0.4616823744776042,NA,NA,NA,extinction,Cyanopica cyanus
ext(built_rep),0.1384028678919165,NA,NA,NA,extinction,Cyanopica cyanus
ext(bio4),-0.4761073814163118,NA,NA,NA,extinction,Cyanopica cyanus
p(Int),-2.2001665647009467,NA,NA,NA,other,Cyanopica cyanus
p(log_events),0.5523714392864332,NA,NA,NA,other,Cyanopica cyanus
p(log_observers),0.32546299927927763,NA,NA,NA,other,Cyanopica cyanus
p(duration_min),6.579935777323752e-8,NA,NA,NA,other,Cyanopica cyanus
psi(Int),-0.19345308356563154,NA,NA,NA,initial_occupancy,Chroicocephalus ridibundus
psi(bio4),0.5509461385631851,NA,NA,NA,initial_occupancy,Chroicocephalus ridibundus
psi(elev_sd),1.694613479742097,NA,NA,NA,initial_occupancy,Chroicocephalus ridibundus
psi(texture_shannon),-0.4931690267878344,NA,NA,NA,initial_occupancy,Chroicocephalus ridibundus
psi(npp_mean),1.1952150823349075,NA,NA,NA,initial_occupancy,Chroicocephalus ridibundus
psi(landcover_built),3.2608846452499765,NA,NA,NA,initial_occupancy,Chroicocephalus ridibundus
col(Int),-2.9189272753766518,NA,NA,NA,colonization,Chroicocephalus ridibundus
col(block_index),0.4766790516336373,NA,NA,NA,colonization,Chroicocephalus ridibundus
col(built_rep),0.21520237873287493,NA,NA,NA,colonization,Chroicocephalus ridibundus
col(npp_rep),-0.7581055396557885,NA,NA,NA,colonization,Chroicocephalus ridibundus
ext(Int),-2.1722189929576854,NA,NA,NA,extinction,Chroicocephalus ridibundus
ext(block_index),-0.2704394155784286,NA,NA,NA,extinction,Chroicocephalus ridibundus
ext(built_rep),0.308492398847814,NA,NA,NA,extinction,Chroicocephalus ridibundus
ext(bio4),-0.04336565699300943,NA,NA,NA,extinction,Chroicocephalus ridibundus
p(Int),-2.1858187305772088,NA,NA,NA,other,Chroicocephalus ridibundus
p(log_events),0.6703098631930967,NA,NA,NA,other,Chroicocephalus ridibundus
p(log_observers),0.14468759936889541,NA,NA,NA,other,Chroicocephalus ridibundus
p(duration_min),1.2745076498887443e-8,NA,NA,NA,other,Chroicocephalus ridibundus
psi(Int),1.6054035305939678,NA,NA,NA,initial_occupancy,Phylloscopus proregulus
psi(bio4),0.28191234112785835,NA,NA,NA,initial_occupancy,Phylloscopus proregulus
psi(elev_sd),-0.09458665996895804,NA,NA,NA,initial_occupancy,Phylloscopus proregulus
psi(texture_shannon),0.1615411406486268,NA,NA,NA,initial_occupancy,Phylloscopus proregulus
psi(npp_mean),-0.36295885791031735,NA,NA,NA,initial_occupancy,Phylloscopus proregulus
psi(landcover_built),-0.1922577233870122,NA,NA,NA,initial_occupancy,Phylloscopus proregulus
col(Int),-6.368542539276459,NA,NA,NA,colonization,Phylloscopus proregulus
col(block_index),-14.107802402951231,NA,NA,NA,colonization,Phylloscopus proregulus
col(built_rep),-0.37203555455397846,NA,NA,NA,colonization,Phylloscopus proregulus
col(npp_rep),0.5400722713946591,NA,NA,NA,colonization,Phylloscopus proregulus
ext(Int),0.575427677507717,NA,NA,NA,extinction,Phylloscopus proregulus
ext(block_index),-10.79893821121848,NA,NA,NA,extinction,Phylloscopus proregulus
ext(built_rep),-22.69450093614408,NA,NA,NA,extinction,Phylloscopus proregulus
ext(bio4),-0.5660181972890767,NA,NA,NA,extinction,Phylloscopus proregulus
p(Int),-4.055322397319599,NA,NA,NA,other,Phylloscopus proregulus
p(log_events),1.2480288343155832,NA,NA,NA,other,Phylloscopus proregulus
p(log_observers),0.04647158659097396,NA,NA,NA,other,Phylloscopus proregulus
p(duration_min),1.510759273257665e-7,NA,NA,NA,other,Phylloscopus proregulus
psi(Int),2.2536425482491125,NA,NA,NA,initial_occupancy,Emberiza pusilla
psi(bio4),1.9928056885701133,NA,NA,NA,initial_occupancy,Emberiza pusilla
psi(elev_sd),-0.21061035643171866,NA,NA,NA,initial_occupancy,Emberiza pusilla
psi(texture_shannon),-0.014573424754003266,NA,NA,NA,initial_occupancy,Emberiza pusilla
psi(npp_mean),-0.13996920636114515,NA,NA,NA,initial_occupancy,Emberiza pusilla
psi(landcover_built),-0.6687717488489466,NA,NA,NA,initial_occupancy,Emberiza pusilla
col(Int),-2.572177777075643,NA,NA,NA,colonization,Emberiza pusilla
col(block_index),-12.786040085696241,NA,NA,NA,colonization,Emberiza pusilla
col(built_rep),0.34952892799549146,NA,NA,NA,colonization,Emberiza pusilla
col(npp_rep),2.0870771422269923,NA,NA,NA,colonization,Emberiza pusilla
ext(Int),-3.2572843631946578,NA,NA,NA,extinction,Emberiza pusilla
ext(block_index),-0.24255788079084017,NA,NA,NA,extinction,Emberiza pusilla
ext(built_rep),0.03641189699385549,NA,NA,NA,extinction,Emberiza pusilla
ext(bio4),0.36168478046589086,NA,NA,NA,extinction,Emberiza pusilla
p(Int),-3.82421992941076,NA,NA,NA,other,Emberiza pusilla
p(log_events),1.083586674396212,NA,NA,NA,other,Emberiza pusilla
p(log_observers),0.13483565441364956,NA,NA,NA,other,Emberiza pusilla
p(duration_min),1.1451764485495286e-7,NA,NA,NA,other,Emberiza pusilla
psi(Int),67.18475619071764,NA,NA,NA,initial_occupancy,Buteo japonicus
psi(bio4),3.778044258067339,NA,NA,NA,initial_occupancy,Buteo japonicus
psi(elev_sd),15.206264629531738,NA,NA,NA,initial_occupancy,Buteo japonicus
psi(texture_shannon),-42.64722280388671,NA,NA,NA,initial_occupancy,Buteo japonicus
psi(npp_mean),6.855965140435288,NA,NA,NA,initial_occupancy,Buteo japonicus
psi(landcover_built),3.943537263110608,NA,NA,NA,initial_occupancy,Buteo japonicus
col(Int),-12.6818638234689,NA,NA,NA,colonization,Buteo japonicus
col(block_index),-11.155919910628926,NA,NA,NA,colonization,Buteo japonicus
col(built_rep),-0.40504518837185194,NA,NA,NA,colonization,Buteo japonicus
col(npp_rep),2.031865083220327,NA,NA,NA,colonization,Buteo japonicus
ext(Int),-3.095247851480317,NA,NA,NA,extinction,Buteo japonicus
ext(block_index),-1.0450941443789359,NA,NA,NA,extinction,Buteo japonicus
ext(built_rep),-2.8746161227488636,NA,NA,NA,extinction,Buteo japonicus
ext(bio4),-0.22019677418798872,NA,NA,NA,extinction,Buteo japonicus
p(Int),-4.338358179671545,NA,NA,NA,other,Buteo japonicus
p(log_events),1.0529127651425263,NA,NA,NA,other,Buteo japonicus
p(log_observers),0.2862011901044844,NA,NA,NA,other,Buteo japonicus
p(duration_min),-4.1741705148956883e-7,NA,NA,NA,other,Buteo japonicus
psi(Int),0.5729462926136554,NA,NA,NA,initial_occupancy,Bubulcus coromandus
psi(bio4),1.175439464686753,NA,NA,NA,initial_occupancy,Bubulcus coromandus
psi(elev_sd),-1.1491966820939623,NA,NA,NA,initial_occupancy,Bubulcus coromandus
psi(texture_shannon),0.8992843656216225,NA,NA,NA,initial_occupancy,Bubulcus coromandus
psi(npp_mean),-1.011206727624103,NA,NA,NA,initial_occupancy,Bubulcus coromandus
psi(landcover_built),-0.8130918638762898,NA,NA,NA,initial_occupancy,Bubulcus coromandus
col(Int),-9.16292438088174,NA,NA,NA,colonization,Bubulcus coromandus
col(block_index),-16.776803937568832,NA,NA,NA,colonization,Bubulcus coromandus
col(built_rep),-3.8557935808366564,NA,NA,NA,colonization,Bubulcus coromandus
col(npp_rep),-0.3641230089217814,NA,NA,NA,colonization,Bubulcus coromandus
ext(Int),-9.120122836160975,NA,NA,NA,extinction,Bubulcus coromandus
ext(block_index),-13.558250368106567,NA,NA,NA,extinction,Bubulcus coromandus
ext(built_rep),-3.635513444201925,NA,NA,NA,extinction,Bubulcus coromandus
ext(bio4),-2.729573613136786,NA,NA,NA,extinction,Bubulcus coromandus
p(Int),-3.50009940954186,NA,NA,NA,other,Bubulcus coromandus
p(log_events),0.9446673881564839,NA,NA,NA,other,Bubulcus coromandus
p(log_observers),0.16699303491006912,NA,NA,NA,other,Bubulcus coromandus
p(duration_min),2.0546734427105126e-7,NA,NA,NA,other,Bubulcus coromandus
psi(Int),1.95878221242936,NA,NA,NA,initial_occupancy,Tringa ochropus
psi(bio4),1.0142464631743113,NA,NA,NA,initial_occupancy,Tringa ochropus
psi(elev_sd),-0.7417782677628133,NA,NA,NA,initial_occupancy,Tringa ochropus
psi(texture_shannon),0.21057289768452317,NA,NA,NA,initial_occupancy,Tringa ochropus
psi(npp_mean),-0.9644436669519207,NA,NA,NA,initial_occupancy,Tringa ochropus
psi(landcover_built),1.7470826058768023,NA,NA,NA,initial_occupancy,Tringa ochropus
col(Int),-8.601491563503824,NA,NA,NA,colonization,Tringa ochropus
col(block_index),2.0241898986865032,NA,NA,NA,colonization,Tringa ochropus
col(built_rep),-4.757697674425509,NA,NA,NA,colonization,Tringa ochropus
col(npp_rep),0.8351830213562133,NA,NA,NA,colonization,Tringa ochropus
ext(Int),-1.8069479547690337,NA,NA,NA,extinction,Tringa ochropus
ext(block_index),-0.4984287296061793,NA,NA,NA,extinction,Tringa ochropus
ext(built_rep),-0.06341597362024337,NA,NA,NA,extinction,Tringa ochropus
ext(bio4),-0.14189108572677184,NA,NA,NA,extinction,Tringa ochropus
p(Int),-3.9768837831532173,NA,NA,NA,other,Tringa ochropus
p(log_events),1.1813450714627365,NA,NA,NA,other,Tringa ochropus
p(log_observers),0.02893972506548827,NA,NA,NA,other,Tringa ochropus
p(duration_min),1.2878491642912993e-7,NA,NA,NA,other,Tringa ochropus
psi(Int),-0.26575120018571197,NA,NA,NA,initial_occupancy,Corvus corone
psi(bio4),-0.19924866245878536,NA,NA,NA,initial_occupancy,Corvus corone
psi(elev_sd),1.9087777179831085,NA,NA,NA,initial_occupancy,Corvus corone
psi(texture_shannon),-0.4776149058714624,NA,NA,NA,initial_occupancy,Corvus corone
psi(npp_mean),-1.9136627596819378,NA,NA,NA,initial_occupancy,Corvus corone
psi(landcover_built),3.9068672865148897,NA,NA,NA,initial_occupancy,Corvus corone
col(Int),-4.365553139942271,NA,NA,NA,colonization,Corvus corone
col(block_index),0.9861543900583013,NA,NA,NA,colonization,Corvus corone
col(built_rep),0.126539107308084,NA,NA,NA,colonization,Corvus corone
col(npp_rep),0.8730889885770173,NA,NA,NA,colonization,Corvus corone
ext(Int),-3.2232403970311854,NA,NA,NA,extinction,Corvus corone
ext(block_index),-0.012172102956706442,NA,NA,NA,extinction,Corvus corone
ext(built_rep),0.021181843856570667,NA,NA,NA,extinction,Corvus corone
ext(bio4),0.4938352356910165,NA,NA,NA,extinction,Corvus corone
p(Int),-1.9056869402649952,NA,NA,NA,other,Corvus corone
p(log_events),0.11535493468106724,NA,NA,NA,other,Corvus corone
p(log_observers),0.669362407937158,NA,NA,NA,other,Corvus corone
p(duration_min),1.7561882435744057e-7,NA,NA,NA,other,Corvus corone
psi(Int),-0.9053941900604665,NA,NA,NA,initial_occupancy,Dendrocopos major
psi(bio4),26.66506642055404,NA,NA,NA,initial_occupancy,Dendrocopos major
psi(elev_sd),-0.08914693124311897,NA,NA,NA,initial_occupancy,Dendrocopos major
psi(texture_shannon),-3.926708292568547,NA,NA,NA,initial_occupancy,Dendrocopos major
psi(npp_mean),-23.608613253298646,NA,NA,NA,initial_occupancy,Dendrocopos major
psi(landcover_built),1.6836180980393465,NA,NA,NA,initial_occupancy,Dendrocopos major
col(Int),-2.384593341745332,NA,NA,NA,colonization,Dendrocopos major
col(block_index),0.340809473585017,NA,NA,NA,colonization,Dendrocopos major
col(built_rep),0.305536439930888,NA,NA,NA,colonization,Dendrocopos major
col(npp_rep),-0.005938052651899337,NA,NA,NA,colonization,Dendrocopos major
ext(Int),-1.0766764148921664,NA,NA,NA,extinction,Dendrocopos major
ext(block_index),-0.43222465765361007,NA,NA,NA,extinction,Dendrocopos major
ext(built_rep),0.488319818094294,NA,NA,NA,extinction,Dendrocopos major
ext(bio4),-0.7041250374121965,NA,NA,NA,extinction,Dendrocopos major
p(Int),-2.5844144579441104,NA,NA,NA,other,Dendrocopos major
p(log_events),1.0393921821845729,NA,NA,NA,other,Dendrocopos major
p(log_observers),-0.20052876848703216,NA,NA,NA,other,Dendrocopos major
p(duration_min),-1.7521412810256683e-7,NA,NA,NA,other,Dendrocopos major
psi(Int),-0.936524392961491,NA,NA,NA,initial_occupancy,Aegithalos concinnus
psi(bio4),-4.993320644877461,NA,NA,NA,initial_occupancy,Aegithalos concinnus
psi(elev_sd),-1.298257154517137,NA,NA,NA,initial_occupancy,Aegithalos concinnus
psi(texture_shannon),-5.272177903806057,NA,NA,NA,initial_occupancy,Aegithalos concinnus
psi(npp_mean),1.7703503245135226,NA,NA,NA,initial_occupancy,Aegithalos concinnus
psi(landcover_built),-7.903277221821915,NA,NA,NA,initial_occupancy,Aegithalos concinnus
