term,estimate,std.error,z_statistic,p_value,component,species
p(log_observers),0.3044022720803392,NA,NA,NA,other,Falco tinnunculus
p(duration_min),1.2531125927281e-7,NA,NA,NA,other,Falco tinnunculus
psi(Int),0.05740596004209361,NA,NA,NA,initial_occupancy,Pycnonotus sinensis
psi(bio4),0.6442902951983505,NA,NA,NA,initial_occupancy,Pycnonotus sinensis
psi(elev_sd),-0.4138084018280633,NA,NA,NA,initial_occupancy,Pycnonotus sinensis
psi(texture_shannon),-0.5209848993043814,NA,NA,NA,initial_occupancy,Pycnonotus sinensis
psi(npp_mean),-1.0086523954830364,NA,NA,NA,initial_occupancy,Pycnonotus sinensis
psi(landcover_built),-0.13181379973607932,NA,NA,NA,initial_occupancy,Pycnonotus sinensis
col(Int),9.99714175396187,NA,NA,NA,colonization,Pycnonotus sinensis
col(block_index),-11.990610094493073,NA,NA,NA,colonization,Pycnonotus sinensis
col(built_rep),-3.094487304252879,NA,NA,NA,colonization,Pycnonotus sinensis
col(npp_rep),-0.3165484575232046,NA,NA,NA,colonization,Pycnonotus sinensis
ext(Int),1.9575410606604768,NA,NA,NA,extinction,Pycnonotus sinensis
ext(block_index),-5.633193087280823,NA,NA,NA,extinction,Pycnonotus sinensis
ext(built_rep),0.1437122458346469,NA,NA,NA,extinction,Pycnonotus sinensis
ext(bio4),-5.996150758346454,NA,NA,NA,extinction,Pycnonotus sinensis
p(Int),-1.8875086323808414,NA,NA,NA,other,Pycnonotus sinensis
p(log_events),0.8623616913800014,NA,NA,NA,other,Pycnonotus sinensis
p(log_observers),0.4138929772968655,NA,NA,NA,other,Pycnonotus sinensis
p(duration_min),8.176343682190095e-7,NA,NA,NA,other,Pycnonotus sinensis
psi(Int),0.3974961954313464,NA,NA,NA,initial_occupancy,Egretta garzetta
psi(bio4),-0.4169947416497271,NA,NA,NA,initial_occupancy,Egretta garzetta
psi(elev_sd),-0.10272690910839179,NA,NA,NA,initial_occupancy,Egretta garzetta
psi(texture_shannon),-1.9551734287710836,NA,NA,NA,initial_occupancy,Egretta garzetta
psi(npp_mean),-0.6089109804412887,NA,NA,NA,initial_occupancy,Egretta garzetta
