species,phylo_species,bridge_type,in_phylogeny
Fulica atra,Fulica atra,direct,TRUE
Gallinago gallinago,Gallinago gallinago,direct,TRUE
Gallinula chloropus,Gallinula chloropus,direct,TRUE
Garrulus glandarius,Garrulus glandarius,direct,TRUE
Gracupica nigricollis,Gracupica nigricollis,direct,TRUE
Gyps himalayensis,Gyps himalayensis,direct,TRUE
Halcyon smyrnensis,Halcyon smyrnensis,direct,TRUE
Hemixos castanonotus,Hemixos castanonotus,direct,TRUE
Himantopus himantopus,Himantopus himantopus,direct,TRUE
Hirundo rustica,Hirundo rustica,direct,TRUE
Horornis fortipes,Horornis fortipes,direct,TRUE
Hypsipetes leucocephalus,Hypsipetes leucocephalus,direct,TRUE
Ixobrychus sinensis,Botaurus sinensis,manual_bridge,TRUE
Ixos mcclellandii,Ixos mcclellandii,direct,TRUE
Lanius cristatus,Lanius cristatus,direct,TRUE
Lanius schach,Lanius schach,direct,TRUE
Lanius sphenocercus,Lanius sphenocercus,direct,TRUE
Lanius tephronotus,Lanius tephronotus,direct,TRUE
Larus argentatus,Larus argentatus,direct,TRUE
Leiothrix lutea,Leiothrix lutea,direct,TRUE
Limosa limosa,Limosa limosa,direct,TRUE
Lonchura punctulata,Lonchura punctulata,direct,TRUE
Lonchura striata,Lonchura striata,direct,TRUE
Mareca falcata,Mareca falcata,direct,TRUE
Mareca penelope,Mareca penelope,direct,TRUE
Mareca strepera,Mareca strepera,direct,TRUE
Mergus merganser,Mergus merganser,direct,TRUE
Milvus migrans,Milvus migrans,direct,TRUE
Monticola solitarius,Monticola solitarius,direct,TRUE
Motacilla alba,Motacilla alba,direct,TRUE
Motacilla cinerea,Motacilla cinerea,direct,TRUE
Motacilla citreola,Motacilla citreola,direct,TRUE
Motacilla tschutschensis,Motacilla tschutschensis,direct,TRUE
Muscicapa sibirica,Muscicapa sibirica,direct,TRUE
Myophonus caeruleus,Myophonus caeruleus,direct,TRUE
Nycticorax nycticorax,Nycticorax nycticorax,direct,TRUE
Oriolus chinensis,Oriolus chinensis,direct,TRUE
Pardaliparus venustulus,Periparus venustulus,manual_bridge,TRUE
Parus minor,Parus cinereus,manual_bridge,TRUE
Parus monticolus,Parus monticolus,direct,TRUE
Passer cinnamomeus,Passer cinnamomeus,direct,TRUE
Passer montanus,Passer montanus,direct,TRUE
Pericrocotus solaris,Pericrocotus solaris,direct,TRUE
Periparus ater,Periparus ater,direct,TRUE
Pernis ptilorhynchus,Pernis ptilorhynchus,direct,TRUE
Phalacrocorax carbo,Phalacrocorax carbo,direct,TRUE
Phasianus colchicus,Phasianus colchicus,direct,TRUE
Phoenicurus auroreus,Phoenicurus auroreus,direct,TRUE
Phoenicurus frontalis,Phoenicurus frontalis,direct,TRUE
Phoenicurus fuliginosus,Phoenicurus fuliginosus,direct,TRUE
Phoenicurus ochruros,Phoenicurus ochruros,direct,TRUE
Phylloscopus borealis,Phylloscopus borealis,direct,TRUE
Phylloscopus fuscatus,Phylloscopus fuscatus,direct,TRUE
Phylloscopus humei,Phylloscopus humei,direct,TRUE
Phylloscopus inornatus,Phylloscopus inornatus,direct,TRUE
Phylloscopus proregulus,Phylloscopus proregulus,direct,TRUE
Pica serica,Pica serica,direct,TRUE
Picoides canicapillus,Picoides canicapillus,direct,FALSE
Picumnus innominatus,Picumnus innominatus,direct,TRUE
Picus canus,Picus canus,direct,TRUE
Platalea leucorodia,Platalea leucorodia,direct,TRUE
Podiceps cristatus,Podiceps cristatus,direct,TRUE
Pomatorhinus ruficollis,Pomatorhinus ruficollis,direct,TRUE
Prinia flaviventris,Prinia flaviventris,direct,TRUE
Prinia inornata,Prinia inornata,direct,TRUE
Psilopogon virens,Psilopogon virens,direct,TRUE
Pterorhinus sannio,Pterorhinus sannio,direct,TRUE
Ptyonoprogne rupestris,Ptyonoprogne rupestris,direct,TRUE
Pycnonotus aurigaster,Pycnonotus aurigaster,direct,TRUE
Pycnonotus jocosus,Pycnonotus jocosus,direct,TRUE
Pycnonotus sinensis,Pycnonotus sinensis,direct,TRUE
Pycnonotus xanthorrhous,Pycnonotus xanthorrhous,direct,TRUE
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,direct,TRUE
Recurvirostra avosetta,Recurvirostra avosetta,direct,TRUE
Regulus regulus,Regulus regulus,direct,TRUE
Riparia diluta,Riparia diluta,direct,TRUE
Riparia riparia,Riparia riparia,direct,TRUE
Saxicola maurus,Saxicola maurus,direct,TRUE
Saxicola stejnegeri,Saxicola stejnegeri,direct,TRUE
Sinosuthora webbiana,Suthora webbiana,manual_bridge,TRUE
Spatula clypeata,Spatula clypeata,direct,TRUE
Spatula querquedula,Spatula querquedula,direct,TRUE
Spilopelia chinensis,Spilopelia chinensis,direct,TRUE
Spizixos semitorques,Spizixos semitorques,direct,TRUE
Spodiopsar cineraceus,Spodiopsar cineraceus,direct,TRUE
Spodiopsar sericeus,Spodiopsar sericeus,direct,TRUE
Sterna hirundo,Sterna hirundo,direct,TRUE
Streptopelia decaocto,Streptopelia decaocto,direct,TRUE
Streptopelia orientalis,Streptopelia orientalis,direct,TRUE
Tachybaptus ruficollis,Tachybaptus ruficollis,direct,TRUE
Tadorna ferruginea,Tadorna ferruginea,direct,TRUE
Tadorna tadorna,Tadorna tadorna,direct,TRUE
Tarsiger cyanurus,Tarsiger cyanurus,direct,TRUE
Tringa erythropus,Tringa erythropus,direct,TRUE
Tringa glareola,Tringa glareola,direct,TRUE
Tringa nebularia,Tringa nebularia,direct,TRUE
Tringa ochropus,Tringa ochropus,direct,TRUE
Tringa stagnatilis,Tringa stagnatilis,direct,TRUE
Tringa totanus,Tringa totanus,direct,TRUE
Trochalopteron elliotii,Trochalopteron elliotii,direct,TRUE
Troglodytes troglodytes,Troglodytes troglodytes,direct,TRUE
Turdus eunomus,Turdus eunomus,direct,TRUE
Turdus hortulorum,Turdus hortulorum,direct,TRUE
Turdus mandarinus,Turdus mandarinus,direct,TRUE
Turdus naumanni,Turdus naumanni,direct,TRUE
Upupa epops,Upupa epops,direct,TRUE
Urocissa erythroryncha,Urocissa erythroryncha,direct,TRUE
Vanellus cinereus,Vanellus cinereus,direct,TRUE
Vanellus vanellus,Vanellus vanellus,direct,TRUE
Zosterops simplex,Zosterops simplex,direct,TRUE
