species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year,candidate_rank
Turdus hortulorum,931,5,283,2002,2024,172
Troglodytes troglodytes,928,5,298,2000,2024,173
Cisticola juncidis,919,5,274,2000,2024,174
Gracupica nigricollis,919,5,200,2000,2024,175
Pycnonotus aurigaster,913,5,186,2001,2024,176
Phylloscopus humei,905,5,273,2000,2024,177
Circus spilonotus,899,5,326,2000,2024,178
Pericrocotus solaris,897,5,234,2000,2024,179
Cuculus sparverioides,889,5,259,2000,2023,180
Aquila chrysaetos,887,5,321,2000,2024,181
Ptyonoprogne rupestris,881,5,299,2000,2024,182
Anthus rubescens,873,5,300,2001,2024,183
Picoides canicapillus,871,4,345,2006,2024,184
Lanius sphenocercus,869,5,324,2001,2024,185
Psilopogon virens,868,5,233,2000,2024,186
Ceryle rudis,861,5,224,2000,2024,187
Halcyon smyrnensis,860,5,207,2000,2024,188
Regulus regulus,855,5,262,2000,2024,189
Sitta europaea,851,5,275,2000,2024,190
Garrulax canorus,845,5,274,2002,2024,191
Riparia diluta,841,5,306,2000,2024,192
Saxicola ferreus,831,5,242,2000,2024,193
Accipiter soloensis,830,5,257,2002,2024,194
Accipiter virgatus,830,5,292,2000,2024,195
Aethopyga christinae,829,5,202,2000,2024,196
Eumyias thalassinus,829,5,216,2000,2024,197
Prinia flaviventris,827,5,181,2002,2024,198
Athene noctua,824,5,292,2000,2024,199
Anthus roseatus,823,5,269,2000,2024,200
Phoenicurus hodgsoni,823,5,235,2000,2024,201
Accipiter gentilis,822,5,324,2000,2024,202
Anser indicus,820,5,276,2000,2024,203
Emberiza tristrami,817,5,253,2000,2024,204
Netta rufina,816,5,308,2000,2024,205
Corvus frugilegus,813,5,332,2001,2024,206
Orthotomus sutorius,813,5,157,2000,2024,207
Ciconia nigra,806,5,350,2001,2024,208
Phylloscopus borealis,803,5,308,2002,2024,209
Pericrocotus ethologus,802,5,203,2000,2024,210
Spatula querquedula,796,5,342,2000,2024,211
Ardea intermedia,793,4,338,2007,2024,212
Nucifraga caryocatactes,786,5,205,2000,2024,213
Ardea purpurea,784,5,275,2000,2024,214
Cyanoderma ruficeps,784,4,256,2005,2024,215
Streptopelia tranquebarica,783,5,294,2000,2024,216
Emberiza rustica,780,5,274,2001,2024,217
Limosa limosa,778,5,277,2000,2024,218
Spinus spinus,776,5,291,2002,2024,219
Chlidonias leucopterus,775,5,305,2000,2024,220
Ficedula zanthopygia,770,5,265,2000,2024,221
Glaucidium cuculoides,770,5,240,2000,2024,222
Pterorhinus perspicillatus,769,4,228,2005,2024,223
Egretta intermedia,763,5,226,2000,2023,224
Calidris temminckii,761,5,304,2001,2024,225
Phylloscopus claudiae,761,5,222,2000,2024,226
Emberiza chrysophrys,758,5,254,2000,2024,227
Emberiza pallasi,758,5,275,2000,2024,228
Larus brunnicephalus,758,5,278,2000,2024,229
Spilornis cheela,757,5,230,2000,2024,230
Centropus sinensis,756,5,168,2000,2024,231
Bucephala clangula,755,5,285,2000,2024,232
Tringa stagnatilis,752,5,265,2000,2024,233
Charadrius placidus,751,5,302,2000,2024,234
Glaucidium brodiei,751,5,225,2001,2024,235
Megaceryle lugubris,751,5,220,2000,2024,236
Larus ichthyaetus,749,5,275,2000,2024,237
Sturnus vulgaris,747,5,311,2000,2024,238
Anser cygnoides,746,5,245,2000,2024,239
Pseudopodoces humilis,743,5,180,2000,2024,240
Zosterops erythropleurus,731,5,252,2000,2024,241
Hierococcyx sparverioides,725,5,302,2003,2024,242
Phylloscopus trochiloides,724,5,218,2000,2024,243
Larus argentatus,721,5,220,2000,2023,244
Gypaetus barbatus,720,5,216,2000,2024,245
