grid_cell,metric,trend_mean,trend_l95,trend_u95,p_pos,sig95
985,corrected_richness,4.10863356135244,3.673926725697623,4.604172222556136,1,TRUE
986,corrected_richness,4.128111645582454,3.677451318414538,4.5861509830281575,1,TRUE
987,corrected_richness,4.04171750156391,3.6134529471056314,4.474541873258676,1,TRUE
988,corrected_richness,3.4257595820697695,2.9592740684556977,3.8650388664967004,1,TRUE
989,corrected_richness,3.500690189546389,3.018851974024959,3.9033390233555045,1,TRUE
991,corrected_richness,2.8698779644866335,2.4490704579919047,3.231598163930435,1,TRUE
992,corrected_richness,2.806827623151015,2.3577669113757986,3.1694300559579007,1,TRUE
993,corrected_richness,2.633995509021884,2.2063158851293116,3.013195080898247,1,TRUE
994,corrected_richness,2.402497117566783,1.9901039041768016,2.759045513628178,1,TRUE
995,corrected_richness,2.4171871403889704,2.016376648147434,2.7916700957974347,1,TRUE
996,corrected_richness,2.270935135876989,1.8709734491975392,2.652849944635182,1,TRUE
997,corrected_richness,2.1380882303608697,1.811777299689198,2.532427613891084,1,TRUE
999,corrected_richness,2.127638070296917,1.7775916810048678,2.4759624088965477,1,TRUE
1001,corrected_richness,2.797667950895614,2.4740505768913135,3.1556032485179344,1,TRUE
1002,corrected_richness,2.841255662327607,2.501533781840596,3.17593065226471,1,TRUE
1003,corrected_richness,2.8570067308107974,2.521864701590799,3.186483777879919,1,TRUE
1018,corrected_richness,2.4907944742759858,2.1314140385287366,2.775361956604263,1,TRUE
1019,corrected_richness,2.4512457746555394,2.103591334160212,2.7521340537842107,1,TRUE
1020,corrected_richness,2.683639061757303,2.307415956475146,3.0320964101656718,1,TRUE
1021,corrected_richness,2.5637680229125364,2.2301957283968123,2.9361258486357,1,TRUE
1022,corrected_richness,2.839507711549008,2.435175708509451,3.1985977913146972,1,TRUE
1023,corrected_richness,2.8783184769108554,2.500690325781289,3.230363110958729,1,TRUE
1025,corrected_richness,2.895919565967869,2.534959808507191,3.299373503040344,1,TRUE
1026,corrected_richness,2.9658082468144618,2.6195023935829154,3.373595795901939,1,TRUE
1027,corrected_richness,3.045289560129249,2.6873653021665307,3.4842044252854563,1,TRUE
1028,corrected_richness,3.1265200935528026,2.7527673514891293,3.5634612832820323,1,TRUE
1029,corrected_richness,3.1907714512582324,2.755890237413949,3.580188562307311,1,TRUE
1055,corrected_richness,3.5923827496777996,3.067501222352555,4.124947721348808,1,TRUE
1057,corrected_richness,3.8325094037951297,3.3251559997093585,4.31815795644184,1,TRUE
1058,corrected_richness,3.7769617467282126,3.3111866480029124,4.24308028735055,1,TRUE
1061,corrected_richness,3.3911296302977654,2.926890293692596,3.9222436139936625,1,TRUE
1063,corrected_richness,3.326941639131069,2.8933183223467887,3.8235677583530445,1,TRUE
1064,corrected_richness,3.4188551229965536,3.021034521589382,3.851022232878633,1,TRUE
1065,corrected_richness,3.282367161615383,2.8323331348934206,3.710987254893159,1,TRUE
1066,corrected_richness,3.1435981772053867,2.7315557758128435,3.5565891006814985,1,TRUE
1068,corrected_richness,3.373638252067169,2.8644290719271415,3.858259359811592,1,TRUE
1069,corrected_richness,3.2776412946317257,2.7828005308012065,3.7651673835817507,1,TRUE
1070,corrected_richness,3.1574023524091435,2.660712855837548,3.6349699394688924,1,TRUE
1073,corrected_richness,3.1874799951626582,2.7470091741190323,3.6955954786101604,1,TRUE
1075,corrected_richness,3.078686747184647,2.648652611263984,3.549264147768904,1,TRUE
1076,corrected_richness,3.0332811648363767,2.5854911984276687,3.5151109872803676,1,TRUE
1089,corrected_richness,2.4490305713170097,2.1536921369300392,2.775163141415416,1,TRUE
1090,corrected_richness,2.464967011356377,2.174186559393516,2.784711100276336,1,TRUE
1091,corrected_richness,2.4484047066794057,2.120940508422968,2.78334123777392,1,TRUE
1092,corrected_richness,2.404871055554622,2.0437219241774027,2.77784030828402,1,TRUE
1093,corrected_richness,2.4473642315512234,2.058262726020299,2.8334844779823842,1,TRUE
1094,corrected_richness,2.5297744665825665,2.115763339551065,2.9485240661732495,1,TRUE
1095,corrected_richness,2.709486743473172,2.3538676432008607,3.065855612896661,1,TRUE
1096,corrected_richness,2.7008576906518353,2.3985775853055347,3.048682925832751,1,TRUE
1097,corrected_richness,2.5525390275850297,2.2200673041110233,2.9409497677233487,1,TRUE
1098,corrected_richness,2.6418370009111936,2.316449116282364,3.0008353870471174,1,TRUE
