grid_cell,block_label,mean_local_sorensen
953,2000-2004,0.1112167718389575
955,2000-2004,0.1077411764555903
956,2000-2004,0.11602119609662903
985,2000-2004,0.12644933784706625
986,2000-2004,0.13423874227547958
987,2000-2004,0.13307903056495027
988,2000-2004,0.10076157660196731
989,2000-2004,0.10517828202979382
991,2000-2004,0.0806696192334731
992,2000-2004,0.07005268527940176
993,2000-2004,0.061117959514100706
994,2000-2004,0.060476424121854444
995,2000-2004,0.06543858217405504
996,2000-2004,0.06470470979689806
997,2000-2004,0.0625186811077274
999,2000-2004,0.06084595390664476
1001,2000-2004,0.056786147790225804
1002,2000-2004,0.06090561756323521
1003,2000-2004,0.06572126079812397
1018,2000-2004,0.11648590869087613
1019,2000-2004,0.12919812870125116
1020,2000-2004,0.13527391441448838
1021,2000-2004,0.1646434290483077
1022,2000-2004,0.09808671586460331
1023,2000-2004,0.10441399189511989
1025,2000-2004,0.11189912022973054
1026,2000-2004,0.11251749798649943
1027,2000-2004,0.10910142543059691
1028,2000-2004,0.12166969249684897
1029,2000-2004,0.11981942062018956
1055,2000-2004,0.12555004136476222
1057,2000-2004,0.12846102201496332
1058,2000-2004,0.1145058576486094
1061,2000-2004,0.12410716698911166
1063,2000-2004,0.0976133776270292
1064,2000-2004,0.07748886614841799
1065,2000-2004,0.07695595726907892
1066,2000-2004,0.07583183397201776
1068,2000-2004,0.11717169810610294
1069,2000-2004,0.12291489611205725
1070,2000-2004,0.09490862079134028
1073,2000-2004,0.06625351664968747
1075,2000-2004,0.06929530449187424
1076,2000-2004,0.07735907408938514
1089,2000-2004,0.11274304868368133
1090,2000-2004,0.11635653832212806
1091,2000-2004,0.10948646857005764
1092,2000-2004,0.10961208741055732
1093,2000-2004,0.11558661071183329
1094,2000-2004,0.12510330380089058
1095,2000-2004,0.09086834919924716
1096,2000-2004,0.08693465552152799
1097,2000-2004,0.09711829931093498
1098,2000-2004,0.08922249894139335
1099,2000-2004,0.09457463176224215
1100,2000-2004,0.10154713254394153
1101,2000-2004,0.10689755990074172
1103,2000-2004,0.09696571178481608
1125,2000-2004,0.12078290684126328
1126,2000-2004,0.11853058410473531
