species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year
Spizixos semitorques,1900,5,338,2000,2024
Columba livia,1896,5,542,2000,2024
Accipiter nisus,1881,5,622,2000,2024
Anas carolinensis,1827,5,563,2000,2024
Charadrius dubius,1811,5,581,2000,2024
Himantopus himantopus,1807,5,561,2000,2024
Prinia inornata,1798,5,370,2000,2024
Emberiza spodocephala,1794,5,523,2000,2024
Picus canus,1781,5,516,2000,2024
Phylloscopus fuscatus,1767,5,509,2000,2024
Buteo hemilasius,1690,5,554,2000,2024
Spodiopsar sericeus,1673,5,358,2002,2024
Garrulus glandarius,1662,5,438,2000,2024
Sterna hirundo,1660,5,536,2000,2024
Columba rupestris,1647,5,499,2000,2024
Pomatorhinus ruficollis,1628,5,329,2000,2024
Mergus merganser,1607,5,520,2000,2024
Fringilla montifringilla,1599,5,517,2000,2024
Passer cinnamomeus,1598,5,434,2000,2024
Myophonus caeruleus,1596,5,373,2000,2024
Pyrrhocorax pyrrhocorax,1595,5,424,2000,2024
Saxicola stejnegeri,1582,5,464,2000,2024
Horornis fortipes,1581,5,347,2001,2024
Pardaliparus venustulus,1579,5,377,2000,2024
Streptopelia decaocto,1576,5,502,2000,2024
Pycnonotus xanthorrhous,1565,5,323,2000,2024
Eophona migratoria,1558,5,376,2000,2024
Emberiza elegans,1529,5,401,2000,2024
Mareca strepera,1506,5,510,2000,2024
Pterorhinus sannio,1505,5,303,2000,2024
Lonchura striata,1503,5,321,2000,2024
Tringa nebularia,1467,5,430,2000,2024
Motacilla tschutschensis,1460,5,517,2000,2024
Hypsipetes leucocephalus,1428,5,300,2000,2024
Urocissa erythroryncha,1411,5,398,2002,2024
Delichon dasypus,1397,5,391,2000,2024
Carpodacus erythrinus,1394,5,444,2000,2024
Tringa totanus,1392,5,443,2000,2024
Motacilla citreola,1386,5,509,2000,2024
Falco peregrinus,1359,5,457,2000,2024
Aythya ferina,1354,5,449,2000,2024
Vanellus cinereus,1354,5,431,2000,2024
Vanellus vanellus,1352,5,463,2000,2024
Tringa glareola,1345,5,467,2000,2024
Falco subbuteo,1326,5,493,2000,2024
Ixos mcclellandii,1326,5,296,2000,2024
Gallinago gallinago,1324,5,438,2000,2024
Lonchura punctulata,1314,5,294,2001,2024
Apus pacificus,1304,5,432,2000,2024
Apus nipalensis,1299,5,327,2000,2024
Eudynamys scolopaceus,1294,5,374,2000,2024
Chlidonias hybrida,1273,5,449,2000,2024
Oriolus chinensis,1251,5,401,2000,2024
Periparus ater,1247,5,357,2000,2024
Amaurornis phoenicurus,1236,5,337,2000,2024
Charadrius alexandrinus,1234,5,362,2000,2024
Apus apus,1233,5,400,2000,2024
Falco amurensis,1232,5,424,2000,2024
Spatula clypeata,1212,5,440,2000,2024
Aegithalos glaucogularis,1196,5,323,2000,2024
Abroscopus albogularis,1192,5,280,2001,2024
Cuculus micropterus,1191,5,418,2000,2024
Turdus eunomus,1184,5,363,2000,2024
Lanius tephronotus,1177,5,275,2000,2024
Emberiza cioides,1173,5,403,2000,2024
Phoenicurus ochruros,1167,5,327,2000,2024
Circus cyaneus,1164,5,462,2000,2024
Aythya fuligula,1155,5,413,2000,2024
Accipiter trivirgatus,1152,5,312,2000,2024
Mareca penelope,1145,5,396,2000,2024
Pernis ptilorhynchus,1145,5,404,2000,2024
Anthus richardi,1144,5,405,2000,2024
Leiothrix lutea,1143,5,260,2000,2024
Ficedula albicilla,1138,5,409,2000,2024
Anthus spinoletta,1134,5,434,2001,2024
Emberiza godlewskii,1134,5,304,2000,2024
Alauda gulgula,1129,5,335,2000,2024
Aythya nyroca,1128,5,396,2000,2024
Gyps himalayensis,1126,5,274,2000,2024
Anas acuta,1112,5,412,2000,2024
Ixobrychus sinensis,1112,5,343,2000,2024
Parus monticolus,1107,5,216,2000,2024
Alauda arvensis,1104,5,401,2000,2024
Dicrurus hottentottus,1102,5,305,2000,2024
Acrocephalus orientalis,1098,5,381,2000,2024
Enicurus leschenaulti,1089,5,274,2000,2024
Bambusicola thoracicus,1067,5,231,2001,2024
Elanus caeruleus,1063,5,284,2000,2024
Picumnus innominatus,1056,5,283,2001,2024
Recurvirostra avosetta,1054,5,350,2000,2024
Eremophila alpestris,1053,5,329,2000,2024
Turdus naumanni,1053,5,361,2001,2024
Monticola solitarius,1047,5,324,2000,2024
Hemixos castanonotus,1044,5,214,2000,2024
Anser anser,1040,5,368,2000,2024
Dicrurus leucophaeus,1039,5,288,2000,2024
Saxicola maurus,1036,5,384,2000,2024
Pycnonotus jocosus,1020,5,194,2000,2024
Mareca falcata,1016,5,359,2001,2024
Aix galericulata,1015,5,360,2000,2024
Tringa erythropus,1009,5,330,2000,2024
Stachyridopsis ruficeps,995,5,233,2000,2023
Riparia riparia,989,5,427,2000,2024
Phoenicurus frontalis,986,5,243,2000,2024
Tadorna tadorna,982,5,343,2000,2024
Corvus corax,973,5,336,2000,2024
Culicicapa ceylonensis,970,5,256,2000,2024
Yungipicus canicapillus,965,5,278,2000,2023
Muscicapa sibirica,962,5,340,2000,2024
Cinclus pallasii,951,5,263,2000,2024
Platalea leucorodia,949,5,338,2000,2024
Dendrocitta formosae,946,5,227,2000,2024
Chaimarrornis leucocephalus,940,5,237,2000,2023
Butorides striata,938,5,316,2000,2024
Trochalopteron elliotii,937,5,185,2000,2024
Turdus hortulorum,931,5,283,2002,2024
Troglodytes troglodytes,928,5,298,2000,2024
Cisticola juncidis,919,5,274,2000,2024
Gracupica nigricollis,919,5,200,2000,2024
Pycnonotus aurigaster,913,5,186,2001,2024
Phylloscopus humei,905,5,273,2000,2024
Circus spilonotus,899,5,326,2000,2024
Pericrocotus solaris,897,5,234,2000,2024
Cuculus sparverioides,889,5,259,2000,2023
Aquila chrysaetos,887,5,321,2000,2024
Ptyonoprogne rupestris,881,5,299,2000,2024
Anthus rubescens,873,5,300,2001,2024
Picoides canicapillus,871,4,345,2006,2024
Lanius sphenocercus,869,5,324,2001,2024
Psilopogon virens,868,5,233,2000,2024
Ceryle rudis,861,5,224,2000,2024
Halcyon smyrnensis,860,5,207,2000,2024
Regulus regulus,855,5,262,2000,2024
Sitta europaea,851,5,275,2000,2024
Garrulax canorus,845,5,274,2002,2024
Riparia diluta,841,5,306,2000,2024
Saxicola ferreus,831,5,242,2000,2024
Accipiter soloensis,830,5,257,2002,2024
Accipiter virgatus,830,5,292,2000,2024
Aethopyga christinae,829,5,202,2000,2024
Eumyias thalassinus,829,5,216,2000,2024
Prinia flaviventris,827,5,181,2002,2024
Athene noctua,824,5,292,2000,2024
Anthus roseatus,823,5,269,2000,2024
Phoenicurus hodgsoni,823,5,235,2000,2024
Accipiter gentilis,822,5,324,2000,2024
Anser indicus,820,5,276,2000,2024
Emberiza tristrami,817,5,253,2000,2024
Netta rufina,816,5,308,2000,2024
Corvus frugilegus,813,5,332,2001,2024
Orthotomus sutorius,813,5,157,2000,2024
Ciconia nigra,806,5,350,2001,2024
Phylloscopus borealis,803,5,308,2002,2024
Pericrocotus ethologus,802,5,203,2000,2024
Spatula querquedula,796,5,342,2000,2024
Ardea intermedia,793,4,338,2007,2024
Nucifraga caryocatactes,786,5,205,2000,2024
Ardea purpurea,784,5,275,2000,2024
Cyanoderma ruficeps,784,4,256,2005,2024
Streptopelia tranquebarica,783,5,294,2000,2024
Emberiza rustica,780,5,274,2001,2024
Limosa limosa,778,5,277,2000,2024
Spinus spinus,776,5,291,2002,2024
Chlidonias leucopterus,775,5,305,2000,2024
Ficedula zanthopygia,770,5,265,2000,2024
Glaucidium cuculoides,770,5,240,2000,2024
Pterorhinus perspicillatus,769,4,228,2005,2024
Egretta intermedia,763,5,226,2000,2023
Calidris temminckii,761,5,304,2001,2024
Phylloscopus claudiae,761,5,222,2000,2024
Emberiza chrysophrys,758,5,254,2000,2024
Emberiza pallasi,758,5,275,2000,2024
Larus brunnicephalus,758,5,278,2000,2024
Spilornis cheela,757,5,230,2000,2024
Centropus sinensis,756,5,168,2000,2024
Bucephala clangula,755,5,285,2000,2024
Tringa stagnatilis,752,5,265,2000,2024
Charadrius placidus,751,5,302,2000,2024
Glaucidium brodiei,751,5,225,2001,2024
Megaceryle lugubris,751,5,220,2000,2024
Larus ichthyaetus,749,5,275,2000,2024
Sturnus vulgaris,747,5,311,2000,2024
Anser cygnoides,746,5,245,2000,2024
Pseudopodoces humilis,743,5,180,2000,2024
Zosterops erythropleurus,731,5,252,2000,2024
Hierococcyx sparverioides,725,5,302,2003,2024
Phylloscopus trochiloides,724,5,218,2000,2024
Larus argentatus,721,5,220,2000,2023
Gypaetus barbatus,720,5,216,2000,2024
Turdus rubrocanus,719,5,165,2000,2024
Enicurus schistaceus,718,5,178,2000,2024
Linaria flavirostris,717,5,206,2000,2024
Caprimulgus jotaka,716,5,274,2000,2024
Eurystomus orientalis,713,5,215,2000,2024
Pericrocotus cantonensis,713,5,241,2002,2024
Podiceps nigricollis,712,5,270,2000,2024
Cuculus poliocephalus,710,5,252,2000,2024
Pandion haliaetus,707,5,278,2000,2024
Prunella strophiata,705,5,153,2000,2024
Poecile montanus,703,5,237,2000,2024
Passer domesticus,701,5,301,2000,2024
Muscicapa latirostris,699,5,237,2000,2023
Garrulax perspicillatus,697,5,156,2001,2023
Butastur indicus,692,5,257,2000,2024
Anser fabalis,687,5,277,2001,2024
Halcyon pileata,682,5,267,2000,2024
Enicurus scouleri,678,5,180,2000,2024
Pericrocotus speciosus,678,5,171,2000,2024
Cygnus cygnus,676,5,251,2002,2024
Acrocephalus bistrigiceps,672,5,259,2000,2024
Alcippe hueti,672,5,141,2000,2024
Phoenicurus erythrogastrus,670,5,234,2000,2024
Alcippe davidi,669,5,199,2001,2024
Dicaeum ignipectus,668,5,187,2000,2024
Emberiza fucata,668,5,266,2000,2024
Jynx torquilla,668,5,279,2000,2024
Larus vegae,668,4,300,2005,2024
Luscinia svecica,667,5,268,2000,2024
Dendronanthus indicus,664,5,240,2000,2024
Muscicapa dauurica,661,5,304,2003,2024
Prunella fulvescens,652,5,207,2000,2024
Remiz consobrinus,651,5,214,2000,2024
Phylloscopus pulcher,648,5,144,2000,2024
Turdus ruficollis,646,5,282,2000,2024
Coloeus dauuricus,644,5,207,2000,2023
Phylloscopus armandii,643,5,178,2000,2024
Phylloscopus coronatus,643,5,232,2000,2024
Calidris alpina,638,5,190,2000,2024
Cygnus columbianus,638,5,225,2000,2024
Numenius arquata,637,5,215,2000,2024
Otus sunia,635,5,239,2000,2024
Mergellus albellus,633,5,231,2001,2024
Pluvialis fulva,633,5,230,2000,2024
Oenanthe isabellina,632,5,230,2000,2024
Pyrgilauda ruficollis,629,5,157,2000,2024
Corvus pectoralis,628,5,202,2000,2024
Circus melanoleucos,623,5,266,2000,2024
Pnoepyga pusilla,622,5,182,2000,2024
Botaurus stellaris,620,5,246,2001,2024
Galerida cristata,620,5,263,2002,2024
Grus grus,613,5,239,2001,2024
Zoothera aurea,610,5,214,2000,2024
Phoenicurus leucocephalus,607,4,256,2009,2024
Pica bottanensis,605,5,177,2000,2024
Accipiter gularis,603,5,232,2000,2024
Centropus bengalensis,596,5,220,2001,2024
Sternula albifrons,589,5,230,2000,2024
Coturnix japonica,586,5,211,2000,2024
Blythipicus pyrrhotis,585,5,155,2002,2024
Aethopyga gouldiae,584,5,149,2000,2024
Grus nigricollis,584,5,163,2000,2024
Anthus cervinus,583,5,216,2000,2024
Phoenicurus schisticeps,582,5,132,2000,2024
Pyrrhula erythaca,572,5,122,2000,2024
Periparus rubidiventris,571,5,114,2000,2024
Alaudala cheleensis,570,5,225,2000,2024
Lanius tigrinus,569,5,224,2000,2024
Poecile palustris,564,5,217,2000,2024
Prunella rubeculoides,564,5,151,2000,2024
Onychostruthus taczanowskii,558,5,157,2000,2024
Oenanthe deserti,556,5,244,2000,2024
Phylloscopus yunnanensis,550,5,153,2000,2024
Phylloscopus affinis,549,5,157,2000,2024
Phylloscopus magnirostris,545,5,145,2000,2024
Corvus dauuricus,540,4,290,2005,2024
Calidris ruficollis,529,5,181,2000,2024
Erpornis zantholeuca,528,5,133,2000,2024
Paradoxornis gularis,528,5,145,2002,2024
Turdus obscurus,528,5,190,2000,2024
Ciconia boyciana,527,5,191,2000,2024
Monticola rufiventris,526,5,157,2000,2024
Muscicapa griseisticta,522,5,183,2001,2024
Turdus cardis,521,5,197,2003,2024
Turdus kessleri,521,5,111,2000,2024
Turdus pallidus,519,5,153,2001,2024
Cuculus saturatus,518,5,210,2001,2024
Oenanthe pleschanka,517,5,208,2000,2024
Otocichla mupinensis,515,5,155,2000,2024
Aquila nipalensis,514,5,234,2001,2024
Anser albifrons,510,5,202,2000,2024
Calidris subminuta,506,5,210,2000,2024
Lophura nycthemera,505,5,130,2000,2024
Ixobrychus cinnamomeus,502,5,200,2000,2024
Phylloscopus schwarzi,499,5,223,2000,2024
Coccothraustes coccothraustes,498,5,221,2002,2024
Carpodacus dubius,495,5,113,2000,2024
Cinclus cinclus,493,5,148,2000,2024
Pericrocotus divaricatus,493,5,210,2000,2024
Carpodacus pulcherrimus,492,5,124,2000,2024
Glareola maldivarum,490,5,185,2000,2024
Mycerobas carnipes,489,5,129,2000,2024
Luscinia calliope,488,5,172,2000,2023
Aviceda leuphotes,486,5,174,2002,2024
Lanius bucephalus,484,5,210,2000,2024
Phylloscopus plumbeitarsus,483,5,201,2000,2024
Phylloscopus subaffinis,477,5,167,2000,2024
Anser serrirostris,474,5,191,2001,2024
Pluvialis squatarola,474,5,151,2000,2024
Lophophanes dichrous,472,5,95,2000,2024
Otus lettia,472,5,176,2000,2024
Tichodroma muraria,472,5,176,2000,2024
Yuhina diademata,468,5,99,2000,2023
Yuhina torqueola,468,5,129,2000,2023
Phylloscopus forresti,467,5,106,2000,2024
Rhopophilus pekinensis,463,5,165,2001,2024
Staphida torqueola,463,5,174,2002,2024
Ficedula erithacus,460,5,127,2000,2024
Lanius isabellinus,459,5,207,2000,2024
Leucosticte nemoricola,459,5,153,2000,2024
Garrulax davidi,456,5,107,2000,2023
Emberiza leucocephalos,452,5,179,2000,2024
Gelochelidon nilotica,452,5,182,2000,2024
Horornis canturians,452,4,233,2007,2024
Hydrophasianus chirurgus,450,5,175,2002,2024
Calidris ferruginea,447,5,192,2000,2024
Cyanoptila cyanomelana,447,5,160,2000,2024
Numenius phaeopus,447,5,144,2000,2024
Ficedula mugimaki,446,5,153,2000,2024
Oenanthe oenanthe,446,5,173,2003,2024
Larvivora sibilans,445,5,147,2000,2024
Pomatorhinus gravivox,441,5,113,2000,2023
Lalage melaschistos,439,4,197,2005,2024
Sitta villosa,439,5,132,2000,2024
Hirundapus caudacutus,438,5,171,2000,2024
Emberiza rutila,435,5,177,2000,2024
Sibirionetta formosa,435,5,192,2003,2024
Leptopoecile sophiae,434,5,118,2000,2024
Rhipidura albicollis,431,5,85,2000,2024
Aegypius monachus,429,5,192,2000,2024
Phylloscopus ricketti,428,5,164,2000,2024
Tarsiger rufilatus,427,5,103,2000,2024
Larus crassirostris,425,5,106,2000,2024
Pica pica,424,5,185,2000,2024
Pyrrhocorax graculus,424,5,159,2000,2024
Turdus atrogularis,424,5,215,2000,2024
Aythya baeri,421,5,173,2002,2024
Buteo refectus,421,5,132,2001,2024
Zapornia akool,421,5,155,2004,2024
Apus salimalii,419,5,107,2000,2024
Yuhina nigrimenta,419,5,116,2000,2024
Aerodramus brevirostris,416,5,146,2000,2024
Minla cyanouroptera,416,5,98,2000,2023
Terpsiphone incei,416,5,189,2003,2024
Delichon urbicum,415,5,186,2002,2024
Seicercus castaniceps,415,5,119,2000,2023
Dendrocopos hyperythrus,410,5,149,2000,2024
Petronia petronia,410,5,129,2000,2024
Coracina melaschistos,408,5,138,2000,2023
Sitta nagaensis,408,5,87,2000,2024
Charadrius leschenaultii,407,5,156,2000,2024
Carpodacus sibiricus,406,5,180,2002,2024
Loxia curvirostra,405,5,176,2000,2024
Rallus indicus,405,5,172,2001,2024
Zosterops palpebrosus,404,5,100,2000,2024
Carpodacus rubicilloides,403,5,118,2001,2024
Falco cherrug,402,4,229,2003,2024
Carpodacus waltoni,399,5,115,2000,2024
Larus canus,397,5,162,2000,2024
Clamator coromandus,395,5,164,2000,2024
Hieraaetus pennatus,394,5,170,2001,2024
Chloropsis hardwickii,393,5,101,2002,2024
Bombycilla garrulus,391,5,204,2000,2024
Bubo bubo,390,5,196,2000,2024
Phylloscopus tenellipes,389,5,159,2000,2024
Heterophasia desgodinsi,387,5,100,2000,2024
Phylloscopus reguloides,387,5,106,2000,2024
Cacomantis merulinus,386,5,130,2001,2024
Calliope calliope,386,4,197,2007,2024
Ficedula strophiata,386,5,107,2000,2024
Emberiza schoeniclus,385,5,167,2001,2024
Scolopax rusticola,384,5,177,2001,2024
Horornis diphone,383,5,134,2000,2024
Garrulax pectoralis,382,5,96,2000,2023
Hydroprogne caspia,382,5,147,2000,2024
Bombycilla japonica,381,5,162,2000,2024
Calidris acuminata,381,5,141,2000,2024
Acridotheres tristis,380,5,148,2002,2024
Horornis acanthizoides,380,5,116,2000,2024
Rostratula benghalensis,380,4,164,2005,2024
Carpodacus vinaceus,377,5,97,2000,2024
Parus major,373,5,136,2001,2024
Leucosticte brandti,371,5,130,2000,2024
Dendrocopos leucotos,366,5,146,2001,2024
Eophona personata,366,5,153,2000,2024
Myiomela leucura,365,5,113,2000,2024
Pteruthius aeralatus,363,5,88,2001,2024
Urosphena squameiceps,360,5,134,2000,2024
Psilopogon faber,359,5,113,2000,2024
Xenus cinereus,359,5,131,2000,2024
Aegithalos caudatus,356,5,168,2004,2024
Pterorhinus davidi,356,4,146,2009,2024
Amaurornis akool,354,5,105,2001,2023
Montifringilla adamsi,354,5,111,2001,2024
Haliaeetus albicilla,353,5,158,2002,2024
Panurus biarmicus,353,5,134,2001,2024
Buteo rufinus,352,5,168,2000,2024
Babax lanceolatus,347,5,100,2000,2023
Prunella collaris,347,5,134,2000,2024
Mergus squamatus,345,5,136,2003,2024
Prinia superciliaris,345,5,103,2000,2024
Perdix hodgsoniae,344,5,108,2000,2024
Pericrocotus brevirostris,340,5,93,2000,2024
Prunella montanella,340,5,146,2001,2024
Certhia familiaris,339,5,142,2002,2024
Parus spilonotus,337,5,84,2000,2023
Emberiza aureola,336,4,189,2006,2024
Seicercus valentini,335,5,79,2000,2023
Chloropsis lazulina,334,5,137,2002,2024
Ithaginis cruentus,334,5,77,2000,2024
Cyanistes cyanus,330,5,121,2000,2024
Columba leuconota,329,5,111,2000,2024
Nisaetus nipalensis,329,5,109,2000,2024
Chloris ambigua,324,5,80,2000,2024
Grus virgo,323,5,138,2002,2024
Ictinaetus malayensis,323,5,86,2002,2023
Alectoris chukar,322,5,166,2001,2024
Ibidorhyncha struthersii,322,5,128,2000,2024
Lanius phoenicuroides,320,5,111,2003,2024
Turdus merula,320,5,120,2003,2024
Phylloscopus goodsoni,316,5,111,2001,2024
Chrysolophus pictus,313,5,101,2000,2024
Pterorhinus pectoralis,313,5,125,2002,2024
Agropsar sturninus,309,5,160,2000,2024
Sylviparus modestus,309,5,73,2000,2024
Falco columbarius,307,5,165,2000,2024
Aegithalos iouschistos,304,5,65,2000,2024
Ictinaetus malaiensis,304,3,128,2005,2024
Poecile weigoldicus,304,5,72,2000,2024
Certhia hodgsoni,302,5,70,2000,2024
Phylloscopus maculipennis,302,5,76,2001,2024
Fulvetta cinereiceps,301,5,70,2000,2024
Terpsiphone paradisi,301,5,118,2000,2023
Asio otus,300,5,149,2000,2024
Falco naumanni,299,5,127,2001,2024
Hodgsonius phoenicuroides,297,5,91,2000,2023
Trochalopteron affine,297,5,68,2000,2024
Asio flammeus,295,5,142,2001,2024
Turdus dissimilis,295,5,80,2000,2024
Muscicapa ferruginea,294,5,96,2000,2024
Niltava sundara,293,5,83,2000,2024
Lioparus chrysotis,290,5,69,2000,2024
Arenaria interpres,288,5,113,2000,2024
Erythrogenys gravivox,287,3,136,2011,2024
Emberiza siemsseni,285,5,83,2000,2024
Harpactes erythrocephalus,284,5,73,2002,2024
Ficedula tricolor,283,5,93,2000,2024
Minla ignotincta,282,5,73,2002,2024
Phylloscopus castaniceps,282,4,125,2007,2024
Carpodacus rubicilla,281,5,122,2000,2024
Pteruthius xanthochlorus,281,5,95,2000,2024
Dryobates cathpharius,280,5,76,2000,2024
Phylloscopus ogilviegranti,280,5,97,2001,2024
Sinosuthora alphonsiana,279,5,66,2000,2024
Anthus godlewskii,278,5,141,2000,2024
Mergus serrator,278,5,107,2000,2024
Niltava davidi,274,5,92,2001,2024
Numenius madagascariensis,273,5,93,2000,2024
Sturnia sinensis,273,5,88,2000,2024
Merops viridis,272,5,105,2002,2024
Garrulax maximus,269,5,59,2000,2023
Fringilla coelebs,268,5,108,2001,2024
Garrulax monileger,268,5,78,2003,2024
Hypothymis azurea,268,5,72,2001,2024
Melanocorypha maxima,267,5,86,2000,2024
Prunella immaculata,267,5,67,2000,2024
Turdus boulboul,265,5,95,2003,2024
Aythya marila,263,5,121,2004,2024
Fulvetta ruficapilla,263,5,74,2000,2024
Perdix dauurica,263,5,104,2000,2024
Calandrella acutirostris,262,5,92,2000,2024
Turdus viscivorus,261,5,78,2003,2024
Emberiza yessoensis,260,5,109,2000,2024
Poecile superciliosus,259,5,65,2000,2024
Seicercus tephrocephalus,259,5,72,2000,2023
Dicaeum minullum,257,5,101,2001,2024
Yuhina gularis,257,5,59,2000,2024
Locustella lanceolata,256,5,109,2000,2024
Platalea minor,256,5,90,2000,2024
Cyornis hainanus,255,5,80,2002,2024
Enicurus maculatus,255,5,67,2002,2024
Grus vipio,255,5,92,2001,2024
Limosa lapponica,252,5,92,2000,2024
Brachypteryx leucophris,251,5,82,2002,2024
Calidris pugnax,251,5,123,2002,2024
Carduelis carduelis,251,5,82,2000,2024
Ixobrychus eurhythmus,251,5,130,2002,2024
Pucrasia macrolopha,250,5,90,2000,2024
Surniculus lugubris,249,5,123,2002,2024
Syrrhaptes paradoxus,249,5,118,2000,2024
Emberiza lathami,247,5,98,2003,2024
Muscicapa muttui,247,5,109,2002,2024
Fulvetta vinipectus,246,5,53,2000,2024
Parayuhina diademata,246,4,89,2007,2024
Strix nivicolum,245,5,103,2001,2024
Gallinago stenura,244,5,139,2002,2024
Phyllergates cuculatus,244,5,64,2002,2023
Prinia hodgsonii,242,5,69,2000,2024
Columba hodgsonii,241,5,61,2000,2024
Tetraogallus tibetanus,240,5,85,2000,2024
Coracias garrulus,239,5,71,2001,2024
Montifringilla henrici,237,5,74,2000,2024
Larus fuscus,236,5,95,2001,2024
Luscinia cyane,236,5,77,2000,2023
Psilopogon asiaticus,236,5,52,2001,2024
Actinodura cyanouroptera,233,3,96,2012,2024
Alcippe dubia,233,5,63,2000,2023
Geokichla citrina,233,5,85,2002,2024
Passer ammodendri,232,5,109,2001,2024
Poecile hypermelaenus,232,5,85,2002,2024
Aegithalos fuliginosus,231,5,58,2002,2024
Charadrius mongolus,231,4,113,2007,2024
Pterorhinus lanceolatus,231,3,94,2012,2024
Monticola gularis,230,5,89,2000,2024
Iduna aedon,229,5,109,2000,2023
Cyornis whitei,226,5,67,2002,2024
Horornis flavolivaceus,226,5,71,2000,2024
Prinia striata,226,5,123,2002,2024
Tarsiger chrysaeus,226,5,60,2000,2024
Niltava macgrigoriae,225,5,74,2001,2024
Paradoxornis guttaticollis,225,5,91,2000,2024
Chalcophaps indica,224,5,71,2003,2024
Calidris alba,222,5,83,2000,2024
Larus relictus,221,5,83,2000,2024
Calidris tenuirostris,219,5,72,2000,2024
Chelidorhynx hypoxantha,219,5,54,2000,2023
Haematopus ostralegus,218,5,83,2000,2024
Alcippe brunnea,217,5,73,2000,2023
Calidris falcinellus,217,5,90,2000,2024
Pyrgilauda blanfordi,216,5,78,2000,2024
Dryocopus martius,215,5,84,2000,2024
Tragopan temminckii,215,5,56,2000,2024
Carpodacus roseus,214,5,104,2000,2024
Cettia castaneocoronata,214,5,60,2000,2024
Monticola saxatilis,214,5,91,2000,2024
Phylloscopus kansuensis,214,5,65,2000,2024
Grus monacha,213,5,80,2001,2024
Leptopoecile elegans,213,5,55,2000,2024
Chloris chloris,212,5,69,2003,2024
Locustella certhiola,212,5,108,2000,2023
Sylvia curruca,212,5,98,2000,2023
Pomatorhinus swinhoei,211,5,63,2000,2023
Rhodospiza obsoleta,211,5,102,2000,2024
Dicrurus aeneus,210,5,49,2001,2024
Ninox japonica,210,5,87,2000,2024
Otus spilocephalus,210,5,78,2000,2024
Phylloscopus occisinensis,209,3,87,2007,2024
Tringa brevipes,209,5,78,2001,2024
Cuculus optatus,207,5,109,2000,2024
Emberiza yunnanensis,206,3,114,2010,2024
Limnodromus semipalmatus,205,5,96,2000,2024
Gallinago megala,204,5,121,2003,2024
Geokichla sibirica,204,5,93,2000,2024
Locustella luteoventris,204,5,74,2002,2024
Buteo lagopus,203,5,105,2000,2024
Bucanetes mongolicus,201,5,95,2000,2024
Calandrella brachydactyla,201,5,94,2001,2024
Cygnus olor,201,4,94,2007,2024
Nettapus coromandelianus,201,4,99,2007,2024
Calidris minuta,200,5,110,2000,2024
Crossoptilon crossoptilon,199,5,46,2000,2024
