grid_cell,year,source_short,n_visits,n_observers,n_species,n_birding_days
247494,2011,China_Birdwatch,1,1,48,1
244050,2011,eBird_GBIF,63,10,129,57
272142,2011,eBird_GBIF,1,1,24,1
265975,2011,eBird_GBIF,9,4,85,4
282353,2011,eBird_GBIF,3,3,51,2
265974,2011,eBird_GBIF,1,1,17,1
222613,2011,eBird_GBIF,3,3,34,3
217156,2011,eBird_GBIF,6,5,61,6
241987,2011,China_Birdwatch,1,1,35,1
213044,2011,China_Birdwatch,1,1,46,1
237006,2011,eBird_GBIF,3,2,38,3
240441,2011,eBird_GBIF,5,5,31,4
241126,2011,eBird_GBIF,1,1,6,1
213043,2011,eBird_GBIF,10,1,53,10
244050,2012,eBird_GBIF,43,14,104,37
340651,2012,eBird_GBIF,11,4,82,11
317245,2012,eBird_GBIF,32,6,119,31
252943,2012,eBird_GBIF,9,6,89,9
283139,2012,eBird_GBIF,1,1,62,1
279712,2012,eBird_GBIF,16,8,92,15
228892,2012,eBird_GBIF,13,9,105,13
230297,2012,eBird_GBIF,5,2,27,5
265978,2012,eBird_GBIF,3,1,36,3
250037,2012,eBird_GBIF,10,8,102,9
240441,2012,eBird_GBIF,15,10,60,13
252945,2012,eBird_GBIF,4,2,73,4
252946,2012,eBird_GBIF,1,1,44,1
250228,2012,eBird_GBIF,1,1,34,1
257532,2012,eBird_GBIF,1,1,58,1
239755,2012,eBird_GBIF,4,4,36,3
237005,2012,eBird_GBIF,1,1,33,1
253628,2012,eBird_GBIF,3,2,82,3
252202,2012,eBird_GBIF,8,6,111,5
337909,2013,eBird_GBIF,4,1,11,4
261207,2013,eBird_GBIF,2,1,36,2
241121,2013,eBird_GBIF,1,1,22,1
241144,2013,eBird_GBIF,2,2,25,1
260503,2013,eBird_GBIF,5,3,55,5
252946,2013,eBird_GBIF,9,2,68,9
279712,2013,eBird_GBIF,3,2,57,3
272142,2013,eBird_GBIF,8,3,14,5
245409,2013,eBird_GBIF,3,3,46,3
261191,2013,eBird_GBIF,1,1,44,1
248865,2013,China_Birdwatch,1,1,43,1
228892,2013,eBird_GBIF,6,3,55,6
242670,2013,eBird_GBIF,2,2,30,2
247293,2013,eBird_GBIF,1,1,43,1
213045,2013,eBird_GBIF,5,3,89,3
281672,2013,eBird_GBIF,5,3,100,5
228893,2013,China_Birdwatch,2,1,78,2
253635,2013,eBird_GBIF,1,1,9,1
266664,2013,eBird_GBIF,3,1,29,3
248183,2013,eBird_GBIF,1,1,24,1
274692,2013,eBird_GBIF,1,1,2,1
236319,2013,eBird_GBIF,1,1,20,1
240441,2013,eBird_GBIF,14,12,48,12
250038,2013,eBird_GBIF,7,4,95,7
250037,2013,eBird_GBIF,28,13,175,25
250211,2013,eBird_GBIF,4,3,46,4
249346,2013,eBird_GBIF,21,9,150,15
252943,2013,eBird_GBIF,5,5,62,5
244735,2013,eBird_GBIF,9,2,54,9
239070,2013,eBird_GBIF,2,1,11,2
239756,2013,eBird_GBIF,7,7,51,6
216428,2013,eBird_GBIF,4,3,39,4
314498,2013,eBird_GBIF,12,7,135,12
238378,2013,eBird_GBIF,1,1,35,1
265975,2013,China_Birdwatch,1,1,40,1
252690,2013,eBird_GBIF,1,1,126,1
222613,2013,eBird_GBIF,12,6,78,11
265975,2013,eBird_GBIF,2,2,23,2
213677,2013,eBird_GBIF,2,2,61,2
213678,2013,eBird_GBIF,5,4,61,4
257616,2013,eBird_GBIF,1,1,53,1
253628,2013,eBird_GBIF,7,5,90,6
251572,2013,eBird_GBIF,6,4,100,4
286344,2013,eBird_GBIF,18,8,225,15
244049,2014,eBird_GBIF,10,7,70,10
340650,2014,eBird_GBIF,18,5,88,7
276142,2014,China_Birdwatch,2,1,36,2
244050,2014,eBird_GBIF,16,11,74,15
238377,2014,eBird_GBIF,4,4,56,4
317244,2014,eBird_GBIF,4,3,52,3
215785,2014,eBird_GBIF,2,2,59,2
291134,2014,eBird_GBIF,1,1,56,1
297309,2014,eBird_GBIF,6,4,157,4
229611,2014,eBird_GBIF,10,1,60,10
254232,2014,eBird_GBIF,3,2,31,3
276143,2014,China_Birdwatch,2,2,29,2
272142,2014,eBird_GBIF,34,11,128,24
242670,2014,eBird_GBIF,1,1,34,1
241984,2014,eBird_GBIF,5,5,32,1
251572,2014,eBird_GBIF,1,1,12,1
240441,2014,eBird_GBIF,33,21,78,27
266664,2014,China_Birdwatch,1,1,48,1
281022,2014,eBird_GBIF,1,1,35,1
279651,2014,eBird_GBIF,1,1,21,1
265760,2014,eBird_GBIF,2,1,62,2
246603,2014,eBird_GBIF,2,2,33,2
242499,2014,eBird_GBIF,1,1,48,1
267994,2014,eBird_GBIF,3,2,79,2
245231,2014,eBird_GBIF,6,4,33,4
256901,2014,eBird_GBIF,2,2,14,1
228892,2014,eBird_GBIF,23,14,126,14
216473,2014,eBird_GBIF,3,3,19,1
257590,2014,eBird_GBIF,6,4,92,4
250038,2014,eBird_GBIF,6,2,68,6
252943,2014,eBird_GBIF,8,5,91,8
223299,2014,eBird_GBIF,1,1,16,1
222613,2014,eBird_GBIF,11,4,84,7
264387,2014,eBird_GBIF,8,1,84,8
314498,2014,eBird_GBIF,18,8,120,14
244714,2014,eBird_GBIF,3,3,34,3
280933,2014,eBird_GBIF,3,3,52,3
234403,2014,China_Birdwatch,1,1,17,1
281712,2014,eBird_GBIF,3,2,83,2
276225,2014,eBird_GBIF,2,2,44,1
253628,2014,eBird_GBIF,12,4,82,6
232243,2014,eBird_GBIF,1,1,11,1
250037,2014,eBird_GBIF,18,10,141,16
310456,2014,eBird_GBIF,1,1,19,1
239756,2014,eBird_GBIF,13,13,61,11
264604,2015,eBird_GBIF,7,4,98,7
279712,2015,eBird_GBIF,24,15,111,19
244714,2015,eBird_GBIF,2,2,31,2
272142,2015,eBird_GBIF,47,14,148,33
250162,2015,China_Birdwatch,1,1,18,1
314498,2015,eBird_GBIF,9,5,115,9
340651,2015,eBird_GBIF,4,4,104,4
243356,2015,China_Birdwatch,2,2,51,2
292505,2015,eBird_GBIF,7,3,91,4
250883,2015,eBird_GBIF,1,1,10,1
261806,2015,eBird_GBIF,3,3,37,3
247499,2015,China_Birdwatch,1,1,9,1
237006,2015,eBird_GBIF,15,13,92,13
257783,2015,China_Birdwatch,23,1,91,23
216429,2015,eBird_GBIF,23,15,146,18
244050,2015,eBird_GBIF,18,13,105,17
248864,2015,China_Birdwatch,2,1,24,2
265997,2015,China_Birdwatch,2,1,32,2
253635,2015,China_Birdwatch,1,1,18,1
252946,2015,China_Birdwatch,5,2,50,4
244045,2015,China_Birdwatch,8,1,46,8
244728,2015,eBird_GBIF,2,2,19,1
243357,2015,eBird_GBIF,2,2,30,1
249386,2015,eBird_GBIF,4,3,54,4
243356,2015,eBird_GBIF,11,3,71,6
258466,2015,China_Birdwatch,6,1,71,6
248179,2015,China_Birdwatch,1,1,23,1
217843,2015,eBird_GBIF,1,1,60,1
245917,2015,eBird_GBIF,6,3,38,6
224668,2015,eBird_GBIF,4,4,54,3
222613,2015,eBird_GBIF,26,11,133,18
261191,2015,eBird_GBIF,3,3,31,1
246807,2015,China_Birdwatch,3,1,33,3
264502,2015,China_Birdwatch,1,1,63,1
264502,2015,eBird_GBIF,4,2,83,4
249346,2015,eBird_GBIF,25,12,165,14
245408,2015,China_Birdwatch,2,1,53,2
242491,2015,China_Birdwatch,3,2,24,3
239756,2015,eBird_GBIF,13,12,50,13
281672,2015,eBird_GBIF,7,4,91,6
281022,2015,eBird_GBIF,5,2,63,3
229526,2015,China_Birdwatch,1,1,41,1
207567,2015,China_Birdwatch,1,1,36,1
278282,2015,eBird_GBIF,4,2,24,2
281712,2015,eBird_GBIF,5,3,33,2
265975,2015,eBird_GBIF,5,5,51,4
240441,2015,eBird_GBIF,22,17,64,21
276224,2015,eBird_GBIF,6,3,43,2
276910,2015,eBird_GBIF,6,3,56,2
280336,2015,eBird_GBIF,3,3,40,1
228892,2015,eBird_GBIF,12,9,149,9
213726,2015,eBird_GBIF,2,2,80,1
246778,2015,eBird_GBIF,1,1,23,1
340650,2015,eBird_GBIF,1,1,59,1
250036,2015,eBird_GBIF,1,1,19,1
237692,2015,eBird_GBIF,1,1,31,1
252826,2015,China_Birdwatch,1,1,55,1
248184,2015,eBird_GBIF,1,1,26,1
239069,2015,eBird_GBIF,21,1,37,21
239070,2015,China_Birdwatch,6,2,34,6
245231,2015,eBird_GBIF,13,3,65,12
227568,2015,China_Birdwatch,2,2,172,2
238377,2015,eBird_GBIF,3,3,23,3
292506,2015,eBird_GBIF,12,9,114,8
258395,2015,eBird_GBIF,4,1,15,4
239756,2015,China_Birdwatch,2,1,31,2
250830,2015,China_Birdwatch,5,5,92,3
252203,2015,eBird_GBIF,1,1,67,1
238378,2015,eBird_GBIF,2,1,22,2
258295,2015,eBird_GBIF,1,1,38,1
258295,2015,China_Birdwatch,1,1,40,1
239069,2016,eBird_GBIF,24,1,39,24
246807,2016,China_Birdwatch,2,1,19,2
249386,2016,eBird_GBIF,2,2,33,2
296624,2016,eBird_GBIF,7,6,128,3
236329,2016,eBird_GBIF,14,9,72,7
340651,2016,China_Birdwatch,1,1,45,1
340651,2016,eBird_GBIF,17,9,103,12
252943,2016,eBird_GBIF,25,17,148,16
295424,2016,eBird_GBIF,4,2,54,2
272142,2016,eBird_GBIF,28,13,138,22
264387,2016,eBird_GBIF,47,12,186,19
239756,2016,eBird_GBIF,18,18,48,15
222613,2016,eBird_GBIF,20,7,114,17
239070,2016,China_Birdwatch,1,1,23,1
240442,2016,eBird_GBIF,12,8,76,11
243356,2016,eBird_GBIF,5,4,44,5
249346,2016,eBird_GBIF,54,20,196,30
279712,2016,eBird_GBIF,22,13,111,18
340650,2016,eBird_GBIF,4,3,54,3
271456,2016,eBird_GBIF,2,2,49,2
261191,2016,eBird_GBIF,3,2,62,3
261206,2016,eBird_GBIF,2,1,33,2
242678,2016,eBird_GBIF,1,1,24,1
259150,2016,China_Birdwatch,1,1,11,1
228892,2016,eBird_GBIF,66,17,124,50
252257,2016,eBird_GBIF,8,7,61,7
252944,2016,eBird_GBIF,1,1,33,1
264503,2016,China_Birdwatch,1,1,38,1
264502,2016,eBird_GBIF,2,1,63,2
258448,2016,China_Birdwatch,1,1,7,1
245409,2016,eBird_GBIF,3,3,62,3
258461,2016,China_Birdwatch,1,1,25,1
245917,2016,eBird_GBIF,3,3,33,2
236317,2016,eBird_GBIF,5,5,4,3
265289,2016,China_Birdwatch,1,1,14,1
248184,2016,eBird_GBIF,5,2,44,5
277562,2016,eBird_GBIF,5,1,80,5
250073,2016,eBird_GBIF,6,4,32,6
265313,2016,China_Birdwatch,1,1,11,1
258461,2016,eBird_GBIF,2,1,25,2
272829,2016,eBird_GBIF,4,3,29,4
246688,2016,eBird_GBIF,2,2,38,1
245318,2016,eBird_GBIF,2,2,28,1
290674,2016,eBird_GBIF,4,4,34,3
250228,2016,eBird_GBIF,1,1,23,1
237690,2016,China_Birdwatch,1,1,9,1
291823,2016,eBird_GBIF,20,12,236,15
248832,2016,eBird_GBIF,1,1,23,1
242614,2016,China_Birdwatch,4,2,51,4
239070,2016,eBird_GBIF,7,4,33,7
241128,2016,eBird_GBIF,12,6,51,11
276260,2016,China_Birdwatch,1,1,36,1
241242,2016,China_Birdwatch,9,4,67,9
224668,2016,eBird_GBIF,2,2,49,2
223299,2016,eBird_GBIF,9,3,109,9
237006,2016,eBird_GBIF,9,6,51,8
237112,2016,eBird_GBIF,19,16,50,4
250038,2016,eBird_GBIF,2,2,40,2
235738,2016,eBird_GBIF,1,1,19,1
234367,2016,eBird_GBIF,13,13,39,1
235055,2016,eBird_GBIF,1,1,12,1
253626,2016,eBird_GBIF,1,1,56,1
253628,2016,eBird_GBIF,11,9,96,11
256357,2016,eBird_GBIF,8,6,130,7
241126,2016,eBird_GBIF,8,5,64,7
243229,2016,eBird_GBIF,4,4,26,1
337909,2016,eBird_GBIF,7,3,63,4
290029,2016,China_Birdwatch,2,2,115,2
255611,2016,China_Birdwatch,1,1,14,1
240441,2016,eBird_GBIF,42,25,86,36
250037,2017,eBird_GBIF,19,9,90,18
241312,2017,eBird_GBIF,7,1,35,7
245955,2017,eBird_GBIF,1,1,20,1
246639,2017,eBird_GBIF,1,1,17,1
298094,2017,eBird_GBIF,4,1,19,4
235127,2017,eBird_GBIF,1,1,18,1
250072,2017,eBird_GBIF,16,3,53,16
241127,2017,eBird_GBIF,26,6,51,25
241242,2017,China_Birdwatch,17,10,63,15
249346,2017,eBird_GBIF,61,21,222,27
250073,2017,eBird_GBIF,8,3,43,8
340651,2017,eBird_GBIF,26,14,136,19
253496,2017,eBird_GBIF,1,1,17,1
310445,2017,eBird_GBIF,43,19,152,33
253628,2017,eBird_GBIF,32,22,119,19
255689,2017,eBird_GBIF,1,1,15,1
277634,2017,eBird_GBIF,7,4,70,6
239070,2017,eBird_GBIF,8,7,31,8
288445,2017,eBird_GBIF,13,3,58,12
267261,2017,eBird_GBIF,14,1,18,14
276828,2017,eBird_GBIF,2,1,36,2
243356,2017,China_Birdwatch,1,1,42,1
239069,2017,eBird_GBIF,21,2,50,21
275457,2017,eBird_GBIF,1,1,18,1
239756,2017,eBird_GBIF,22,21,62,18
224668,2017,eBird_GBIF,5,4,79,5
241241,2017,eBird_GBIF,18,4,50,17
244049,2017,eBird_GBIF,16,14,73,14
237691,2017,eBird_GBIF,2,2,41,2
279712,2017,eBird_GBIF,23,15,104,19
337914,2017,eBird_GBIF,5,3,44,2
295510,2017,China_Birdwatch,2,1,95,2
340650,2017,eBird_GBIF,13,5,101,9
228892,2017,eBird_GBIF,32,21,128,23
301680,2017,China_Birdwatch,3,2,109,3
302368,2017,China_Birdwatch,2,1,26,2
289933,2017,eBird_GBIF,16,11,130,15
213726,2017,eBird_GBIF,3,3,90,2
281672,2017,eBird_GBIF,6,2,83,6
228893,2017,eBird_GBIF,41,2,131,33
292505,2017,eBird_GBIF,16,10,93,7
265975,2017,eBird_GBIF,1,1,67,1
296077,2017,eBird_GBIF,4,1,64,4
272142,2017,eBird_GBIF,24,9,121,14
272828,2017,eBird_GBIF,2,1,32,2
292506,2017,eBird_GBIF,12,11,93,7
244050,2017,eBird_GBIF,69,39,112,53
239754,2017,eBird_GBIF,8,3,25,8
251572,2017,eBird_GBIF,27,22,115,17
240441,2017,eBird_GBIF,75,39,114,59
252256,2017,China_Birdwatch,2,2,60,2
227568,2017,eBird_GBIF,3,2,50,3
234441,2017,eBird_GBIF,1,1,38,1
235815,2017,eBird_GBIF,1,1,42,1
219176,2017,eBird_GBIF,3,2,78,3
217801,2017,eBird_GBIF,5,4,57,3
252257,2017,eBird_GBIF,12,8,86,10
252941,2017,eBird_GBIF,3,3,44,3
228893,2017,China_Birdwatch,5,5,107,3
239916,2017,eBird_GBIF,1,1,26,1
222613,2017,eBird_GBIF,12,8,133,9
250197,2017,eBird_GBIF,2,2,24,2
241121,2017,eBird_GBIF,3,2,34,3
246603,2017,eBird_GBIF,5,5,25,1
245917,2017,eBird_GBIF,2,2,17,2
248660,2017,eBird_GBIF,21,10,46,9
245232,2017,eBird_GBIF,1,1,11,1
242674,2017,eBird_GBIF,2,1,41,2
236322,2017,eBird_GBIF,3,2,15,3
238383,2017,eBird_GBIF,2,1,17,2
272142,2017,China_Birdwatch,3,3,77,3
243356,2017,eBird_GBIF,11,5,65,5
250038,2017,eBird_GBIF,7,3,30,7
249346,2017,China_Birdwatch,1,1,41,1
276256,2017,eBird_GBIF,16,10,68,11
266684,2017,eBird_GBIF,1,1,12,1
265996,2017,eBird_GBIF,1,1,17,1
246002,2017,China_Birdwatch,1,1,61,1
246699,2017,eBird_GBIF,1,1,18,1
236401,2017,eBird_GBIF,3,3,84,1
265997,2017,eBird_GBIF,5,2,61,5
264604,2017,eBird_GBIF,1,1,46,1
249386,2017,eBird_GBIF,4,3,20,4
250760,2017,eBird_GBIF,3,1,20,3
289342,2017,China_Birdwatch,2,2,93,1
270035,2017,China_Birdwatch,3,2,16,3
340651,2017,China_Birdwatch,3,3,97,3
250042,2017,eBird_GBIF,3,3,35,3
275458,2017,eBird_GBIF,1,1,28,1
246123,2017,eBird_GBIF,1,1,10,1
216470,2017,eBird_GBIF,3,3,33,2
216471,2017,eBird_GBIF,1,1,26,1
241242,2017,eBird_GBIF,16,4,122,16
239748,2017,eBird_GBIF,1,1,13,1
261807,2017,China_Birdwatch,18,1,39,18
235018,2017,eBird_GBIF,1,1,19,1
304333,2017,eBird_GBIF,2,2,27,2
252967,2017,eBird_GBIF,1,1,10,1
243363,2017,eBird_GBIF,55,5,85,47
251516,2017,eBird_GBIF,1,1,47,1
253625,2017,eBird_GBIF,3,3,21,1
238377,2017,eBird_GBIF,8,8,41,8
237006,2017,eBird_GBIF,7,6,66,7
276142,2017,eBird_GBIF,1,1,21,1
276142,2017,China_Birdwatch,1,1,21,1
250071,2017,eBird_GBIF,1,1,7,1
236516,2017,eBird_GBIF,10,7,52,9
293877,2017,eBird_GBIF,61,21,250,29
247457,2017,eBird_GBIF,2,1,26,2
244049,2017,China_Birdwatch,2,2,38,2
253628,2018,eBird_GBIF,40,31,114,20
252943,2018,eBird_GBIF,12,9,73,11
239069,2018,eBird_GBIF,2,1,34,2
304342,2018,eBird_GBIF,34,20,94,32
241128,2018,eBird_GBIF,4,2,36,4
244049,2018,China_Birdwatch,2,2,35,2
279712,2018,eBird_GBIF,48,30,143,29
279026,2018,China_Birdwatch,3,1,22,3
244050,2018,eBird_GBIF,88,43,123,75
251572,2018,eBird_GBIF,47,42,96,24
244049,2018,eBird_GBIF,22,16,107,19
277634,2018,eBird_GBIF,13,7,69,9
252257,2018,eBird_GBIF,22,20,100,11
232903,2018,eBird_GBIF,12,2,58,12
252946,2018,eBird_GBIF,11,8,67,11
253629,2018,eBird_GBIF,8,8,44,4
305027,2018,eBird_GBIF,16,9,70,15
228892,2018,eBird_GBIF,62,32,163,37
222613,2018,eBird_GBIF,61,20,170,36
292506,2018,eBird_GBIF,39,23,152,17
340651,2018,eBird_GBIF,41,21,125,19
252117,2018,eBird_GBIF,1,1,12,1
276260,2018,eBird_GBIF,9,7,76,9
258295,2018,eBird_GBIF,2,1,23,2
340650,2018,eBird_GBIF,19,13,96,13
228092,2018,eBird_GBIF,3,1,6,3
240441,2018,China_Birdwatch,20,5,53,20
279713,2018,China_Birdwatch,10,7,79,9
276261,2018,China_Birdwatch,3,3,22,3
252259,2018,eBird_GBIF,1,1,21,1
240440,2018,eBird_GBIF,2,2,19,2
263827,2018,eBird_GBIF,1,1,23,1
291137,2018,eBird_GBIF,36,25,118,17
304342,2018,China_Birdwatch,4,2,36,4
240441,2018,eBird_GBIF,90,49,122,70
279711,2018,China_Birdwatch,1,1,54,1
317244,2018,eBird_GBIF,5,3,56,3
276142,2018,eBird_GBIF,4,2,40,4
228893,2018,eBird_GBIF,89,15,159,57
245413,2018,eBird_GBIF,3,2,47,3
240617,2018,China_Birdwatch,2,2,13,2
244714,2018,eBird_GBIF,14,10,42,14
244736,2018,eBird_GBIF,3,3,27,3
246123,2018,eBird_GBIF,1,1,13,1
241242,2018,eBird_GBIF,37,6,119,36
239756,2018,eBird_GBIF,35,34,76,29
282354,2018,eBird_GBIF,5,3,30,3
238377,2018,eBird_GBIF,6,6,46,5
243356,2018,eBird_GBIF,39,15,81,16
191230,2018,eBird_GBIF,7,5,39,7
187118,2018,eBird_GBIF,1,1,1,1
245231,2018,eBird_GBIF,3,3,35,3
219861,2018,eBird_GBIF,2,2,69,2
219175,2018,eBird_GBIF,18,4,117,18
276256,2018,eBird_GBIF,7,3,76,7
261190,2018,eBird_GBIF,2,1,28,2
244735,2018,eBird_GBIF,19,9,62,17
245409,2018,eBird_GBIF,7,6,49,6
264634,2018,eBird_GBIF,1,1,31,1
289929,2018,eBird_GBIF,6,1,66,6
275584,2018,eBird_GBIF,4,2,40,4
229580,2018,eBird_GBIF,3,1,70,3
272156,2018,eBird_GBIF,1,1,58,1
250042,2018,eBird_GBIF,8,8,33,6
272142,2018,eBird_GBIF,58,22,146,28
252256,2018,China_Birdwatch,4,4,64,3
251572,2018,China_Birdwatch,3,3,64,3
247486,2018,China_Birdwatch,1,1,15,1
272142,2018,China_Birdwatch,3,3,53,3
254269,2018,eBird_GBIF,6,1,56,6
229575,2018,eBird_GBIF,4,3,61,3
237006,2018,eBird_GBIF,8,7,36,8
237684,2018,eBird_GBIF,55,25,128,33
234442,2018,eBird_GBIF,1,1,31,1
236500,2018,China_Birdwatch,1,1,47,1
235813,2018,eBird_GBIF,2,2,36,2
237001,2018,eBird_GBIF,48,26,150,29
223299,2018,eBird_GBIF,16,8,70,12
233013,2018,eBird_GBIF,2,2,95,2
276257,2018,eBird_GBIF,3,2,51,3
249346,2018,eBird_GBIF,51,20,183,30
241864,2018,eBird_GBIF,1,1,53,1
245984,2018,eBird_GBIF,2,1,62,2
247281,2018,eBird_GBIF,24,11,132,15
250211,2018,eBird_GBIF,7,6,65,5
247288,2018,eBird_GBIF,1,1,6,1
245917,2018,eBird_GBIF,7,6,27,5
250036,2018,eBird_GBIF,1,1,16,1
261056,2018,China_Birdwatch,8,7,136,8
216469,2018,eBird_GBIF,1,1,20,1
213726,2018,eBird_GBIF,11,8,86,7
247478,2018,eBird_GBIF,1,1,16,1
265997,2018,eBird_GBIF,4,2,26,4
266682,2018,eBird_GBIF,3,1,23,3
279713,2018,eBird_GBIF,4,2,55,4
265312,2018,eBird_GBIF,6,4,40,5
256340,2018,eBird_GBIF,1,1,6,1
243299,2018,eBird_GBIF,1,1,15,1
242613,2018,China_Birdwatch,3,2,34,3
236401,2018,China_Birdwatch,2,2,88,1
217156,2018,eBird_GBIF,8,8,86,7
261069,2018,China_Birdwatch,1,1,19,1
261069,2018,eBird_GBIF,1,1,19,1
261741,2018,eBird_GBIF,6,3,69,6
257590,2018,eBird_GBIF,6,3,31,2
210312,2018,eBird_GBIF,4,2,40,3
262437,2018,eBird_GBIF,3,1,41,3
262439,2018,China_Birdwatch,3,1,74,3
262439,2018,eBird_GBIF,6,1,76,6
252690,2018,eBird_GBIF,1,1,39,1
261754,2018,eBird_GBIF,3,1,45,3
252005,2018,eBird_GBIF,8,4,95,4
265868,2018,eBird_GBIF,3,1,46,3
266664,2018,eBird_GBIF,6,2,43,6
263810,2018,eBird_GBIF,1,1,21,1
238378,2018,eBird_GBIF,10,5,42,10
310445,2018,eBird_GBIF,31,19,168,25
281672,2018,eBird_GBIF,8,6,61,2
243353,2018,eBird_GBIF,1,1,19,1
251518,2018,China_Birdwatch,1,1,30,1
249345,2018,eBird_GBIF,2,1,34,2
249386,2018,China_Birdwatch,2,1,58,2
258459,2018,eBird_GBIF,1,1,35,1
256357,2018,eBird_GBIF,10,9,115,8
317358,2018,eBird_GBIF,4,4,19,1
287030,2018,eBird_GBIF,4,4,60,3
291819,2018,eBird_GBIF,1,1,67,1
252204,2018,China_Birdwatch,3,1,81,3
216470,2018,eBird_GBIF,6,3,62,4
252006,2018,eBird_GBIF,17,4,124,7
298094,2018,eBird_GBIF,6,2,31,6
299625,2018,China_Birdwatch,2,1,51,2
254187,2018,eBird_GBIF,1,1,12,1
252942,2018,eBird_GBIF,4,4,25,2
286344,2018,eBird_GBIF,154,56,337,81
231529,2018,eBird_GBIF,5,2,39,4
291823,2018,eBird_GBIF,54,32,194,33
252943,2019,eBird_GBIF,13,8,102,11
253628,2019,eBird_GBIF,40,31,125,23
258465,2019,China_Birdwatch,4,1,23,4
272142,2019,eBird_GBIF,79,30,148,36
279712,2019,eBird_GBIF,66,33,131,39
292506,2019,eBird_GBIF,41,23,210,19
238382,2019,eBird_GBIF,3,1,37,3
256350,2019,China_Birdwatch,1,1,21,1
290625,2019,eBird_GBIF,2,1,31,2
228892,2019,eBird_GBIF,96,34,164,73
237024,2019,eBird_GBIF,1,1,7,1
245917,2019,eBird_GBIF,7,4,53,7
250038,2019,eBird_GBIF,8,5,62,8
241968,2019,eBird_GBIF,1,1,24,1
240431,2019,China_Birdwatch,1,1,10,1
269319,2019,eBird_GBIF,9,1,10,9
297447,2019,eBird_GBIF,3,3,15,1
241118,2019,eBird_GBIF,2,1,20,2
232965,2019,China_Birdwatch,4,4,128,3
250915,2019,eBird_GBIF,4,1,43,4
