covariate,species,mean,l95,u95,sig95
bio11,Dendrocopos major,0.41640170094363177,0.11989443351273818,0.7469857121405652,TRUE
bio11,Dicrurus macrocercus,0.20974440148380363,-0.15815904627400162,0.559786464747327,FALSE
bio11,Egretta garzetta,0.3490726372855208,0.07574003201335121,0.6377463734824016,TRUE
bio11,Emberiza pusilla,0.21513626721791043,-0.2061970543543893,0.6936437078940132,FALSE
bio11,Falco tinnunculus,0.5041229367036565,0.05067586310791718,1.0109829684632163,TRUE
bio11,Fulica atra,0.5302652528708449,0.20377206019284022,0.8834873547270744,TRUE
bio11,Gallinula chloropus,0.6192599518284586,0.2535344615343491,1.0118900078095483,TRUE
bio11,Hirundo rustica,0.4759976982150808,0.06489215327176842,0.9603609777494075,TRUE
bio11,Lanius cristatus,0.37150032976987296,-0.05737316580470085,0.854272322907151,FALSE
bio11,Lanius schach,0.476291534474188,0.18620590554701105,0.7709083255180784,TRUE
bio11,Milvus migrans,0.02821365476501216,-0.23037909586267802,0.28120299073345784,FALSE
bio11,Motacilla alba,0.3003803007546837,-0.13681466414880045,0.760272941749278,FALSE
bio11,Motacilla cinerea,0.21803797980469394,-0.28715712052958303,0.7617474935030453,FALSE
bio11,Nycticorax nycticorax,0.23499005967960096,-0.07348798760940534,0.5662964397618535,FALSE
bio11,Parus minor,-0.011731273662552014,-0.3016967576759868,0.28018741567525807,FALSE
bio11,Passer montanus,0.44649993985820724,0.040324242873952046,0.9739915222595491,TRUE
bio11,Phalacrocorax carbo,0.5273356070156827,0.05118063616469286,0.9911911549689172,TRUE
bio11,Phasianus colchicus,0.8125187051427285,0.38925933595064266,1.3356699216352368,TRUE
bio11,Phoenicurus auroreus,0.10801220983982766,-0.33597855242289165,0.5144782193719808,FALSE
bio11,Phoenicurus fuliginosus,0.16958768688820988,-0.12582892483279262,0.45362127891949394,FALSE
bio11,Phylloscopus inornatus,0.21922709502473844,-0.12435662062126371,0.6161711919318601,FALSE
bio11,Phylloscopus proregulus,0.22675219679908784,-0.16079742317038373,0.6558898919578802,FALSE
bio11,Pica serica,0.4282805645182423,0.05459766784456582,0.8140058139571927,TRUE
bio11,Podiceps cristatus,0.31661579460488515,-0.1154454758699189,0.7916654402313006,FALSE
bio11,Pycnonotus sinensis,0.38299170567112684,0.05297358490094591,0.7350835437879153,TRUE
bio11,Sinosuthora webbiana,0.04886288272871025,-0.27919669737333397,0.38341049045944864,FALSE
bio11,Spilopelia chinensis,0.4466868922434168,0.1398602889318629,0.7834648197650561,TRUE
bio11,Spizixos semitorques,-0.007594668918130378,-0.45585529748158127,0.3696878029988586,FALSE
bio11,Spodiopsar cineraceus,0.4377055280374845,0.0610610429623982,0.8476902909000187,TRUE
bio11,Streptopelia orientalis,0.1401822149402082,-0.14817447441651307,0.4731228220078353,FALSE
bio11,Tachybaptus ruficollis,0.7165119330300561,0.3117705694661086,1.150783208835293,TRUE
bio11,Tadorna ferruginea,0.254623376513992,-0.1579636341868607,0.7729803466438369,FALSE
bio11,Tarsiger cyanurus,0.16323831081549112,-0.2085585035570513,0.4905842285837331,FALSE
bio11,Tringa ochropus,0.3225234650765848,-0.06595762277248976,0.8352914950884266,FALSE
bio11,Turdus mandarinus,0.2734198147608378,-0.028684356073911395,0.5925808640136873,FALSE
bio11,Upupa epops,0.3917201628165662,-0.026130322082903154,0.9073175002446989,FALSE
bio11,Zosterops simplex,0.2897275833440292,-0.037692730720181734,0.6271742361637969,FALSE
bio13,Accipiter nisus,0.7685106239736774,0.03659158580974728,1.4199507848547115,TRUE
bio13,Acridotheres cristatellus,1.011813004848023,0.7423994036344266,1.3405726838561978,TRUE
bio13,Actitis hypoleucos,-0.05791326236156653,-0.5004769628759904,0.4551547564705015,FALSE
bio13,Aegithalos concinnus,0.3857296202288944,-0.08244300717195446,0.8180985841340352,FALSE
bio13,Alcedo atthis,0.4917019279002726,0.1868666928319996,0.8080148203481039,TRUE
bio13,Anas carolinensis,0.502259537711317,0.14237735277383143,0.916462672490806,TRUE
bio13,Anas platyrhynchos,0.4413305202879473,-0.023565121670733172,1.0417105077503699,FALSE
bio13,Anas zonorhyncha,0.5323280782526444,0.1781951581199382,0.8723631592382963,TRUE
bio13,Anthus hodgsoni,0.0663070851788846,-0.16747703350272175,0.3130975261271851,FALSE
bio13,Ardea alba,0.44436819488159685,-0.04802356422340902,0.9904032736405413,FALSE
bio13,Ardea cinerea,0.21714345262960283,-0.11260126026467113,0.5496720440289162,FALSE
bio13,Ardeola bacchus,0.9487044500814471,0.6237469054839395,1.2892071240183904,TRUE
bio13,Bubulcus coromandus,0.3844961191263674,0.10975068955082845,0.6600824556948859,TRUE
bio13,Buteo japonicus,0.6027430621044167,0.21202979646522604,1.0845922609353669,TRUE
bio13,Cecropis daurica,0.6133475588974427,0.229532997540688,1.058089164402519,TRUE
bio13,Chloris sinica,0.8207410460029366,0.31578847802508164,1.2957963220569497,TRUE
bio13,Chroicocephalus ridibundus,0.282864852286721,-0.029097434257795034,0.6499756978776939,FALSE
bio13,Columba livia,0.44121911614412007,0.17145941301206713,0.7493216267589671,TRUE
bio13,Copsychus saularis,0.2956983560652753,-0.19748364645283661,0.79170009630193106,FALSE
bio13,Corvus corone,0.25561371924573406,-0.0771361622060928,0.7146958138322513,FALSE
bio13,Corvus macrorhynchos,0.2723712170988543,0.1020086908852007,0.4551171666826197,TRUE
bio13,Cuculus canorus,0.44053740397762187,-0.29424065243894515,1.079855405633775,FALSE
bio13,Cyanopica cyanus,0.89881135620354,0.4784815589526587,1.329994940256249,TRUE
bio13,Dendrocopos major,0.9992800550973235,0.6706567942504735,1.3776973346396986,TRUE
bio13,Dicrurus macrocercus,1.169047776229782,0.7925502773923248,1.5468700782562887,TRUE
bio13,Egretta garzetta,0.7121411309455361,0.451110285304355,1.0201926050054846,TRUE
bio13,Emberiza pusilla,0.5461686469677971,0.07657650024979457,1.1060353317020346,TRUE
bio13,Falco tinnunculus,0.5126615351061924,-0.12315357674921462,1.1415621980453923,FALSE
