species,v2_n_detections,v2_n_grids,v2_n_blocks,v1_n_detections,v1_n_grids,v1_n_blocks,delta_n_detections,pct_change_detections
Agropsar sturninus,309,160,5,371,167,5,-62,-16.711590296495956
Sylviparus modestus,309,73,5,317,73,5,-8,-2.5236593059936907
Falco columbarius,307,165,5,377,175,5,-70,-18.56763925729443
Aegithalos iouschistos,304,65,5,313,67,5,-9,-2.8753993610223643
Ictinaetus malaiensis,304,128,3,314,134,4,-10,-3.1847133757961785
Poecile weigoldicus,304,72,5,305,73,5,-1,-0.32786885245901637
Certhia hodgsoni,302,70,5,306,72,5,-4,-1.3071895424836601
Phylloscopus maculipennis,302,76,5,313,77,5,-11,-3.5143769968051117
Fulvetta cinereiceps,301,70,5,301,70,5,0,0
Terpsiphone paradisi,301,118,5,337,124,5,-36,-10.682492581602373
Asio otus,300,149,5,323,157,5,-23,-7.120743034055727
Falco naumanni,299,127,5,301,129,5,-2,-0.6644518272425249
Hodgsonius phoenicuroides,297,91,5,NA,NA,NA,NA,NA
Trochalopteron affine,297,68,5,305,69,5,-8,-2.622950819672131
Asio flammeus,295,142,5,352,159,5,-57,-16.193181818181817
Turdus dissimilis,295,80,5,295,80,5,0,0
Muscicapa ferruginea,294,96,5,307,104,5,-13,-4.234527687296417
Niltava sundara,293,83,5,303,86,5,-10,-3.3003300330033003
Lioparus chrysotis,290,69,5,295,71,5,-5,-1.694915254237288
Arenaria interpres,288,113,5,481,130,5,-193,-40.12474012474012
Erythrogenys gravivox,287,136,3,287,136,3,0,0
Emberiza siemsseni,285,83,5,285,83,5,0,0
Harpactes erythrocephalus,284,73,5,292,73,5,-8,-2.73972602739726
Ficedula tricolor,283,93,5,288,95,5,-5,-1.7361111111111112
Minla ignotincta,282,73,5,289,74,5,-7,-2.422145328719723
Phylloscopus castaniceps,282,125,4,288,128,4,-6,-2.0833333333333335
Carpodacus rubicilla,281,122,5,281,122,5,0,0
Pteruthius xanthochlorus,281,95,5,287,96,5,-6,-2.0905923344947737
Dryobates cathpharius,280,76,5,284,76,5,-4,-1.408450704225352
Phylloscopus ogilviegranti,280,97,5,285,98,5,-5,-1.7543859649122806
Sinosuthora alphonsiana,279,66,5,280,67,5,-1,-0.35714285714285715
Anthus godlewskii,278,141,5,300,150,5,-22,-7.333333333333333
Mergus serrator,278,107,5,371,122,5,-93,-25.067385444743934
Niltava davidi,274,92,5,280,92,5,-6,-2.142857142857143
Numenius madagascariensis,273,93,5,444,108,5,-171,-38.513513513513516
Sturnia sinensis,273,88,5,343,94,5,-70,-20.408163265306122
Merops viridis,272,105,5,302,108,5,-30,-9.933774834437086
Garrulax maximus,269,59,5,NA,NA,NA,NA,NA
Fringilla coelebs,268,108,5,271,111,5,-3,-1.1070110701107012
Garrulax monileger,268,78,5,272,79,5,-4,-1.4705882352941178
Hypothymis azurea,268,72,5,297,76,5,-29,-9.764309764309765
Melanocorypha maxima,267,86,5,267,86,5,0,0
Prunella immaculata,267,67,5,269,67,5,-2,-0.7434944237918215
Turdus boulboul,265,95,5,270,97,5,-5,-1.8518518518518519
Aythya marila,263,121,5,355,138,5,-92,-25.91549295774648
Fulvetta ruficapilla,263,74,5,264,74,5,-1,-0.3787878787878788
Perdix dauurica,263,104,5,264,105,5,-1,-0.3787878787878788
