species,v2_n_detections,v2_n_grids,v2_n_blocks,v1_n_detections,v1_n_grids,v1_n_blocks,delta_n_detections,pct_change_detections
Carpodacus sipahi,53,21,5,59,22,5,-6,-10.169491525423728
Crossoptilon harmani,53,18,5,53,18,5,0,0
Heterophasia capistrata,53,16,5,56,16,5,-3,-5.357142857142857
Orthotomus atrogularis,53,15,4,55,15,4,-2,-3.6363636363636362
Pomatorhinus ochraceiceps,53,10,5,56,10,5,-3,-5.357142857142857
Pteruthius intermedius,53,20,5,55,20,5,-2,-3.6363636363636362
Arachnothera longirostra,52,16,5,59,16,5,-7,-11.864406779661017
Bambusicola fytchii,52,20,5,59,21,5,-7,-11.864406779661017
Locustella pryeri,52,26,5,NA,NA,NA,NA,NA
Onychoprion anaethetus,52,25,4,138,38,5,-86,-62.31884057971015
Oxyura leucocephala,52,23,4,52,23,4,0,0
Porphyrio poliocephalus,52,18,2,61,20,2,-9,-14.754098360655737
Syrmaticus reevesii,52,19,4,52,19,4,0,0
Emberiza calandra,51,28,4,51,28,4,0,0
Hierococcyx nisicolor,51,37,2,53,37,2,-2,-3.7735849056603774
Limnodromus scolopaceus,51,35,4,97,43,4,-46,-47.422680412371136
Arborophila rufogularis,50,17,4,53,17,4,-3,-5.660377358490566
Podiceps grisegena,50,39,4,52,40,4,-2,-3.8461538461538463
Treron curvirostra,50,18,5,56,18,5,-6,-10.714285714285714
Gracula religiosa,49,20,5,53,21,5,-4,-7.547169811320755
Microhierax melanoleucos,49,11,5,49,11,5,0,0
Montifringilla nivalis,49,31,3,49,31,3,0,0
Ninox scutulata,49,25,5,51,26,5,-2,-3.9215686274509802
Porzana bicolor,49,19,4,NA,NA,NA,NA,NA
Trochalopteron chrysopterum,49,10,5,53,11,5,-4,-7.547169811320755
Arborophila torqueola,48,17,5,50,17,5,-2,-4
Babax koslowi,48,7,5,NA,NA,NA,NA,NA
Emberiza jankowskii,48,20,5,48,20,5,0,0
Emberiza sulphurata,48,21,4,91,28,4,-43,-47.252747252747255
Garrulax leucolophus,48,15,4,52,15,4,-4,-7.6923076923076925
Lerwa lerwa,48,14,5,48,14,5,0,0
Locustella luscinioides,48,19,5,48,19,5,0,0
Babax waddelli,47,14,5,NA,NA,NA,NA,NA
Carpodacus rhodochlamys,47,30,3,47,30,3,0,0
Falco vespertinus,47,20,3,47,20,3,0,0
Phylloscopus xanthoschistos,47,14,5,52,14,5,-5,-9.615384615384615
Suthora nipalensis,47,12,5,52,13,5,-5,-9.615384615384615
Chelidorhynx hypoxanthus,46,20,2,49,21,3,-3,-6.122448979591836
Cissa hypoleuca,46,9,5,47,10,5,-1,-2.127659574468085
Crossoptilon mantchuricum,46,9,5,46,9,5,0,0
Hierococcyx hyperythrus,46,33,3,62,41,3,-16,-25.806451612903224
Psittiparus bakeri,46,9,4,52,9,4,-6,-11.538461538461538
Trochalopteron squamatum,46,11,4,46,11,4,0,0
Bubo scandiacus,45,16,3,46,17,3,-1,-2.1739130434782608
Burhinus oedicnemus,45,19,4,45,19,4,0,0
Cacomantis sonneratii,45,14,4,51,15,4,-6,-11.764705882352942
Cholornis paradoxa,45,14,5,NA,NA,NA,NA,NA
Gavia arctica,45,31,4,71,39,5,-26,-36.61971830985915
Acridotheres grandis,44,20,5,58,21,5,-14,-24.137931034482758
Erithacus rubecula,44,24,4,44,24,4,0,0
Lophura leucomelanos,44,11,4,46,11,4,-2,-4.3478260869565215
Merops orientalis,44,16,4,54,17,4,-10,-18.51851851851852
Phylloscopus cantator,44,14,4,46,14,4,-2,-4.3478260869565215
Alcippe nipalensis,43,9,3,48,10,4,-5,-10.416666666666666
Chloropsis aurifrons,43,12,5,48,12,5,-5,-10.416666666666666
Cinnyris asiaticus,43,11,4,49,11,4,-6,-12.244897959183673
Larus hyperboreus,43,20,3,58,28,5,-15,-25.862068965517242
Larvivora brunnea,43,27,3,46,28,3,-3,-6.521739130434782
Lophophorus lhuysii,43,14,5,43,14,5,0,0
Parus cinereus,43,7,5,NA,NA,NA,NA,NA
Sterna dougallii,43,20,4,105,35,5,-62,-59.04761904761905
Tetraogallus himalayensis,43,25,3,44,26,4,-1,-2.272727272727273
Emberiza personata,42,32,4,56,38,4,-14,-25
Glareola pratincola,42,18,4,42,18,4,0,0
Hydrocoloeus minutus,42,29,4,49,34,5,-7,-14.285714285714286
Larus genei,42,26,4,50,31,4,-8,-16
Lophophorus impejanus,42,10,4,44,10,4,-2,-4.545454545454546
Pinicola enucleator,42,24,4,42,24,4,0,0
Pomatorhinus hypoleucos,42,11,5,NA,NA,NA,NA,NA
Psilopogon duvaucelii,42,11,5,43,11,5,-1,-2.3255813953488373
Pterorhinus waddelli,42,18,3,42,18,3,0,0
Trochalopteron subunicolor,42,12,4,44,13,4,-2,-4.545454545454546
Acrocephalus tangorum,41,28,5,49,29,5,-8,-16.3265306122449
Anser caerulescens,41,18,3,43,20,3,-2,-4.651162790697675
Anthipes monileger,41,12,4,43,13,4,-2,-4.651162790697675
Chloris spinoides,41,12,5,43,12,5,-2,-4.651162790697675
Emberiza melanocephala,41,30,3,48,34,3,-7,-14.583333333333334
Phoenicopterus roseus,41,26,2,57,32,3,-16,-28.07017543859649
Poecile varius,41,18,4,NA,NA,NA,NA,NA
Pteruthius rufiventer,41,12,5,41,12,5,0,0
Rubigula flaviventris,41,12,4,41,12,4,0,0
Carpodacus rodopeplus,40,15,5,41,15,5,-1,-2.4390243902439024
Enicurus immaculatus,40,14,5,44,14,5,-4,-9.090909090909092
Garrulax striatus,40,11,5,NA,NA,NA,NA,NA
Pelecanus onocrotalus,40,26,4,49,27,4,-9,-18.367346938775512
Pellorneum albiventre,40,12,4,41,12,4,-1,-2.4390243902439024
Rhopophilus albosuperciliaris,40,30,2,40,30,2,0,0
Vanellus duvaucelii,40,9,4,47,9,4,-7,-14.893617021276595
Certhia manipurensis,39,8,5,39,8,5,0,0
Circus pygargus,39,18,4,39,18,4,0,0
Cutia nipalensis,39,11,5,41,11,5,-2,-4.878048780487805
Helopsaltes pryeri,39,21,3,57,29,3,-18,-31.57894736842105
Plectrophenax nivalis,39,16,3,41,18,4,-2,-4.878048780487805
Urosphena pallidipes,39,19,4,NA,NA,NA,NA,NA
Actinodura waldeni,38,10,4,41,11,4,-3,-7.317073170731708
Caprimulgus macrurus,38,17,5,40,18,5,-2,-5
Chalcoparia singalensis,38,13,5,44,13,5,-6,-13.636363636363637
Coracias affinis,38,19,4,40,19,4,-2,-5
Helopsaltes fasciolatus,38,30,3,59,42,4,-21,-35.59322033898305
Larvivora akahige,38,19,3,50,23,3,-12,-24
Sinosuthora zappeyi,38,9,5,38,9,5,0,0
Acanthis hornemanni,37,24,3,38,25,3,-1,-2.6315789473684212
Acridotheres albocinctus,37,5,4,46,5,5,-9,-19.565217391304348
Actinodura souliei,37,13,5,39,14,5,-2,-5.128205128205129
Chleuasicus atrosuperciliaris,37,6,5,41,6,5,-4,-9.75609756097561
Gampsorhynchus rufulus,37,6,5,41,6,5,-4,-9.75609756097561
Leucosticte arctoa,37,14,3,37,14,3,0,0
Psittacula finschii,37,15,5,42,16,5,-5,-11.904761904761905
Trochalopteron variegatum,37,7,5,NA,NA,NA,NA,NA
Charadrius hiaticula,36,25,4,68,35,5,-32,-47.05882352941177
Indicator xanthonotus,36,11,4,38,12,4,-2,-5.2631578947368425
Pyrrhula erythrocephala,36,9,3,39,10,3,-3,-7.6923076923076925
Alcedo hercules,35,15,5,36,16,5,-1,-2.7777777777777777
Alcippe cinerea,35,9,5,NA,NA,NA,NA,NA
Myzornis pyrrhoura,35,8,4,38,8,4,-3,-7.894736842105263
Treron apicauda,35,8,4,41,8,4,-6,-14.634146341463415
Carpodacus rodochroa,34,12,4,36,12,4,-2,-5.555555555555555
Falco severus,34,9,3,37,10,3,-3,-8.108108108108109
Hemiprocne coronata,34,10,5,40,10,5,-6,-15
Hirundapus cochinchinensis,34,21,3,46,26,4,-12,-26.08695652173913
Microcarbo niger,34,9,5,36,9,5,-2,-5.555555555555555
Niltava oatesi,34,21,5,38,21,5,-4,-10.526315789473685
Pyrrhoplectes epauletta,34,10,4,39,11,4,-5,-12.820512820512821
Sittiparus varius,34,22,2,37,24,2,-3,-8.108108108108109
Trochalopteron lineatum,34,7,5,36,8,5,-2,-5.555555555555555
Zoothera salimalii,34,13,4,34,13,4,0,0
Arborophila brunneopectus,33,8,3,33,8,3,0,0
Cholornis paradoxus,33,15,3,33,15,3,0,0
Dicaeum chrysorrheum,33,10,4,38,10,4,-5,-13.157894736842104
Ficedula hodgsoni,33,13,4,37,14,4,-4,-10.81081081081081
Lonchura atricapilla,33,15,4,36,16,4,-3,-8.333333333333334
Mixornis gularis,33,10,4,33,10,4,0,0
Phylloscopus whistleri,33,14,2,38,15,3,-5,-13.157894736842104
Psittacula derbiana,33,14,3,33,14,3,0,0
Spelaeornis troglodytoides,33,13,5,34,13,5,-1,-2.9411764705882355
Cairina moschata,32,22,3,NA,NA,NA,NA,NA
Corvus cornix,32,25,2,33,26,2,-1,-3.0303030303030303
Corvus splendens,32,23,5,41,25,5,-9,-21.951219512195124
Garrulax ruficollis,32,6,5,NA,NA,NA,NA,NA
Ianthocincla sukatschewi,32,12,3,32,12,3,0,0
Napothera epilepidota,32,10,5,34,12,5,-2,-5.882352941176471
Psittacula eupatria,32,13,3,41,15,4,-9,-21.951219512195124
Thalasseus bernsteini,32,16,3,94,25,4,-62,-65.95744680851064
Zoothera marginata,32,8,5,33,8,5,-1,-3.0303030303030303
Actinodura strigula,31,13,3,33,13,3,-2,-6.0606060606060606
Calidris melanotos,31,24,4,42,31,4,-11,-26.19047619047619
Circus macrourus,31,15,4,33,16,4,-2,-6.0606060606060606
Curruca nana,31,20,2,32,21,2,-1,-3.125
Irena puella,31,9,5,32,9,5,-1,-3.125
Phylloscopus hainanus,31,6,5,33,7,5,-2,-6.0606060606060606
Anthracoceros albirostris,30,8,4,33,8,4,-3,-9.090909090909092
Bambusicola sonorivox,30,19,2,30,19,2,0,0
Garrulax caerulatus,30,7,4,NA,NA,NA,NA,NA
Heteroxenicus stellatus,30,14,5,31,14,5,-1,-3.225806451612903
Locustella naevia,30,19,2,30,19,2,0,0
Microcarbo pygmaeus,30,13,2,30,13,2,0,0
Calonectris leucomelas,29,20,4,81,41,5,-52,-64.19753086419753
Cissa chinensis,29,12,3,29,12,3,0,0
Gavia stellata,29,19,4,76,32,5,-47,-61.8421052631579
Hemitesia pallidipes,29,15,2,32,17,2,-3,-9.375
Phylloscopus burkii,29,19,3,34,22,3,-5,-14.705882352941176
Pomatorhinus phayrei,29,9,5,NA,NA,NA,NA,NA
Prinia atrogularis,29,21,2,33,24,2,-4,-12.121212121212121
Seicercus whistleri,29,14,4,NA,NA,NA,NA,NA
Sitta magna,29,11,5,30,12,5,-1,-3.3333333333333335
Sylvia nana,29,15,5,NA,NA,NA,NA,NA
Tarsiger hyperythrus,29,12,4,29,12,4,0,0
Vanellus indicus,29,8,4,37,8,5,-8,-21.62162162162162
Calliope pectoralis,28,19,3,28,19,3,0,0
Garrulax castanotis,28,6,5,28,6,5,0,0
Grus canadensis,28,14,4,33,16,4,-5,-15.151515151515152
Phylloscopus calciatilis,28,8,3,29,8,3,-1,-3.4482758620689653
Phylloscopus sindianus,28,16,3,28,16,3,0,0
Pomatorhinus superciliaris,28,6,4,30,8,4,-2,-6.666666666666667
Pterorhinus koslowi,28,8,2,28,8,2,0,0
Tickellia hodgsoni,28,11,5,29,11,5,-1,-3.4482758620689653
Aegithina lafresnayei,27,3,5,27,3,5,0,0
Dendrocitta frontalis,27,7,2,33,7,4,-6,-18.181818181818183
Horornis brunnescens,27,10,2,28,10,2,-1,-3.5714285714285716
Melanocorypha yeltoniensis,27,14,2,27,14,2,0,0
Strix nebulosa,27,13,2,28,14,2,-1,-3.5714285714285716
Aegolius funereus,26,13,4,26,13,4,0,0
Aerodramus fuciphagus,26,15,1,31,20,1,-5,-16.129032258064516
Arborophila ardens,26,3,5,27,4,5,-1,-3.7037037037037037
Brachypteryx cruralis,26,12,2,26,12,2,0,0
Crex crex,26,14,4,26,14,4,0,0
Hypogramma hypogrammicum,26,7,4,NA,NA,NA,NA,NA
Alcippe variegaticeps,25,7,4,NA,NA,NA,NA,NA
Branta bernicla,25,19,3,31,24,3,-6,-19.35483870967742
Hirundo tahitica,25,11,2,27,13,2,-2,-7.407407407407407
Otus brucei,25,15,3,25,15,3,0,0
Pericrocotus tegimae,25,17,2,32,20,2,-7,-21.875
Perisoreus infaustus,25,11,3,25,11,3,0,0
Surnia ulula,25,9,2,25,9,2,0,0
Actinodura ramsayi,24,12,4,24,12,4,0,0
Calliope pectardens,24,13,2,24,13,2,0,0
Cyanoderma chrysaeum,24,8,2,25,9,2,-1,-4
Cyornis concretus,24,8,4,25,8,4,-1,-4
Merops leschenaulti,24,7,5,29,7,5,-5,-17.24137931034483
Psilopogon nuchalis,24,8,2,25,9,2,-1,-4
Sitta solangiae,24,3,5,25,3,5,-1,-4
Turdus philomelos,24,8,4,24,8,4,0,0
Cochoa viridis,23,11,3,24,12,3,-1,-4.166666666666667
Fregata ariel,23,17,4,55,30,5,-32,-58.18181818181818
Melanocorypha bimaculata,23,13,4,23,13,4,0,0
Melanocorypha calandra,23,8,2,23,8,2,0,0
Prunella koslowi,23,9,3,23,9,3,0,0
Spelaeornis reptatus,23,5,4,NA,NA,NA,NA,NA
Syrmaticus humiae,23,10,4,23,10,4,0,0
Zoothera griseiceps,23,11,2,23,11,2,0,0
Bubo nipalensis,22,9,4,23,9,4,-1,-4.3478260869565215
Cochoa purpurea,22,11,4,23,11,4,-1,-4.3478260869565215
Gypsophila brevicaudata,22,6,4,22,6,4,0,0
Ketupa zeylonensis,22,13,2,25,13,2,-3,-12
Liocichla omeiensis,22,6,4,22,6,4,0,0
Phylloscopus poliogenys,22,9,3,24,10,3,-2,-8.333333333333334
Polyplectron bicalcaratum,22,6,3,22,6,3,0,0
Temnurus temnurus,22,4,4,24,5,4,-2,-8.333333333333334
Turdus iliacus,22,10,2,22,10,2,0,0
Agropsar philippensis,21,18,3,43,24,3,-22,-51.16279069767442
Certhia discolor,21,6,3,23,6,3,-2,-8.695652173913043
Chrysocolaptes guttacristatus,21,8,3,24,8,4,-3,-12.5
Gallinago nemoricola,21,5,5,21,5,5,0,0
Hydrornis soror,21,5,2,21,5,2,0,0
Mareca americana,21,14,1,30,19,2,-9,-30
Picus squamatus,21,4,3,22,4,3,-1,-4.545454545454546
Pitta soror,21,4,5,NA,NA,NA,NA,NA
Yuhina bakeri,21,6,4,NA,NA,NA,NA,NA
Branta ruficollis,20,16,2,21,17,2,-1,-4.761904761904762
Chlamydotis macqueenii,20,10,3,20,10,3,0,0
Fulvetta ludlowi,20,6,3,20,6,3,0,0
Pomatorhinus musicus,20,7,2,23,10,2,-3,-13.043478260869565
Stachyris nonggangensis,20,3,4,20,3,4,0,0
Aerodramus germani,19,11,4,NA,NA,NA,NA,NA
Ceyx erithaca,19,8,5,20,8,5,-1,-5
Erythrogenys hypoleucos,19,8,2,19,8,2,0,0
Ploceus philippinus,19,9,3,27,10,5,-8,-29.62962962962963
Porzana paykullii,19,12,3,NA,NA,NA,NA,NA
Pterorhinus courtoisi,19,3,4,19,3,4,0,0
Sphenocichla roberti,19,5,4,NA,NA,NA,NA,NA
Zosterops japonicus,19,10,2,26,15,2,-7,-26.923076923076923
Amaurornis cinerea,18,6,2,19,7,2,-1,-5.2631578947368425
Columba pulchricollis,18,10,5,22,12,5,-4,-18.181818181818183
Glareola lactea,18,4,4,18,4,4,0,0
Haliastur indus,18,15,2,22,17,3,-4,-18.181818181818183
Hirundo smithii,18,7,4,32,8,4,-14,-43.75
Oriolus mellianus,18,5,4,18,5,4,0,0
Pitta nipalensis,18,4,3,NA,NA,NA,NA,NA
Pycnonotus taivanus,18,8,3,19,9,3,-1,-5.2631578947368425
Arborophila rufipectus,17,7,4,17,7,4,0,0
Branta leucopsis,17,13,2,17,13,2,0,0
Garrulax owstoni,17,14,3,21,16,3,-4,-19.047619047619047
Heterophasia auricularis,17,5,2,17,5,2,0,0
Hierococcyx varius,17,17,2,17,17,2,0,0
Liocichla phoenicea,17,6,3,17,6,3,0,0
Luscinia ruficeps,17,4,4,NA,NA,NA,NA,NA
Napothera crispifrons,17,2,5,NA,NA,NA,NA,NA
Parayuhina bakeri,17,7,2,17,7,2,0,0
Psittacula krameri,17,8,3,20,10,3,-3,-15
Sitta formosa,17,5,3,17,5,3,0,0
Sterna aurantia,17,2,4,18,2,4,-1,-5.555555555555555
Tetrao urogalloides,17,7,3,17,7,3,0,0
Treron phayrei,17,5,4,18,6,4,-1,-5.555555555555555
Anthreptes malacensis,16,5,3,16,5,3,0,0
Coturnicops exquisitus,16,11,5,18,13,5,-2,-11.11111111111111
Curruca althaea,16,10,2,16,10,2,0,0
Cyornis rubeculoides,16,9,3,18,10,3,-2,-11.11111111111111
Periparus rufonuchalis,16,9,3,16,9,3,0,0
Phalacrocorax pelagicus,16,5,3,41,10,4,-25,-60.97560975609756
Schoeniparus castaneceps,16,7,2,20,8,3,-4,-20
Trochalopteron morrisonianum,16,4,2,16,4,2,0,0
Alcippe morrisonia,15,5,2,16,5,2,-1,-6.25
Amandava amandava,15,9,4,16,9,4,-1,-6.25
Chrysococcyx xanthorhynchus,15,4,3,16,5,3,-1,-6.25
Lagopus muta,15,5,2,15,5,2,0,0
Liocichla steerii,15,4,2,15,4,2,0,0
Loxia leucoptera,15,8,3,15,8,3,0,0
Lymnocryptes minimus,15,11,3,20,15,4,-5,-25
Myophonus insularis,15,4,2,16,5,2,-1,-6.25
Pomatorhinus ferruginosus,15,4,3,16,4,3,-1,-6.25
Psittacula alexandri,15,6,3,21,8,4,-6,-28.571428571428573
Pycnonotus leucogenys,15,6,3,20,6,3,-5,-25
Pyrrhula owstoni,15,10,2,NA,NA,NA,NA,NA
Sinosuthora przewalskii,15,4,4,15,4,4,0,0
Tarsiger johnstoniae,15,4,2,15,4,2,0,0
Urocissa caerulea,15,5,2,17,7,2,-2,-11.764705882352942
Yuhina brunneiceps,15,4,2,15,4,2,0,0
Zapornia bicolor,15,10,2,15,10,2,0,0
Zapornia paykullii,15,14,2,18,16,3,-3,-16.666666666666668
Acrocephalus schoenobaenus,14,6,3,14,6,3,0,0
Calliope obscura,14,8,3,14,8,3,0,0
Carpodacus formosanus,14,4,2,14,4,2,0,0
Cyornis poliogenys,14,7,4,16,7,4,-2,-12.5
Grammatoptila striata,14,6,2,19,7,3,-5,-26.31578947368421
Locustella ochotensis,14,11,3,NA,NA,NA,NA,NA
Lophura swinhoii,14,5,2,14,5,2,0,0
Luscinia obscura,14,6,5,NA,NA,NA,NA,NA
Melopsittacus undulatus,14,8,2,NA,NA,NA,NA,NA
Onychoprion aleuticus,14,13,2,46,25,3,-32,-69.56521739130434
Oriolus xanthornus,14,4,3,14,4,3,0,0
Pnoepyga immaculata,14,4,3,15,4,3,-1,-6.666666666666667
Regulus goodfellowi,14,4,3,14,4,3,0,0
Seicercus burkii,14,8,5,NA,NA,NA,NA,NA
Spelaeornis kinneari,14,5,3,15,5,3,-1,-6.666666666666667
Synoicus chinensis,14,9,3,14,9,3,0,0
Aplonis panayensis,13,11,2,14,11,2,-1,-7.142857142857143
Batrachostomus hodgsoni,13,5,2,15,5,2,-2,-13.333333333333334
Buceros bicornis,13,5,2,15,5,3,-2,-13.333333333333334
Gracupica contra,13,5,4,23,5,5,-10,-43.47826086956522
Harpactes wardi,13,5,4,13,5,4,0,0
Helopsaltes ochotensis,13,9,1,24,16,3,-11,-45.833333333333336
Lophotriorchis kienerii,13,8,2,14,8,2,-1,-7.142857142857143
Microhierax caerulescens,13,2,2,14,2,3,-1,-7.142857142857143
Niltava vivida,13,4,2,13,4,2,0,0
Pavo cristatus,13,5,4,16,8,4,-3,-18.75
Pavo muticus,13,11,2,13,11,2,0,0
Perdix perdix,13,9,2,13,9,2,0,0
Pitta sordida,13,5,4,16,5,4,-3,-18.75
Porzana cinerea,13,7,2,NA,NA,NA,NA,NA
Psittacula roseata,13,4,2,13,4,2,0,0
Psittiparus ruficeps,13,2,3,13,2,3,0,0
Tyto javanica,13,8,1,13,8,1,0,0
Zoothera monticola,13,8,3,14,8,3,-1,-7.142857142857143
Actinodura morrisoniana,12,4,2,12,4,2,0,0
Actinodura nipalensis,12,6,3,14,7,3,-2,-14.285714285714286
Branta canadensis,12,7,2,13,8,2,-1,-7.6923076923076925
Dendrocopos macei,12,3,2,12,3,2,0,0
Garrulax taewanus,12,7,2,13,8,2,-1,-7.6923076923076925
Haliaeetus pelagicus,12,3,2,17,6,2,-5,-29.41176470588235
Harpactes oreskios,12,2,3,12,2,3,0,0
Leioptila annectens,12,4,1,13,5,1,-1,-7.6923076923076925
Mulleripicus pulverulentus,12,3,2,12,3,2,0,0
Phalaropus fulicarius,12,10,3,19,14,3,-7,-36.8421052631579
Schoeniparus variegaticeps,12,5,2,12,5,2,0,0
Terpsiphone affinis,12,10,2,12,10,2,0,0
Acridotheres javanicus,11,10,2,11,10,2,0,0
Acrocephalus melanopogon,11,7,2,11,7,2,0,0
Arborophila atrogularis,11,4,3,12,4,3,-1,-8.333333333333334
Cinclidium frontale,11,3,3,11,3,3,0,0
Cyanoderma pyrrhops,11,8,1,12,8,1,-1,-8.333333333333334
Dicaeum agile,11,3,4,11,3,4,0,0
Erythrogenys erythrocnemis,11,4,2,11,4,2,0,0
Fulvetta formosana,11,4,2,11,4,2,0,0
Gorsachius goisagi,11,11,3,18,16,3,-7,-38.888888888888886
Haliaeetus leucogaster,11,7,3,30,10,5,-19,-63.333333333333336
Lagopus lagopus,11,6,1,11,6,1,0,0
Lophophorus sclateri,11,8,4,12,8,4,-1,-8.333333333333334
Machlolophus holsti,11,4,2,11,4,2,0,0
Pitta oatesi,11,4,2,NA,NA,NA,NA,NA
Pnoepyga formosana,11,3,2,11,3,2,0,0
Rhyticeros undulatus,11,2,3,16,2,4,-5,-31.25
Rimator malacoptilus,11,4,3,NA,NA,NA,NA,NA
Syrmaticus mikado,11,3,2,11,3,2,0,0
Alcippe rufogularis,10,3,4,NA,NA,NA,NA,NA
Branta hutchinsii,10,7,2,10,7,2,0,0
Bulweria bulwerii,10,10,2,43,24,3,-33,-76.74418604651163
Carpodacus grandis,10,10,1,10,10,1,0,0
Nymphicus hollandicus,10,7,2,NA,NA,NA,NA,NA
Oenanthe picata,10,8,2,10,8,2,0,0
Phodilus badius,10,5,1,10,5,1,0,0
Sittiparus castaneoventris,10,3,2,10,3,2,0,0
Stercorarius parasiticus,10,9,2,27,18,4,-17,-62.96296296296296
Tarsiger formosanus,10,5,2,10,5,2,0,0
Tetraogallus altaicus,10,6,1,10,6,1,0,0
Tetrax tetrax,10,4,2,10,4,2,0,0
Tragopan satyra,10,3,3,12,4,3,-2,-16.666666666666668
Acridotheres burmannicus,9,3,3,19,3,4,-10,-52.63157894736842
Alaudala heinei,9,9,1,9,9,1,0,0
Arborophila crudigularis,9,3,2,9,3,2,0,0
Brachypteryx goodfellowi,9,4,2,9,4,2,0,0
Dryocopus javensis,9,7,2,9,7,2,0,0
Erythropygia galactotes,9,3,3,NA,NA,NA,NA,NA
Eudromias morinellus,9,3,2,9,3,2,0,0
Garrulax strepitans,9,3,3,9,3,3,0,0
Graminicola striatus,9,5,2,9,5,2,0,0
Histrionicus histrionicus,9,8,2,10,9,2,-1,-10
Leucosticte sillemi,9,4,3,NA,NA,NA,NA,NA
Luscinia pectoralis,9,6,3,NA,NA,NA,NA,NA
Onychoprion fuscatus,9,7,2,26,18,3,-17,-65.38461538461539
Phylloscopus trochilus,9,9,2,12,12,2,-3,-25
Phylloscopus xanthodryas,9,9,1,29,16,3,-20,-68.96551724137932
Saroglossa spiloptera,9,5,4,NA,NA,NA,NA,NA
Saxicola insignis,9,9,1,9,9,1,0,0
Schoeniparus cinereus,9,2,2,9,2,2,0,0
Stercorarius pomarinus,9,7,2,22,18,2,-13,-59.09090909090909
Strix davidi,9,5,1,9,5,1,0,0
Carpodacus sillemi,8,4,1,8,4,1,0,0
Cercotrichas galactotes,8,4,2,8,4,2,0,0
Charadrius morinellus,8,2,2,NA,NA,NA,NA,NA
Leiopicus auriceps,8,4,1,9,4,1,-1,-11.11111111111111
Locustella alishanensis,8,4,2,8,4,2,0,0
Phylloscopus sibilatrix,8,7,1,10,9,3,-2,-20
Pterorhinus poecilorhynchus,8,3,2,8,3,2,0,0
Trochalopteron imbricatum,8,3,2,8,3,2,0,0
Zosterops meyeni,8,4,2,8,4,2,0,0
Alcurus striatus,7,2,2,7,2,2,0,0
Arborophila mandellii,7,4,2,7,4,2,0,0
Ficedula owstoni,7,5,2,14,9,3,-7,-50
Hydrobates monorhis,7,6,2,29,18,2,-22,-75.86206896551724
Motacilla grandis,7,7,1,7,7,1,0,0
Porzana porzana,7,5,2,7,5,2,0,0
Pterorhinus ruficeps,7,2,2,7,2,2,0,0
Rhodopechys sanguineus,7,3,1,7,3,1,0,0
Stachyris humei,7,2,1,7,2,1,0,0
Sterna acuticauda,7,7,1,7,7,1,0,0
Tropicoperdix chloropus,7,3,4,7,3,4,0,0
Agapornis fischeri,6,5,3,NA,NA,NA,NA,NA
Ampeliceps coronatus,6,6,1,6,6,1,0,0
Brachypteryx hyperythra,6,2,1,6,2,1,0,0
Chloropsis cochinchinensis,6,6,2,6,6,2,0,0
Garrulax rufogularis,6,2,3,NA,NA,NA,NA,NA
Geopelia striata,6,4,1,6,4,1,0,0
Machlolophus xanthogenys,6,4,1,9,4,2,-3,-33.333333333333336
Napothera malacoptila,6,2,2,6,2,2,0,0
Oceanodroma monorhis,6,5,2,NA,NA,NA,NA,NA
Pterorhinus ruficollis,6,3,2,6,3,2,0,0
Ptyonoprogne concolor,6,4,3,7,4,3,-1,-14.285714285714286
Threskiornis melanocephalus,6,5,2,6,5,2,0,0
Treron bicinctus,6,4,1,8,5,1,-2,-25
Treron formosae,6,3,2,7,3,2,-1,-14.285714285714286
Aceros nipalensis,5,2,1,6,3,1,-1,-16.666666666666668
Brachypodius atriceps,5,5,1,5,5,1,0,0
Dendrocitta vagabunda,5,4,2,5,4,2,0,0
Ducula aenea,5,3,3,5,3,3,0,0
Gampsorhynchus torquatus,5,4,2,5,4,2,0,0
Glaucidium passerinum,5,4,2,5,4,2,0,0
Hirundapus giganteus,5,2,2,8,2,2,-3,-37.5
Iduna pallida,5,5,1,5,5,1,0,0
Macropygia ruficeps,5,4,2,5,4,2,0,0
Pterorhinus caerulatus,5,2,1,5,2,1,0,0
Spelaeornis badeigularis,5,2,1,5,2,1,0,0
Sphenocichla humei,5,2,1,NA,NA,NA,NA,NA
Turdus niveiceps,5,2,2,5,2,2,0,0
Zapornia parva,5,4,1,5,4,1,0,0
Acrocephalus sorghophilus,4,2,3,4,2,3,0,0
Anous stolidus,4,4,1,10,10,1,-6,-60
Anthocincla phayrei,4,2,1,NA,NA,NA,NA,NA
Ardenna pacifica,4,4,2,6,6,2,-2,-33.333333333333336
Ardenna tenuirostris,4,4,2,12,9,3,-8,-66.66666666666667
Columba punicea,4,4,2,4,4,2,0,0
Dinopium javanense,4,3,2,5,3,3,-1,-20
Euodice malabarica,4,4,1,4,4,1,0,0
Falco rusticolus,4,4,1,5,5,1,-1,-20
Gavia pacifica,4,3,2,5,4,2,-1,-20
Halcyon coromanda,4,4,2,9,7,3,-5,-55.55555555555556
Helopsaltes pleskei,4,4,1,8,8,1,-4,-50
Lanius vittatus,4,4,1,5,5,1,-1,-20
Larus glaucescens,4,4,2,8,8,3,-4,-50
Leptoptilos javanicus,4,4,2,4,4,2,0,0
Locustella pleskei,4,4,2,NA,NA,NA,NA,NA
