grid_cell,period_pair,metric,value_mean,value_l95,value_u95
1018,2005-2009 vs 2000-2004,bray,0.03487176741282911,0.027912929473715556,0.041947092126718766
1019,2005-2009 vs 2000-2004,bray,0.038441805572316315,0.03164631679894409,0.04649358091409291
1020,2005-2009 vs 2000-2004,bray,0.044683453180381416,0.035396119443562586,0.05478938395608283
1021,2005-2009 vs 2000-2004,bray,0.04337571758706717,0.031532449942625426,0.05430611907676793
1022,2005-2009 vs 2000-2004,bray,0.04552859107550965,0.03566843380048941,0.05601669910110949
1023,2005-2009 vs 2000-2004,bray,0.04619680493578372,0.036613668202546246,0.05654502841931534
1025,2005-2009 vs 2000-2004,bray,0.046746518141736984,0.03653899412368711,0.057667742645931566
1026,2005-2009 vs 2000-2004,bray,0.04796767819388694,0.03779351829815282,0.05811140664219226
1027,2005-2009 vs 2000-2004,bray,0.04853793306151674,0.038438549323476685,0.05824490144196629
1028,2005-2009 vs 2000-2004,bray,0.04889550426265076,0.03860837321274245,0.05886405633637855
1029,2005-2009 vs 2000-2004,bray,0.04802646853183533,0.03911882874188033,0.05780995703139804
1055,2005-2009 vs 2000-2004,bray,0.044490491775048435,0.03612619151788997,0.052367765989958036
1057,2005-2009 vs 2000-2004,bray,0.04402485139574437,0.03756610264493133,0.05177732824304001
1058,2005-2009 vs 2000-2004,bray,0.04575472767192391,0.03820138299855223,0.05275926688144987
1061,2005-2009 vs 2000-2004,bray,0.03454987659094606,0.02873369389617475,0.040976061575002776
1063,2005-2009 vs 2000-2004,bray,0.032792638102691195,0.026874799670538654,0.03943745344142611
1064,2005-2009 vs 2000-2004,bray,0.03473491055266613,0.028932472373523362,0.0413258334801015
1065,2005-2009 vs 2000-2004,bray,0.03226781619317764,0.026710437985868047,0.03850806288526056
1066,2005-2009 vs 2000-2004,bray,0.0307634758815955,0.025496148933932372,0.03667380010561759
1068,2005-2009 vs 2000-2004,bray,0.03848025451372074,0.03105065078140841,0.045893061331388756
1069,2005-2009 vs 2000-2004,bray,0.037236725212768815,0.029585474303904444,0.0443982240514441
1070,2005-2009 vs 2000-2004,bray,0.03398042168450337,0.026591872470665252,0.04151009293865508
1073,2005-2009 vs 2000-2004,bray,0.03179137117047318,0.026590178484522126,0.03788927272420106
1075,2005-2009 vs 2000-2004,bray,0.029438019045687373,0.024553087150099788,0.035457233498945986
1076,2005-2009 vs 2000-2004,bray,0.029601666227059443,0.024573707750237147,0.03583726864632898
1089,2005-2009 vs 2000-2004,bray,0.03529910607716141,0.026906929705652793,0.043235450179024686
1090,2005-2009 vs 2000-2004,bray,0.03523415011090221,0.027267816834941824,0.04326441309295931
1091,2005-2009 vs 2000-2004,bray,0.03367669074639071,0.0266687444138508,0.04161398375169292
1092,2005-2009 vs 2000-2004,bray,0.032201638008248996,0.025455167547342356,0.03965744642738333
1093,2005-2009 vs 2000-2004,bray,0.031827105058658975,0.025367319093707583,0.039174154026343305
1094,2005-2009 vs 2000-2004,bray,0.03172997206777337,0.024893996893016555,0.0386101321657516
1095,2005-2009 vs 2000-2004,bray,0.03699021443606484,0.029365641048501475,0.04615029827326545
1096,2005-2009 vs 2000-2004,bray,0.04098442296134105,0.03329585855529876,0.04911653937405844
1097,2005-2009 vs 2000-2004,bray,0.039740859683853304,0.030943446566778145,0.04893546331817307
1098,2005-2009 vs 2000-2004,bray,0.043638967458311716,0.034832328156646324,0.05511629461591503
1099,2005-2009 vs 2000-2004,bray,0.04342968706077066,0.034470441790125844,0.0527890301886823
1100,2005-2009 vs 2000-2004,bray,0.04269792741658209,0.033717745161628614,0.05232040150795209
1101,2005-2009 vs 2000-2004,bray,0.042473895157032406,0.0340290992592,0.05199093806361392
1103,2005-2009 vs 2000-2004,bray,0.04638885579933747,0.03763715817533523,0.05660722702524712
1125,2005-2009 vs 2000-2004,bray,0.0490532946908907,0.04073957808385245,0.05809788474972802
1126,2005-2009 vs 2000-2004,bray,0.05031913307463773,0.042177468829312795,0.05989036565690802
1127,2005-2009 vs 2000-2004,bray,0.0510182351348128,0.043067497408088906,0.06071314437757774
1128,2005-2009 vs 2000-2004,bray,0.05234300111492011,0.04391259424007683,0.062164071555050666
1129,2005-2009 vs 2000-2004,bray,0.054484993292647284,0.04527756486531935,0.06517534706099906
1130,2005-2009 vs 2000-2004,bray,0.041907597746823705,0.03495303116435199,0.051781871416207506
1131,2005-2009 vs 2000-2004,bray,0.03416015228591289,0.027790322423150847,0.041398874599371666
1132,2005-2009 vs 2000-2004,bray,0.031645579160754785,0.025889168227597705,0.03850935186467956
1133,2005-2009 vs 2000-2004,bray,0.029766539790876016,0.024070826736082965,0.03591377626915808
1134,2005-2009 vs 2000-2004,bray,0.02864379639234589,0.02345348259348921,0.034305218805831775
1136,2005-2009 vs 2000-2004,bray,0.024577005131166934,0.019690527477316692,0.030351158559643404
1137,2005-2009 vs 2000-2004,bray,0.023798605768662173,0.018921120778510873,0.028687460780612548
1138,2005-2009 vs 2000-2004,bray,0.025168320028356152,0.02002329235603012,0.02971223937624757
1139,2005-2009 vs 2000-2004,bray,0.024585787087929988,0.01969377844394816,0.029047155758724495
1140,2005-2009 vs 2000-2004,bray,0.02352341977007482,0.01894112925594039,0.028125775357385877
1141,2005-2009 vs 2000-2004,bray,0.021625648480576506,0.017263056303308683,0.025531517893365805
1142,2005-2009 vs 2000-2004,bray,0.018963419190765992,0.01539066290551386,0.02318533309950208
1143,2005-2009 vs 2000-2004,bray,0.019580673637412463,0.015750927841328043,0.02356411933358379
1144,2005-2009 vs 2000-2004,bray,0.029187842500454298,0.023452705224791755,0.03483662277351358
1145,2005-2009 vs 2000-2004,bray,0.02876378104858948,0.02382475231215115,0.03438856980303225
1161,2005-2009 vs 2000-2004,bray,0.03646517874326637,0.02994616075084635,0.04492941274652536
1162,2005-2009 vs 2000-2004,bray,0.034575855023441314,0.028444347806586442,0.04265320167482429
1163,2005-2009 vs 2000-2004,bray,0.035975791910057106,0.029643400054914493,0.04420592688299612
1164,2005-2009 vs 2000-2004,bray,0.044995824758842895,0.035124379575193994,0.05553022733239855
1165,2005-2009 vs 2000-2004,bray,0.04543682193140409,0.03565743484109367,0.05527950100835108
1166,2005-2009 vs 2000-2004,bray,0.0442698824345253,0.03541558964874303,0.053661667300550796
1167,2005-2009 vs 2000-2004,bray,0.0445449713136233,0.03582421044368628,0.05357281240085058
1168,2005-2009 vs 2000-2004,bray,0.04603667833359725,0.03687761603630504,0.05552274586756985
1169,2005-2009 vs 2000-2004,bray,0.046236138802168994,0.03686639957523588,0.05679916846698608
1170,2005-2009 vs 2000-2004,bray,0.04752819762140438,0.037976925438104533,0.058215375314210324
1171,2005-2009 vs 2000-2004,bray,0.047383085026180286,0.03834547409429279,0.05736856291971724
1172,2005-2009 vs 2000-2004,bray,0.048377551590988666,0.03891924907605275,0.0587726933543791
1173,2005-2009 vs 2000-2004,bray,0.04942542756945722,0.039185503953106035,0.05876881927823017
1175,2005-2009 vs 2000-2004,bray,0.04738745622474753,0.03778109799137072,0.05557394111099509
