year,source_short,metric,value
2020,eBird_GBIF,n_grids_100km,475
2020,eBird_GBIF,n_species,1136
2020,eBird_GBIF,mean_duration_min,NA
2020,eBird_GBIF,total_duration_min,0
2021,eBird_GBIF,n_records,294628
2021,eBird_GBIF,n_visits,14590
2021,eBird_GBIF,n_observers,738
2021,eBird_GBIF,n_birding_days,365
2021,eBird_GBIF,n_grids_100km,574
2021,eBird_GBIF,n_species,1204
2021,eBird_GBIF,mean_duration_min,NA
2021,eBird_GBIF,total_duration_min,0
2022,eBird_GBIF,n_records,323218
2022,eBird_GBIF,n_visits,15528
2022,eBird_GBIF,n_observers,749
2022,eBird_GBIF,n_birding_days,365
2022,eBird_GBIF,n_grids_100km,513
2022,eBird_GBIF,n_species,1147
2022,eBird_GBIF,mean_duration_min,NA
2022,eBird_GBIF,total_duration_min,0
2023,eBird_GBIF,n_records,539592
2023,eBird_GBIF,n_visits,24477
2023,eBird_GBIF,n_observers,1385
2023,eBird_GBIF,n_birding_days,365
2023,eBird_GBIF,n_grids_100km,742
2023,eBird_GBIF,n_species,1211
2023,eBird_GBIF,mean_duration_min,NA
2023,eBird_GBIF,total_duration_min,0
2000,Combined,n_records,2171
2000,Combined,n_visits,156
2000,Combined,n_observers,34
2000,Combined,n_birding_days,121
2000,Combined,n_grids_100km,64
2000,Combined,n_species,559
2000,Combined,mean_duration_min,12305760
2000,Combined,total_duration_min,24611520
2001,Combined,n_records,2286
2001,Combined,n_visits,138
2001,Combined,n_observers,26
2001,Combined,n_birding_days,116
2001,Combined,n_grids_100km,63
2001,Combined,n_species,595
2001,Combined,mean_duration_min,NA
2001,Combined,total_duration_min,0
2002,Combined,n_records,12012
2002,Combined,n_visits,660
2002,Combined,n_observers,77
2002,Combined,n_birding_days,202
2002,Combined,n_grids_100km,126
2002,Combined,n_species,776
2002,Combined,mean_duration_min,626.1052631578948
2002,Combined,total_duration_min,71376
2003,Combined,n_records,3132
2003,Combined,n_visits,229
2003,Combined,n_observers,39
2003,Combined,n_birding_days,167
2003,Combined,n_grids_100km,71
2003,Combined,n_species,579
2003,Combined,mean_duration_min,225.5511811023622
2003,Combined,total_duration_min,28645
2004,Combined,n_records,10225
2004,Combined,n_visits,501
2004,Combined,n_observers,80
2004,Combined,n_birding_days,234
2004,Combined,n_grids_100km,125
2004,Combined,n_species,685
2004,Combined,mean_duration_min,157.38144329896906
2004,Combined,total_duration_min,15266
2005,Combined,n_records,8809
2005,Combined,n_visits,573
2005,Combined,n_observers,71
2005,Combined,n_birding_days,267
2005,Combined,n_grids_100km,121
2005,Combined,n_species,801
2005,Combined,mean_duration_min,1324.0789473684208
2005,Combined,total_duration_min,301890
2006,Combined,n_records,7865
2006,Combined,n_visits,651
2006,Combined,n_observers,108
2006,Combined,n_birding_days,289
2006,Combined,n_grids_100km,138
2006,Combined,n_species,758
2006,Combined,mean_duration_min,2012.32421875
2006,Combined,total_duration_min,515155
2007,Combined,n_records,17625
2007,Combined,n_visits,1037
2007,Combined,n_observers,141
2007,Combined,n_birding_days,314
2007,Combined,n_grids_100km,210
2007,Combined,n_species,929
2007,Combined,mean_duration_min,305338.4497041424
2007,Combined,total_duration_min,258010990
2008,Combined,n_records,13619
2008,Combined,n_visits,846
2008,Combined,n_observers,142
2008,Combined,n_birding_days,309
2008,Combined,n_grids_100km,148
2008,Combined,n_species,873
2008,Combined,mean_duration_min,758.8599999999997
2008,Combined,total_duration_min,569145
2009,Combined,n_records,12082
2009,Combined,n_visits,877
2009,Combined,n_observers,175
2009,Combined,n_birding_days,310
2009,Combined,n_grids_100km,153
2009,Combined,n_species,837
2009,Combined,mean_duration_min,2127.6129032258073
2009,Combined,total_duration_min,1253164
2010,Combined,n_records,27727
2010,Combined,n_visits,1473
2010,Combined,n_observers,197
2010,Combined,n_birding_days,343
2010,Combined,n_grids_100km,210
2010,Combined,n_species,887
2010,Combined,mean_duration_min,14522.342572062093
2010,Combined,total_duration_min,13099153
2011,Combined,n_records,23260
2011,Combined,n_visits,1269
2011,Combined,n_observers,200
2011,Combined,n_birding_days,319
2011,Combined,n_grids_100km,232
2011,Combined,n_species,948
2011,Combined,mean_duration_min,170538.9422343323
2011,Combined,total_duration_min,312938959
2012,Combined,n_records,27933
2012,Combined,n_visits,1786
2012,Combined,n_observers,274
2012,Combined,n_birding_days,349
2012,Combined,n_grids_100km,292
2012,Combined,n_species,1007
2012,Combined,mean_duration_min,76271.04426106522
2012,Combined,total_duration_min,101669302
2013,Combined,n_records,42977
2013,Combined,n_visits,2349
2013,Combined,n_observers,301
2013,Combined,n_birding_days,364
2013,Combined,n_grids_100km,307
2013,Combined,n_species,1085
2013,Combined,mean_duration_min,270093.3448488591
2013,Combined,total_duration_min,437821312
2014,Combined,n_records,58645
2014,Combined,n_visits,2937
2014,Combined,n_observers,383
2014,Combined,n_birding_days,365
2014,Combined,n_grids_100km,361
2014,Combined,n_species,1135
2014,Combined,mean_duration_min,38641.52243233213
2014,Combined,total_duration_min,104216186
2015,Combined,n_records,73876
2015,Combined,n_visits,3746
2015,Combined,n_observers,466
2015,Combined,n_birding_days,365
2015,Combined,n_grids_100km,437
2015,Combined,n_species,1166
2015,Combined,mean_duration_min,80647.71405009722
2015,Combined,total_duration_min,782363474
2016,Combined,n_records,94608
2016,Combined,n_visits,4773
2016,Combined,n_observers,620
2016,Combined,n_birding_days,366
2016,Combined,n_grids_100km,441
2016,Combined,n_species,1216
2016,Combined,mean_duration_min,22638.989898989865
2016,Combined,total_duration_min,186024580
2017,Combined,n_records,127085
2017,Combined,n_visits,6817
2017,Combined,n_observers,825
2017,Combined,n_birding_days,365
2017,Combined,n_grids_100km,490
2017,Combined,n_species,1261
2017,Combined,mean_duration_min,55977.80549787311
2017,Combined,total_duration_min,566103547
2018,Combined,n_records,231935
2018,Combined,n_visits,10556
2018,Combined,n_observers,1012
2018,Combined,n_birding_days,365
2018,Combined,n_grids_100km,581
2018,Combined,n_species,1321
2018,Combined,mean_duration_min,55381.29264883324
2018,Combined,total_duration_min,871646165
2019,Combined,n_records,294093
2019,Combined,n_visits,13460
2019,Combined,n_observers,1210
2019,Combined,n_birding_days,365
2019,Combined,n_grids_100km,671
2019,Combined,n_species,1342
2019,Combined,mean_duration_min,37448.78222803251
2019,Combined,total_duration_min,945282161
2020,Combined,n_records,258542
2020,Combined,n_visits,12925
2020,Combined,n_observers,913
2020,Combined,n_birding_days,366
2020,Combined,n_grids_100km,565
2020,Combined,n_species,1259
2020,Combined,mean_duration_min,17710.050338627923
2020,Combined,total_duration_min,815866599
2021,Combined,n_records,440503
2021,Combined,n_visits,23100
2021,Combined,n_observers,1321
2021,Combined,n_birding_days,365
2021,Combined,n_grids_100km,712
2021,Combined,n_species,1357
2021,Combined,mean_duration_min,8500.025768637413
2021,Combined,total_duration_min,1239941259
2022,Combined,n_records,636996
2022,Combined,n_visits,32964
2022,Combined,n_observers,1737
2022,Combined,n_birding_days,365
2022,Combined,n_grids_100km,735
2022,Combined,n_species,1321
2022,Combined,mean_duration_min,5335.045070081058
2022,Combined,total_duration_min,1674019772
2023,Combined,n_records,1376076
2023,Combined,n_visits,69622
2023,Combined,n_observers,3798
2023,Combined,n_birding_days,365
2023,Combined,n_grids_100km,1038
2023,Combined,n_species,1441
2023,Combined,mean_duration_min,2201.3746120669234
2023,Combined,total_duration_min,1841414641
2024,Combined,n_records,2720464
2024,Combined,n_visits,146369
2024,Combined,n_observers,9086
2024,Combined,n_birding_days,365
2024,Combined,n_grids_100km,1120
2024,Combined,n_species,1336
2024,Combined,mean_duration_min,597.9226165098318
2024,Combined,total_duration_min,1626626953
