grid_cell,period,metric,value_mean,value_l95,value_u95,block_label
1412,P1,inv_simpson,93.11637675741919,89.65648184945834,96.5937851434753,P1
1413,P1,inv_simpson,94.53523775393234,91.42182166055866,97.65866945112437,P1
1414,P1,inv_simpson,99.92688342369416,96.7277590600915,102.68443195717936,P1
1415,P1,inv_simpson,104.881487231555,101.50767131935363,107.73135278860785,P1
1416,P1,inv_simpson,111.92187810057956,108.72687354913202,114.89526797583171,P1
1417,P1,inv_simpson,110.38853191712585,106.93268940428283,113.75357397898321,P1
1418,P1,inv_simpson,119.10225068635026,115.27060906770883,122.38323894623663,P1
1419,P1,inv_simpson,116.04922336723635,113.04123027636672,118.91084757211715,P1
1420,P1,inv_simpson,116.5917850667145,112.92437009319427,119.69906447624568,P1
1421,P1,inv_simpson,111.5479088161187,108.43924054872093,114.46159038561035,P1
1422,P1,inv_simpson,114.39639499557074,111.56170406605358,117.21752678472339,P1
1423,P1,inv_simpson,116.33845361402471,114.04000016114352,118.99707710585108,P1
1424,P1,inv_simpson,114.75454903901053,112.45798778641857,116.88775470689527,P1
1425,P1,inv_simpson,118.48177781872015,116.38150694204732,120.38461871834234,P1
1426,P1,inv_simpson,120.96321698654256,118.62653055603458,123.38546516759311,P1
1427,P1,inv_simpson,118.6699765057453,116.79645618435123,120.70153025337558,P1
1428,P1,inv_simpson,117.05045032246956,114.73243121726819,119.40274231956431,P1
1429,P1,inv_simpson,104.14044502558642,101.29437156630026,107.00485740321719,P1
1430,P1,inv_simpson,102.45075135352579,99.42257958777516,105.45145069114773,P1
1448,P1,inv_simpson,51.18531464902421,47.955406506124675,54.08422745254792,P1
1449,P1,inv_simpson,61.650394637153546,58.93519237495479,64.82706391127523,P1
1450,P1,inv_simpson,60.68978826680635,57.479655141682905,64.32606358342795,P1
1452,P1,inv_simpson,58.16946895341019,55.7188777496231,60.70850189547069,P1
1453,P1,inv_simpson,57.57820639340991,55.363485761029835,59.60070189644574,P1
1454,P1,inv_simpson,58.964252838365645,56.661929626424005,61.14312340658428,P1
1455,P1,inv_simpson,53.96882073778454,51.64035126656084,56.21346805982375,P1
1456,P1,inv_simpson,61.38533466699873,58.97352832517229,63.791327514208234,P1
1462,P1,inv_simpson,72.70618328625436,69.63127492037206,76.34359686541148,P1
1465,P1,inv_simpson,72.55905461225173,69.85484408227953,75.22191561323802,P1
1466,P1,inv_simpson,73.89627440879948,71.47506027060257,76.25067604835525,P1
1468,P1,inv_simpson,81.30888462089683,78.25678260331819,84.13405663243861,P1
1471,P1,inv_simpson,67.5692748828691,65.26367018723582,70.09108158481344,P1
1476,P1,inv_simpson,75.40505447745322,72.53542362166351,78.31427741989086,P1
1479,P1,inv_simpson,83.71204850312255,80.8148308614125,86.42058979306088,P1
1480,P1,inv_simpson,80.75980052115902,77.8030552366251,83.61502116337898,P1
1481,P1,inv_simpson,86.83504632805321,84.14137972316637,89.49626649883135,P1
1482,P1,inv_simpson,90.89312116135389,88.41559085405792,93.54511820150769,P1
1483,P1,inv_simpson,91.35077458728796,88.16282813572663,94.45517627387852,P1
1484,P1,inv_simpson,93.34237608991825,90.49577974543668,96.17514446944438,P1
1485,P1,inv_simpson,93.31278538526296,90.69805889564117,96.03882715802858,P1
1486,P1,inv_simpson,93.87813759659872,91.220076110851707,96.79661767688717,P1
1487,P1,inv_simpson,99.71693193715285,96.87651019364156,102.59001585760481,P1
1488,P1,inv_simpson,105.42775561133102,102.57508506956712,108.38334061594972,P1
1489,P1,inv_simpson,103.53907992040183,100.02865990794005,106.61039209777152,P1
1490,P1,inv_simpson,91.663979626744,87.21420883582289,95.88745830878752,P1
1491,P1,inv_simpson,126.30286940010478,122.47186985741749,129.98442989760932,P1
1492,P1,inv_simpson,123.46707135748795,120.45269080252835,126.05822731584651,P1
1493,P1,inv_simpson,115.24095313006889,112.77759035445338,117.43341023854292,P1
1494,P1,inv_simpson,116.29692774353906,112.41991256012184,119.85739976397645,P1
1495,P1,inv_simpson,126.25763017536812,122.91961401973295,129.19528785135327,P1
1496,P1,inv_simpson,124.62146066431623,121.54330151272222,127.67438980992844,P1
1497,P1,inv_simpson,130.50958672898687,125.52841865320978,135.30010165551028,P1
1498,P1,inv_simpson,125.32245087448567,122.9905683081414,127.67632813261781,P1
1499,P1,inv_simpson,124.3847379152861,122.2213180204376,126.53011468738234,P1
1500,P1,inv_simpson,125.32675317332783,123.14969792159305,127.71889563160363,P1
1502,P1,inv_simpson,130.58402920817457,128.77241002444936,132.34962914786706,P1
1518,P1,inv_simpson,52.92631807462756,50.17676180019503,55.91122004726368,P1
1520,P1,inv_simpson,55.18745442639244,52.47547500276194,58.05833070706747,P1
1521,P1,inv_simpson,52.890506443285304,50.28675262338005,55.4396818215241,P1
1522,P1,inv_simpson,52.91141026621,50.300575542140074,55.40016494089201,P1
1523,P1,inv_simpson,54.420286196447094,51.59058274098468,57.406911945434736,P1
1528,P1,inv_simpson,63.92824071447713,62.22624156319129,65.47435240916555,P1
1529,P1,inv_simpson,65.00626242484009,63.27825307069562,66.57100545971834,P1
1533,P1,inv_simpson,76.43993443584021,73.17325715594401,79.48302502447079,P1
1536,P1,inv_simpson,79.71606270867859,76.23111438201812,82.8718675441287,P1
1537,P1,inv_simpson,76.38394246473773,73.43204917870287,79.07489067035627,P1
1538,P1,inv_simpson,67.10144742321202,64.4672363772926,69.58140693633415,P1
1539,P1,inv_simpson,62.7909243413163,59.9972952620546,65.58994516867148,P1
1540,P1,inv_simpson,62.36379419238403,59.30209868144706,65.53861407032781,P1
1542,P1,inv_simpson,70.5661084731715,67.98802275400135,73.27047573316767,P1
1550,P1,inv_simpson,88.27948554908068,85.4327964614053,91.30232513513145,P1
