mean,sd,q025,median,q975,metric,period,grid_cell
68.5790580054216,1.55287451512264,65.54426553024568,68.54775652011293,71.64759382602006,corrected_richness,P1,557
70.82201832412001,1.646120560223701,67.64287004353521,70.70548326341185,73.99356251451184,corrected_richness,P1,558
74.2475443491684,1.6540454489958731,71.02705143757476,74.22730605789064,77.44493626855977,corrected_richness,P1,559
76.40586002851015,1.527315610983977,73.61172026954786,76.48551496702973,79.41584325529728,corrected_richness,P1,560
85.85869589009278,1.2763163439376892,83.34397724543159,85.81738139727683,88.35505588521853,corrected_richness,P1,561
93.74601855482095,1.0666657315642663,91.53068416926969,93.75271342469253,95.79196868368746,corrected_richness,P1,563
92.87730191398074,1.0057189484950109,90.80165655264071,92.89352502107182,94.80863029068318,corrected_richness,P1,564
56.0077646379809,1.3010814047444612,53.51073989820617,55.971032623021195,58.72268454916724,corrected_richness,P1,592
51.4894722902714,1.1698459042891012,49.23061091213854,51.455982957440426,53.80103412671009,corrected_richness,P1,593
84.72746169203883,1.5334683014194581,82.00874252479554,84.72249278431636,87.70347077635445,corrected_richness,P1,625
85.7259206329864,1.46633564131012,83.12976167555108,85.7272617921445,88.3984867899141,corrected_richness,P1,626
88.04660177833959,1.2039821522824425,85.59088695995831,88.034027618613,90.35392740515745,corrected_richness,P1,627
88.32040606726655,1.2087012977263378,85.52184840041365,88.30631070721165,90.61013852341075,corrected_richness,P1,628
89.59892898786029,1.1883921932127648,87.29123061951202,89.6600123421105,91.79000769417168,corrected_richness,P1,629
89.77618170403855,1.4747559347198345,86.67439238002218,89.84546025627756,92.39067840657279,corrected_richness,P1,630
97.81676539966271,1.6891604042071398,94.228992103698,97.84320188669724,100.84911275058705,corrected_richness,P1,634
96.15165859858205,1.6317420517589059,92.78770627732725,96.19945371038,99.0513809988941,corrected_richness,P1,635
90.45861158807745,1.4959103706541244,87.39323043667963,90.53919831124996,93.24893506006757,corrected_richness,P1,636
93.60688772898058,1.7814894727566066,90.31469610915829,93.69780680832099,97.28386118624024,corrected_richness,P1,637
105.74257059536534,1.2934703334255284,103.28217471004066,105.76135802004498,108.28372701424834,corrected_richness,P1,640
44.63080250943858,1.6303293998434571,41.604792927399416,44.6402022143928,47.4739262005247,corrected_richness,P1,663
44.961921675385256,1.3716670715309012,42.39811909305919,44.96502121141964,47.551784025123766,corrected_richness,P1,664
45.27688101138326,1.3284479425866207,42.79682091199349,45.29378664275549,47.96778996439741,corrected_richness,P1,665
46.60089059089453,1.3148424437030668,43.987978108908244,46.64743385622033,49.19506263519255,corrected_richness,P1,666
75.501698951590825,1.7347842320703981,72.06450520698498,75.53233122321379,78.88454654557137,corrected_richness,P1,696
80.39679314064051,1.6305944629287288,77.20248137306825,80.43509964243759,83.61705375001831,corrected_richness,P1,698
81.50973422293727,1.541986950266426,78.340073292326,81.66029059660522,84.175620490445,corrected_richness,P1,699
66.28063825162923,2.238726622535384,61.7257657319555,66.32408897940874,70.45576970678107,corrected_richness,P1,700
