grid_cell,centroid_lon,centroid_lat,delta_t_mean,delta_t_extreme,delta_t_std,tmp_P1,tmp_P2,tmp_P3,tmp_P4,tmp_P5,tmx_P1,tmx_P2,tmx_P3,tmx_P4,tmx_P5
1552,108.24699173640234,40.575989819444416,0.15617707175648832,0.38458330172579736,5.207097740435846,4.262354214314837,4.30477088172144,4.307812555258472,4.4214792054185335,4.4397396197746275,11.340000112944594,11.405416786422332,11.394166769211491,11.582916783913971,11.75729175140926
1553,109.14530702052186,40.575989819444416,0.13802605474581142,0.34864585860632324,4.583911842696836,4.150968776387162,4.193552125561595,4.19111460952942,4.297531282321628,4.310286505720191,11.050208421206722,11.151458419797322,11.102500131493436,11.268541781092063,11.449479279108346
1554,110.04362230464137,40.575989819444416,0.15714584059363368,0.3931249851322125,4.478342067718564,4.084083366087483,4.133708378129328,4.13827085395266,4.25562503496767,4.266041712702039,10.860416772014771,10.925208457900832,10.801666767786568,11.098125103441998,11.285937600090014
1555,110.9419375887609,40.575989819444416,0.17097395557308825,0.4406249860844902,5.728575378407956,3.971489618060877,4.0136979632099,4.020218775000346,4.133052119888211,4.163567746208477,10.543958436402804,10.690416783218582,10.583333434071392,10.875833443443604,11.057812595895182
1556,111.84025287288043,40.57598981944442,0.13951041682885323,0.42739581582524444,4.539924898752529,3.7696979532037704,3.8131562764077294,3.779656280229877,3.89357294102665,3.930937531634603,10.101250121602789,10.27208341836619,10.097083426282431,10.444166772486641,10.614062585809734
1557,112.73856815699993,40.575989819444416,0.08920832760341035,0.42750000566399393,1.9175626586099472,3.4808125293542007,3.5466041874295717,3.414854202683394,3.5632291926109856,3.6029166859952966,9.475000090462466,9.632500076697518,9.338333428247523,9.823333434139688,9.981250089243986
1558,113.63688344111941,40.57598981944441,0.054656245886872235,0.3966146144433882,1.696474004023053,3.704177106109758,3.7497396104678047,3.6096146075831106,3.7447187763794014,3.7816146041756538,9.962291753462825,10.109583425614984,9.804375099064782,10.278125101638336,10.432552203982292
1559,114.53519872523903,40.575989819444416,0.1322135539754523,0.5460416665300727,5.669586315107992,3.9315833625364274,3.9645625237608333,3.858645865912937,4.058000036561861,4.080286497124082,10.407291759271175,10.562083429346483,10.29500011949179,10.902708441469198,11.030729260838902
1560,115.43351400935846,40.575989819444416,0.1334947962983275,0.4544270903880996,4.746950316084311,4.0478437836980445,4.087614613148617,3.9791771237059343,4.17794794087725,4.2012239947216585,10.616875105164945,10.765416782038908,10.499375095358118,11.040000116002435,11.145573033990027
1561,116.33182929347794,40.57598981944444,0.14464584320424656,0.5381250371884878,4.491713963783305,4.711541702122971,4.757083362800767,4.683875050657662,4.852666707876293,4.878958375666116,11.87812511169662,11.98520846180618,11.758750090251366,12.35916680210891,12.469791823939888
1562,117.2301445775976,40.57598981944442,0.11035417398573699,0.49697918683135356,4.453679603853512,4.7559792024704315,4.791020872145115,4.706854195993705,4.885020892384151,4.88385421129351,11.887083446979522,11.957500133725503,11.695416755384455,12.348750111274422,12.419270977183867
1563,118.12845986171706,40.575989819444416,0.09024480489655051,0.3034374906099391,5.719906496410884,4.766541705164127,4.7888542074923555,4.706041697959881,4.889625047756514,4.867942761224792,12.010416798666121,12.10145845686396,11.80437512579374,12.297291794015717,12.35937511837498
1564,119.0267751458366,40.575989819444416,0.12012499739891247,0.38885418925589654,4.796678951793967,4.5293542064415915,4.564770877477713,4.467333365806068,4.660729203398417,4.667187539358565,11.580833446327595,11.708125130444145,11.352708426117896,11.937916786565134,12.033333477641767
1565,119.92509042995613,40.57598981944442,0.09882811584684426,0.31291664706853695,9.882811584684426,4.632656302749335,4.638072959143514,4.506947963366596,4.743343808930756,4.734192746793269,11.685833445036163,11.783125138298299,11.305625131136427,11.996458446948479,12.047395938735768
1566,120.61234233380678,40.68549259791854,0.0989999983517924,0.37062501103307,3.9624660975550343,4.672208373908264,4.636875039339065,4.563625055823165,4.75495839389041,4.753541704975457,11.556666828319429,11.533333440621693,11.179166740179062,11.866666795872153,11.91562514550363
1567,122.02589094299846,40.72590444389098,0.12188541812987097,0.48187501414601464,7.296169708049905,4.750500042913093,4.726875042635948,4.6627500381049085,4.846520881653609,4.860572960904392,11.359791797896227,11.345208439696579,11.041250106614704,11.74958344292827,11.834375132942418
1568,122.62548561802468,40.57713045674373,0.1058958302373263,0.5034895978363547,3.203408453182306,4.5603958724338245,4.513645880508314,4.439520877735534,4.624187550317341,4.642916706708395,10.849166763278966,10.80895844634312,10.503958420160536,11.226458423087992,11.332552202647397
